eps,agent_0_reward,agent_1_reward
0,-108.0,-146.0
1,-110.0,-135.0
2,-126.0,-116.0
3,-125.0,44.0
4,-106.0,92.0
5,-113.0,87.0
6,-123.0,92.0
7,-136.0,88.0
8,-132.0,90.0
9,-141.0,88.0
10,-132.0,89.0
11,-113.0,87.0
12,-132.0,91.0
13,-181.0,90.0
14,-147.0,92.0
15,-113.0,92.0
16,-135.0,92.0
17,-127.0,92.0
18,-120.0,92.0
19,-104.0,92.0
20,-118.0,92.0
21,-110.0,92.0
22,-106.0,92.0
23,-137.0,92.0
24,-114.0,88.0
25,-112.0,92.0
26,-143.0,91.0
27,-116.0,92.0
28,-144.0,91.0
29,-131.0,92.0
30,-146.0,92.0
31,-131.0,86.0
32,-130.0,92.0
33,-189.0,81.0
34,48.0,91.0
35,82.0,91.0
36,81.0,92.0
37,81.0,81.0
38,83.0,91.0
39,81.0,91.0
40,83.0,92.0
41,82.0,-128.0
42,-123.0,-114.0
43,78.0,-119.0
44,83.0,80.0
45,80.0,83.0
46,81.0,92.0
47,83.0,92.0
48,79.0,89.0
49,82.0,91.0
50,75.0,92.0
51,83.0,91.0
52,83.0,92.0
53,83.0,92.0
54,78.0,92.0
55,81.0,91.0
56,83.0,89.0
57,81.0,90.0
58,80.0,-109.0
