eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.1,0.2,0,15,-132,71,33,0.49,0
1,0.1,0.1,0.2,10,10,-116,92,17,0.49,0
2,0.1,0.1,0.2,10,10,-105,-108,9,0.49,0
3,0.1,0.1,0.2,10,10,-113,91,14,0.49,0
4,0.1,0.1,0.2,10,10,-122,91,23,0.49,0
5,0.1,0.1,0.2,18,10,62,92,39,0.49,1
6,0.1,0.1,0.2,21,21,82,87,19,0.49,1
7,0.1,0.1,0.2,23,12,80,88,21,0.49,1
8,0.1,0.1,0.2,19,17,81,92,20,0.49,1
9,0.1,0.1,0.2,20,12,-108,92,9,0.49,0
10,0.1,0.1,0.2,20,14,79,-112,22,0.49,0
11,0.1,0.1,0.2,23,19,73,41,60,0.49,1
12,0.1,0.1,0.2,23,21,77,80,24,0.49,1
13,0.1,0.1,0.2,21,20,82,89,19,0.49,1
14,0.1,0.1,0.2,24,14,-107,92,9,0.49,0
15,0.1,0.1,0.2,19,15,79,92,22,0.49,1
16,0.1,0.1,0.2,21,17,79,-105,22,0.49,0
17,0.1,0.1,0.2,22,19,81,90,20,0.49,1
18,0.1,0.1,0.2,24,22,-122,87,23,0.49,0
19,0.1,0.1,0.2,24,15,-104,86,15,0.49,0
20,0.1,0.1,0.2,24,15,-102,92,9,0.49,0
21,0.1,0.1,0.2,24,16,-102,82,19,0.49,0
22,0.1,0.1,0.2,24,9,-102,91,10,0.49,0
23,0.1,0.1,0.2,20,13,-102,92,9,0.49,0
24,0.1,0.1,0.2,20,16,-113,91,14,0.49,0
25,0.1,0.1,0.2,20,15,-111,88,13,0.49,0
26,0.1,0.1,0.2,20,15,-129,90,30,0.49,0
27,0.1,0.1,0.2,20,9,-104,91,10,0.49,0
28,0.1,0.1,0.2,19,10,-148,92,49,0.49,0
29,0.1,0.1,0.2,20,10,-124,92,25,0.49,0
30,0.1,0.1,0.2,20,20,-105,77,24,0.49,0
31,0.1,0.1,0.2,20,10,-162,91,63,0.49,0
32,0.1,0.1,0.2,20,10,-118,90,19,0.49,0
33,0.1,0.1,0.2,20,10,-105,-106,7,0.49,0
34,0.1,0.1,0.2,20,9,-108,92,9,0.49,0
35,0.1,0.1,0.2,20,10,-110,92,11,0.49,0
36,0.1,0.1,0.2,20,9,-108,91,10,0.49,0
37,0.1,0.1,0.2,20,11,-129,92,30,0.49,0
38,0.1,0.1,0.2,20,10,-150,92,51,0.49,0
39,0.1,0.1,0.2,13,10,-131,-107,32,0.49,0
40,0.1,0.1,0.2,14,10,-176,-107,77,0.49,0
41,0.1,0.1,0.2,14,10,-123,-108,24,0.49,0
42,0.1,0.1,0.2,14,10,-160,-107,61,0.49,0
43,0.1,0.1,0.2,14,9,-130,-109,31,0.49,0
44,0.1,0.1,0.2,14,2,-204,-118,105,0.49,0
45,0.1,0.1,0.2,13,2,-141,-124,42,0.49,0
46,0.1,0.1,0.2,13,2,-140,-125,41,0.49,0
47,0.1,0.1,0.2,13,2,-132,-116,33,0.49,0
48,0.1,0.1,0.2,13,2,-153,-122,54,0.49,0
49,0.1,0.1,0.2,13,5,-125,-225,126,0.49,0
50,0.1,0.1,0.2,13,5,-141,-132,42,0.49,0
51,0.1,0.1,0.2,13,5,-150,-133,51,0.49,0
52,0.1,0.1,0.2,13,5,-208,-139,109,0.49,0
53,0.1,0.1,0.2,13,3,-148,-126,49,0.49,0
54,0.1,0.1,0.2,13,17,-126,68,33,0.49,0
55,0.1,0.1,0.2,15,9,-147,92,48,0.49,0
56,0.1,0.1,0.2,16,10,-146,90,47,0.49,0
57,0.1,0.1,0.2,16,10,-121,92,22,0.49,0
58,0.1,0.1,0.2,16,11,-177,87,78,0.49,0
