eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.3,0.1,0,0,-107,-116,17,0.45,0,10
1,0.1,0.3,0.1,0,0,-136,-131,37,0.45,0,10
2,0.1,0.3,0.1,0,15,-121,52,49,0.45,0,10
3,0.1,0.3,0.1,11,12,-119,90,20,0.45,0,10
4,0.1,0.3,0.1,12,9,-135,92,36,0.45,0,10
5,0.1,0.3,0.1,12,21,-107,50,51,0.45,0,10
6,0.1,0.3,0.1,12,11,-107,84,17,0.45,0,10
7,0.1,0.3,0.1,15,15,-118,65,36,0.45,0,10
8,0.1,0.3,0.1,17,12,-106,92,9,0.45,0,10
9,0.1,0.3,0.1,18,10,-110,90,11,0.45,0,10
10,0.1,0.3,0.1,18,10,-114,92,15,0.45,0,10
11,0.1,0.3,0.1,28,10,23,92,78,0.45,1,10
12,0.1,0.3,0.1,22,17,77,92,24,0.45,1,10
13,0.1,0.3,0.1,24,12,79,92,22,0.45,1,10
14,0.1,0.3,0.1,23,19,72,92,29,0.45,1,10
15,0.1,0.3,0.1,24,24,83,-123,24,0.45,0,10
16,0.1,0.3,0.1,22,17,79,92,22,0.45,1,10
17,0.1,0.3,0.1,23,15,-110,90,11,0.45,0,10
18,0.1,0.3,0.1,24,18,80,92,21,0.45,1,10
19,0.1,0.3,0.1,22,18,80,-106,21,0.45,0,10
20,0.1,0.3,0.1,24,19,81,91,20,0.45,1,10
21,0.1,0.3,0.1,24,20,81,88,20,0.45,1,10
22,0.1,0.3,0.1,12,15,-116,92,17,0.45,0,10
23,0.1,0.3,0.1,16,12,-135,92,36,0.45,0,10
24,0.1,0.3,0.1,16,12,-162,92,63,0.45,0,10
25,0.1,0.3,0.1,16,11,-116,91,17,0.45,0,10
26,0.1,0.3,0.1,16,10,-109,92,10,0.45,0,10
27,0.1,0.3,0.1,16,10,-120,92,21,0.45,0,10
28,0.1,0.3,0.1,16,10,-159,91,60,0.45,0,10
29,0.1,0.3,0.1,16,10,-135,91,36,0.45,0,10
30,0.1,0.3,0.1,16,10,-110,92,11,0.45,0,10
31,0.1,0.3,0.1,16,10,-127,92,28,0.45,0,10
32,0.1,0.3,0.1,16,10,-160,92,61,0.45,0,10
33,0.1,0.3,0.1,25,10,71,92,30,0.45,1,10
34,0.1,0.3,0.1,19,19,82,-113,19,0.45,0,10
35,0.1,0.3,0.1,18,16,-120,85,21,0.45,0,10
36,0.1,0.3,0.1,18,12,-118,92,19,0.45,0,10
37,0.1,0.3,0.1,23,12,78,92,23,0.45,1,10
38,0.1,0.3,0.1,24,19,81,92,20,0.45,1,10
39,0.1,0.3,0.1,16,14,-127,91,28,0.45,0,10
40,0.1,0.3,0.1,27,15,41,90,60,0.45,1,10
41,0.1,0.3,0.1,21,15,78,92,23,0.45,1,10
42,0.1,0.3,0.1,36,13,39,89,62,0.45,1,10
43,0.1,0.3,0.1,20,19,80,92,21,0.45,1,10
44,0.1,0.3,0.1,21,21,80,90,21,0.45,1,10
45,0.1,0.3,0.1,21,13,-124,92,25,0.45,0,10
46,0.1,0.3,0.1,24,19,75,87,26,0.45,1,10
47,0.1,0.3,0.1,21,22,81,90,20,0.45,1,10
48,0.1,0.3,0.1,21,17,77,90,24,0.45,1,10
49,0.1,0.3,0.1,18,19,-102,92,9,0.45,0,10
50,0.1,0.3,0.1,17,18,-128,92,29,0.45,0,10
51,0.1,0.3,0.1,17,14,-122,92,23,0.45,0,10
52,0.1,0.3,0.1,17,10,-107,91,10,0.45,0,10
53,0.1,0.3,0.1,20,15,82,92,19,0.45,1,10
54,0.1,0.3,0.1,19,19,83,84,18,0.45,1,10
55,0.1,0.3,0.1,18,15,83,92,18,0.45,1,10
56,0.1,0.3,0.1,19,19,81,92,20,0.45,1,10
57,0.1,0.3,0.1,19,19,83,92,18,0.45,1,10
58,0.1,0.3,0.1,19,21,82,84,19,0.45,1,10
59,0.1,0.3,0.1,20,12,81,92,20,0.45,1,10
60,0.1,0.3,0.1,21,18,73,92,28,0.45,1,10
61,0.1,0.3,0.1,19,19,80,90,21,0.45,1,10
62,0.1,0.3,0.1,18,18,81,92,20,0.45,1,10
63,0.1,0.3,0.1,19,18,82,92,19,0.45,1,10
64,0.1,0.3,0.1,19,19,83,90,18,0.45,1,10
65,0.1,0.3,0.1,19,19,83,92,18,0.45,1,10
66,0.1,0.3,0.1,19,12,83,92,18,0.45,1,10
67,0.1,0.3,0.1,19,16,82,92,19,0.45,1,10
68,0.1,0.3,0.1,19,19,81,92,20,0.45,1,10
69,0.1,0.3,0.1,19,19,79,92,22,0.45,1,10
70,0.1,0.3,0.1,22,18,72,92,29,0.45,1,10
71,0.1,0.3,0.1,19,19,83,92,18,0.45,1,10
72,0.1,0.3,0.1,19,19,83,92,18,0.45,1,10
73,0.1,0.3,0.1,19,14,81,92,20,0.45,1,10
74,0.1,0.3,0.1,19,16,79,92,22,0.45,1,10
75,0.1,0.3,0.1,19,18,81,92,20,0.45,1,10
76,0.1,0.3,0.1,19,18,-105,92,9,0.45,0,10
77,0.1,0.3,0.1,19,21,83,72,29,0.45,1,10
78,0.1,0.3,0.1,19,18,83,92,18,0.45,1,10
79,0.1,0.3,0.1,20,17,78,90,23,0.45,1,10
80,0.1,0.3,0.1,19,12,80,92,21,0.45,1,10
81,0.1,0.3,0.1,20,18,78,92,23,0.45,1,10
82,0.1,0.3,0.1,19,19,83,92,18,0.45,1,10
83,0.1,0.3,0.1,19,18,83,92,18,0.45,1,10
84,0.1,0.3,0.1,19,19,81,92,20,0.45,1,10
85,0.1,0.3,0.1,19,19,82,92,19,0.45,1,10
86,0.1,0.3,0.1,21,19,76,92,25,0.45,1,10
87,0.1,0.3,0.1,20,12,81,92,20,0.45,1,10
88,0.1,0.3,0.1,19,18,83,91,18,0.45,1,10
89,0.1,0.3,0.1,19,19,80,91,21,0.45,1,10
90,0.1,0.3,0.1,19,18,82,92,19,0.45,1,10
91,0.1,0.3,0.1,19,19,82,92,19,0.45,1,10
92,0.1,0.3,0.1,21,19,73,92,28,0.45,1,10
93,0.1,0.3,0.1,22,23,78,91,23,0.45,1,10
94,0.1,0.3,0.1,19,12,83,91,18,0.45,1,10
95,0.1,0.3,0.1,20,16,85,92,16,0.45,1,10
96,0.1,0.3,0.1,18,19,-120,92,21,0.45,0,10
97,0.1,0.3,0.1,19,18,77,92,24,0.45,1,10
98,0.1,0.3,0.1,12,19,-117,92,18,0.45,0,10
99,0.1,0.3,0.1,10,19,-106,-107,8,0.45,0,10
100,0.1,0.3,0.1,10,11,-141,-107,42,0.45,0,10
101,0.1,0.3,0.1,11,10,-118,-181,82,0.45,0,10
102,0.1,0.3,0.1,10,17,-155,-167,68,0.45,0,10
103,0.1,0.3,0.1,12,15,-180,-107,81,0.45,0,10
104,0.1,0.3,0.1,12,8,-142,-107,43,0.45,0,10
105,0.1,0.3,0.1,13,7,-172,-120,73,0.45,0,10
106,0.1,0.3,0.1,13,7,-118,-110,19,0.45,0,10
107,0.1,0.3,0.1,13,7,-176,-124,77,0.45,0,10
108,0.1,0.3,0.1,2,18,-132,-138,39,0.45,0,10
109,0.1,0.3,0.1,11,9,-185,-107,86,0.45,0,10
110,0.1,0.3,0.1,12,8,-174,-177,78,0.45,0,10
111,0.1,0.3,0.1,3,10,-131,-124,32,0.45,0,10
112,0.1,0.3,0.1,5,20,-116,71,30,0.45,0,10
113,0.1,0.3,0.1,13,17,-171,92,72,0.45,0,10
114,0.1,0.3,0.1,31,12,20,92,81,0.45,1,10
115,0.1,0.3,0.1,20,18,83,92,18,0.45,1,10
116,0.1,0.3,0.1,7,12,-116,92,17,0.45,0,10
117,0.1,0.3,0.1,13,11,-133,92,34,0.45,0,10
118,0.1,0.3,0.1,13,11,-143,92,44,0.45,0,10
119,0.1,0.3,0.1,13,10,-238,92,139,0.45,0,10
120,0.1,0.3,0.1,23,10,59,92,42,0.45,1,10
121,0.1,0.3,0.1,20,19,80,92,21,0.45,1,10
122,0.1,0.3,0.1,21,10,81,92,20,0.45,1,10
123,0.1,0.3,0.1,21,22,81,90,20,0.45,1,10
124,0.1,0.3,0.1,21,16,78,90,23,0.45,1,10
125,0.1,0.3,0.1,24,20,70,92,31,0.45,1,10
126,0.1,0.3,0.1,21,17,81,92,20,0.45,1,10
127,0.1,0.3,0.1,21,21,80,90,21,0.45,1,10
128,0.1,0.3,0.1,20,16,81,92,20,0.45,1,10
129,0.1,0.3,0.1,21,19,76,92,25,0.45,1,10
130,0.1,0.3,0.1,21,19,81,91,20,0.45,1,10
131,0.1,0.3,0.1,21,21,81,91,20,0.45,1,10
132,0.1,0.3,0.1,21,20,78,92,23,0.45,1,10
133,0.1,0.3,0.1,21,16,80,92,21,0.45,1,10
134,0.1,0.3,0.1,21,20,81,92,20,0.45,1,10
135,0.1,0.3,0.1,20,17,81,92,20,0.45,1,10
136,0.1,0.3,0.1,22,17,79,92,22,0.45,1,10
137,0.1,0.3,0.1,21,21,78,88,23,0.45,1,10
138,0.1,0.3,0.1,21,21,81,92,20,0.45,1,10
139,0.1,0.3,0.1,21,22,80,92,21,0.45,1,10
140,0.1,0.3,0.1,21,17,81,91,20,0.45,1,10
