eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.2,0.3,0,0,-121,-127,28,0.45,0,10
1,0.1,0.2,0.3,0,0,-109,-114,15,0.45,0,10
2,0.1,0.2,0.3,0,0,-109,-132,33,0.45,0,10
3,0.1,0.2,0.3,37,0,7,-123,94,0.45,0,10
4,0.1,0.2,0.3,14,28,84,64,37,0.45,1,10
5,0.1,0.2,0.3,14,10,-113,91,14,0.45,0,10
6,0.1,0.2,0.3,16,10,-120,90,21,0.45,0,10
7,0.1,0.2,0.3,16,10,-112,92,13,0.45,0,10
8,0.1,0.2,0.3,16,10,-137,91,38,0.45,0,10
9,0.1,0.2,0.3,15,10,69,91,32,0.45,1,10
10,0.1,0.2,0.3,13,31,87,65,36,0.45,1,10
11,0.1,0.2,0.3,21,10,82,90,19,0.45,1,10
12,0.1,0.2,0.3,22,17,72,92,29,0.45,1,10
13,0.1,0.2,0.3,14,11,91,90,11,0.45,1,10
14,0.1,0.2,0.3,18,17,91,92,10,0.45,1,10
15,0.1,0.2,0.3,13,12,91,92,10,0.45,1,10
16,0.1,0.2,0.3,11,14,-106,91,10,0.45,0,10
17,0.1,0.2,0.3,15,9,-118,91,19,0.45,0,10
18,0.1,0.2,0.3,15,11,-106,85,16,0.45,0,10
19,0.1,0.2,0.3,16,10,-129,92,30,0.45,0,10
20,0.1,0.2,0.3,16,12,-131,87,32,0.45,0,10
21,0.1,0.2,0.3,16,10,-118,92,19,0.45,0,10
22,0.1,0.2,0.3,16,10,-128,91,29,0.45,0,10
23,0.1,0.2,0.3,16,10,51,92,50,0.45,1,10
24,0.1,0.2,0.3,15,22,91,86,15,0.45,1,10
25,0.1,0.2,0.3,19,12,91,92,10,0.45,1,10
26,0.1,0.2,0.3,15,17,91,91,10,0.45,1,10
27,0.1,0.2,0.3,14,14,90,92,11,0.45,1,10
28,0.1,0.2,0.3,21,16,89,92,12,0.45,1,10
29,0.1,0.2,0.3,15,13,91,92,10,0.45,1,10
30,0.1,0.2,0.3,18,17,-107,92,9,0.45,0,10
31,0.1,0.2,0.3,14,16,87,90,14,0.45,1,10
32,0.1,0.2,0.3,17,14,91,92,10,0.45,1,10
33,0.1,0.2,0.3,15,19,91,92,10,0.45,1,10
34,0.1,0.2,0.3,16,15,91,92,10,0.45,1,10
35,0.1,0.2,0.3,20,11,83,90,18,0.45,1,10
36,0.1,0.2,0.3,18,16,85,92,16,0.45,1,10
37,0.1,0.2,0.3,14,22,87,-120,21,0.45,0,10
38,0.1,0.2,0.3,19,20,91,92,10,0.45,1,10
39,0.1,0.2,0.3,18,10,88,91,13,0.45,1,10
40,0.1,0.2,0.3,12,19,91,92,10,0.45,1,10
41,0.1,0.2,0.3,13,19,-104,88,13,0.45,0,10
42,0.1,0.2,0.3,14,11,-108,85,16,0.45,0,10
43,0.1,0.2,0.3,18,19,91,92,10,0.45,1,10
44,0.1,0.2,0.3,17,17,91,92,10,0.45,1,10
45,0.1,0.2,0.3,13,12,91,92,10,0.45,1,10
46,0.1,0.2,0.3,19,16,87,92,14,0.45,1,10
47,0.1,0.2,0.3,20,19,-110,83,18,0.45,0,10
48,0.1,0.2,0.3,18,25,91,-112,13,0.45,0,10
49,0.1,0.2,0.3,19,25,-102,-106,7,0.45,0,10
50,0.1,0.2,0.3,19,18,-102,-106,7,0.45,0,10
51,0.1,0.2,0.3,15,18,-102,-114,15,0.45,0,10
52,0.1,0.2,0.3,15,18,-134,-116,35,0.45,0,10
53,0.1,0.2,0.3,15,13,-104,-148,49,0.45,0,10
54,0.1,0.2,0.3,15,13,-109,-194,95,0.45,0,10
55,0.1,0.2,0.3,15,24,-114,63,38,0.45,0,10
56,0.1,0.2,0.3,19,10,-169,92,70,0.45,0,10
57,0.1,0.2,0.3,19,9,-124,92,25,0.45,0,10
58,0.1,0.2,0.3,19,15,-153,68,54,0.45,0,10
59,0.1,0.2,0.3,26,12,-134,90,35,0.45,0,10
60,0.1,0.2,0.3,23,12,-114,90,15,0.45,0,10
61,0.1,0.2,0.3,23,14,-160,84,61,0.45,0,10
62,0.1,0.2,0.3,23,12,-132,87,33,0.45,0,10
63,0.1,0.2,0.3,23,12,-121,90,22,0.45,0,10
64,0.1,0.2,0.3,23,14,-153,84,54,0.45,0,10
65,0.1,0.2,0.3,23,12,-124,90,25,0.45,0,10
66,0.1,0.2,0.3,23,12,-116,90,17,0.45,0,10
67,0.1,0.2,0.3,23,13,-107,89,12,0.45,0,10
68,0.1,0.2,0.3,24,12,-193,88,94,0.45,0,10
69,0.1,0.2,0.3,23,13,-131,88,32,0.45,0,10
70,0.1,0.2,0.3,23,13,-182,-108,83,0.45,0,10
71,0.1,0.2,0.3,24,13,-113,88,14,0.45,0,10
72,0.1,0.2,0.3,24,12,-146,90,47,0.45,0,10
73,0.1,0.2,0.3,24,12,-127,89,28,0.45,0,10
74,0.1,0.2,0.3,24,12,-140,90,41,0.45,0,10
