eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.1,0.2,0,0,-124,-137,38,0.1,0,10
1,0.1,0.1,0.2,0,0,-119,-146,47,0.1,0,10
2,0.1,0.1,0.2,0,0,-115,-120,21,0.1,0,10
3,0.1,0.1,0.2,0,0,-132,-144,45,0.1,0,10
4,0.1,0.1,0.2,0,0,-109,-121,22,0.1,0,10
5,0.1,0.1,0.2,0,0,-109,-156,57,0.1,0,10
6,0.1,0.1,0.2,0,0,-113,-171,72,0.1,0,10
7,0.1,0.1,0.2,0,21,-125,37,64,0.1,0,10
8,0.1,0.1,0.2,14,22,-144,82,45,0.1,0,10
9,0.1,0.1,0.2,15,15,-129,92,30,0.1,0,10
10,0.1,0.1,0.2,15,15,-153,90,54,0.1,0,10
11,0.1,0.1,0.2,15,11,-108,91,10,0.1,0,10
12,0.1,0.1,0.2,15,10,-179,92,80,0.1,0,10
13,0.1,0.1,0.2,15,11,-127,90,28,0.1,0,10
14,0.1,0.1,0.2,15,11,-120,92,21,0.1,0,10
15,0.1,0.1,0.2,15,17,-125,85,26,0.1,0,10
16,0.1,0.1,0.2,15,17,-117,92,18,0.1,0,10
17,0.1,0.1,0.2,15,10,-165,92,66,0.1,0,10
18,0.1,0.1,0.2,15,10,-110,92,11,0.1,0,10
19,0.1,0.1,0.2,31,10,64,91,37,0.1,1,10
20,0.1,0.1,0.2,16,17,85,92,16,0.1,1,10
21,0.1,0.1,0.2,23,21,87,90,14,0.1,1,10
22,0.1,0.1,0.2,24,12,87,92,14,0.1,1,10
23,0.1,0.1,0.2,25,16,81,92,20,0.1,1,10
24,0.1,0.1,0.2,24,19,87,92,14,0.1,1,10
25,0.1,0.1,0.2,23,24,87,87,14,0.1,1,10
26,0.1,0.1,0.2,16,34,85,65,36,0.1,1,10
27,0.1,0.1,0.2,23,27,87,92,14,0.1,1,10
28,0.1,0.1,0.2,24,25,85,89,16,0.1,1,10
29,0.1,0.1,0.2,25,20,83,91,18,0.1,1,10
30,0.1,0.1,0.2,27,17,83,92,18,0.1,1,10
31,0.1,0.1,0.2,27,21,84,88,17,0.1,1,10
32,0.1,0.1,0.2,17,20,89,92,12,0.1,1,10
33,0.1,0.1,0.2,23,15,88,92,13,0.1,1,10
34,0.1,0.1,0.2,24,21,89,92,12,0.1,1,10
35,0.1,0.1,0.2,24,21,89,91,12,0.1,1,10
36,0.1,0.1,0.2,22,16,87,91,14,0.1,1,10
37,0.1,0.1,0.2,22,15,84,91,17,0.1,1,10
