eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.6,0.1,0,0,-123,-157,58,0.45,0,10
1,0.1,0.6,0.1,0,0,-105,-117,18,0.45,0,10
2,0.1,0.6,0.1,0,0,-127,-141,42,0.45,0,10
3,0.1,0.6,0.1,0,10,-118,84,19,0.45,0,10
4,0.1,0.6,0.1,6,9,-107,91,10,0.45,0,10
5,0.1,0.6,0.1,7,9,-104,90,11,0.45,0,10
6,0.1,0.6,0.1,9,10,-113,90,14,0.45,0,10
7,0.1,0.6,0.1,10,10,-114,92,15,0.45,0,10
8,0.1,0.6,0.1,10,10,-159,91,60,0.45,0,10
9,0.1,0.6,0.1,10,6,-136,-118,37,0.45,0,10
10,0.1,0.6,0.1,10,15,-142,69,43,0.45,0,10
11,0.1,0.6,0.1,12,11,-124,92,25,0.45,0,10
12,0.1,0.6,0.1,12,12,-157,92,58,0.45,0,10
13,0.1,0.6,0.1,12,11,-190,92,91,0.45,0,10
14,0.1,0.6,0.1,12,10,-122,91,23,0.45,0,10
15,0.1,0.6,0.1,12,10,-136,92,37,0.45,0,10
16,0.1,0.6,0.1,12,10,-122,91,23,0.45,0,10
17,0.1,0.6,0.1,12,10,-119,92,20,0.45,0,10
18,0.1,0.6,0.1,20,10,42,92,59,0.45,1,10
19,0.1,0.6,0.1,21,19,87,92,14,0.45,1,10
20,0.1,0.6,0.1,21,10,85,91,16,0.45,1,10
21,0.1,0.6,0.1,17,19,87,92,14,0.45,1,10
22,0.1,0.6,0.1,19,22,83,88,18,0.45,1,10
23,0.1,0.6,0.1,21,14,86,83,18,0.45,1,10
24,0.1,0.6,0.1,23,19,85,92,16,0.45,1,10
25,0.1,0.6,0.1,16,20,87,92,14,0.45,1,10
26,0.1,0.6,0.1,21,20,86,92,15,0.45,1,10
27,0.1,0.6,0.1,23,13,81,-110,20,0.45,0,10
28,0.1,0.6,0.1,19,14,87,-109,14,0.45,0,10
29,0.1,0.6,0.1,20,15,87,-133,34,0.45,0,10
30,0.1,0.6,0.1,21,28,85,64,37,0.45,1,10
31,0.1,0.6,0.1,20,23,85,90,16,0.45,1,10
32,0.1,0.6,0.1,17,15,87,88,14,0.45,1,10
33,0.1,0.6,0.1,21,22,87,87,14,0.45,1,10
34,0.1,0.6,0.1,20,22,87,90,14,0.45,1,10
35,0.1,0.6,0.1,22,26,87,75,26,0.45,1,10
36,0.1,0.6,0.1,17,25,80,88,21,0.45,1,10
37,0.1,0.6,0.1,25,23,82,90,19,0.45,1,10
38,0.1,0.6,0.1,23,23,87,88,14,0.45,1,10
39,0.1,0.6,0.1,24,16,85,88,16,0.45,1,10
40,0.1,0.6,0.1,21,22,84,83,18,0.45,1,10
41,0.1,0.6,0.1,23,22,87,88,14,0.45,1,10
42,0.1,0.6,0.1,25,23,89,86,15,0.45,1,10
43,0.1,0.6,0.1,25,23,-103,87,14,0.45,0,10
44,0.1,0.6,0.1,19,23,87,88,14,0.45,1,10
45,0.1,0.6,0.1,21,26,87,86,15,0.45,1,10
46,0.1,0.6,0.1,23,16,87,87,14,0.45,1,10
47,0.1,0.6,0.1,23,27,86,69,32,0.45,1,10
48,0.1,0.6,0.1,25,20,72,88,29,0.45,1,10
49,0.1,0.6,0.1,22,22,-104,86,15,0.45,0,10
50,0.1,0.6,0.1,21,23,-119,83,20,0.45,0,10
51,0.1,0.6,0.1,20,23,-123,88,24,0.45,0,10
52,0.1,0.6,0.1,20,21,-115,88,16,0.45,0,10
53,0.1,0.6,0.1,20,15,-123,86,24,0.45,0,10
54,0.1,0.6,0.1,20,15,-164,88,65,0.45,0,10
55,0.1,0.6,0.1,16,14,-121,90,22,0.45,0,10
56,0.1,0.6,0.1,16,14,-160,87,61,0.45,0,10
57,0.1,0.6,0.1,16,14,-117,87,18,0.45,0,10
58,0.1,0.6,0.1,16,14,-146,88,47,0.45,0,10
59,0.1,0.6,0.1,24,14,68,90,33,0.45,1,10
60,0.1,0.6,0.1,22,22,83,88,18,0.45,1,10
61,0.1,0.6,0.1,21,14,79,88,22,0.45,1,10
62,0.1,0.6,0.1,20,17,-106,90,11,0.45,0,10
63,0.1,0.6,0.1,20,14,-140,-104,41,0.45,0,10
64,0.1,0.6,0.1,24,16,74,-116,27,0.45,0,10
65,0.1,0.6,0.1,23,26,83,55,46,0.45,1,10
66,0.1,0.6,0.1,22,19,83,92,18,0.45,1,10
67,0.1,0.6,0.1,22,16,85,92,16,0.45,1,10
68,0.1,0.6,0.1,22,19,81,92,20,0.45,1,10
69,0.1,0.6,0.1,20,20,80,90,21,0.45,1,10
70,0.1,0.6,0.1,23,19,81,92,20,0.45,1,10
71,0.1,0.6,0.1,20,17,83,92,18,0.45,1,10
72,0.1,0.6,0.1,22,15,83,92,18,0.45,1,10
73,0.1,0.6,0.1,20,17,81,92,20,0.45,1,10
74,0.1,0.6,0.1,24,18,79,92,22,0.45,1,10
75,0.1,0.6,0.1,22,19,83,92,18,0.45,1,10
76,0.1,0.6,0.1,22,20,81,91,20,0.45,1,10
77,0.1,0.6,0.1,21,18,83,92,18,0.45,1,10
78,0.1,0.6,0.1,22,18,79,92,22,0.45,1,10
79,0.1,0.6,0.1,22,16,81,91,20,0.45,1,10
80,0.1,0.6,0.1,20,18,80,92,21,0.45,1,10
81,0.1,0.6,0.1,22,18,83,92,18,0.45,1,10
82,0.1,0.6,0.1,22,19,82,92,19,0.45,1,10
83,0.1,0.6,0.1,8,19,-119,92,20,0.45,0,10
84,0.1,0.6,0.1,12,22,-124,82,25,0.45,0,10
85,0.1,0.6,0.1,12,17,-141,92,42,0.45,0,10
86,0.1,0.6,0.1,12,13,-116,92,17,0.45,0,10
87,0.1,0.6,0.1,29,11,20,92,81,0.45,1,10
88,0.1,0.6,0.1,24,16,78,91,23,0.45,1,10
89,0.1,0.6,0.1,21,12,82,92,19,0.45,1,10
