eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.2,0.1,0,0,-118,-146,47,0.1,0,10
1,0.1,0.2,0.1,0,18,-109,73,28,0.1,0,10
2,0.1,0.2,0.1,13,19,-116,85,17,0.1,0,10
3,0.1,0.2,0.1,13,19,-105,86,15,0.1,0,10
4,0.1,0.2,0.1,14,19,-127,86,28,0.1,0,10
5,0.1,0.2,0.1,14,19,-109,88,13,0.1,0,10
6,0.1,0.2,0.1,14,14,-153,88,54,0.1,0,10
7,0.1,0.2,0.1,36,16,25,84,76,0.1,1,10
8,0.1,0.2,0.1,40,27,74,91,27,0.1,1,10
9,0.1,0.2,0.1,40,27,-107,88,13,0.1,0,10
10,0.1,0.2,0.1,40,28,81,86,20,0.1,1,10
11,0.1,0.2,0.1,39,28,83,-113,18,0.1,0,10
12,0.1,0.2,0.1,37,28,80,88,21,0.1,1,10
13,0.1,0.2,0.1,28,26,81,88,20,0.1,1,10
14,0.1,0.2,0.1,24,27,80,-125,26,0.1,0,10
15,0.1,0.2,0.1,24,16,78,88,23,0.1,1,10
16,0.1,0.2,0.1,24,25,-124,88,25,0.1,0,10
17,0.1,0.2,0.1,24,24,81,86,20,0.1,1,10
18,0.1,0.2,0.1,24,24,82,92,19,0.1,1,10
19,0.1,0.2,0.1,26,24,76,88,25,0.1,1,10
20,0.1,0.2,0.1,26,26,82,79,22,0.1,1,10
21,0.1,0.2,0.1,26,25,83,92,18,0.1,1,10
22,0.1,0.2,0.1,25,26,83,92,18,0.1,1,10
23,0.1,0.2,0.1,21,25,83,88,18,0.1,1,10
24,0.1,0.2,0.1,23,25,81,86,20,0.1,1,10
25,0.1,0.2,0.1,24,16,83,88,18,0.1,1,10
26,0.1,0.2,0.1,25,23,79,84,22,0.1,1,10
27,0.1,0.2,0.1,26,24,80,88,21,0.1,1,10
28,0.1,0.2,0.1,26,24,80,84,21,0.1,1,10
29,0.1,0.2,0.1,25,25,83,86,18,0.1,1,10
30,0.1,0.2,0.1,25,28,83,86,18,0.1,1,10
31,0.1,0.2,0.1,25,27,83,88,18,0.1,1,10
32,0.1,0.2,0.1,24,25,83,88,18,0.1,1,10
33,0.1,0.2,0.1,24,25,-119,88,20,0.1,0,10
34,0.1,0.2,0.1,24,25,-116,88,17,0.1,0,10
35,0.1,0.2,0.1,23,23,83,87,18,0.1,1,10
36,0.1,0.2,0.1,19,16,83,86,18,0.1,1,10
37,0.1,0.2,0.1,22,21,83,92,18,0.1,1,10
38,0.1,0.2,0.1,31,25,72,80,29,0.1,1,10
39,0.1,0.2,0.1,31,26,-104,86,15,0.1,0,10
40,0.1,0.2,0.1,32,26,80,86,21,0.1,1,10
41,0.1,0.2,0.1,32,26,82,92,19,0.1,1,10
42,0.1,0.2,0.1,32,26,81,87,20,0.1,1,10
43,0.1,0.2,0.1,32,24,81,88,20,0.1,1,10
44,0.1,0.2,0.1,32,22,-112,88,13,0.1,0,10
45,0.1,0.2,0.1,24,21,83,87,18,0.1,1,10
46,0.1,0.2,0.1,23,23,81,88,20,0.1,1,10
47,0.1,0.2,0.1,23,18,-120,88,21,0.1,0,10
48,0.1,0.2,0.1,20,22,87,82,19,0.1,1,10
49,0.1,0.2,0.1,23,23,-117,87,18,0.1,0,10
50,0.1,0.2,0.1,23,23,78,88,23,0.1,1,10
51,0.1,0.2,0.1,22,24,83,87,18,0.1,1,10
52,0.1,0.2,0.1,23,24,82,87,19,0.1,1,10
53,0.1,0.2,0.1,23,24,-107,88,13,0.1,0,10
54,0.1,0.2,0.1,26,24,74,88,27,0.1,1,10
55,0.1,0.2,0.1,26,21,-118,90,19,0.1,0,10
56,0.1,0.2,0.1,28,25,74,79,27,0.1,1,10
57,0.1,0.2,0.1,29,28,83,88,18,0.1,1,10
58,0.1,0.2,0.1,29,25,81,85,20,0.1,1,10
59,0.1,0.2,0.1,29,28,83,88,18,0.1,1,10
60,0.1,0.2,0.1,26,28,81,-110,20,0.1,0,10
61,0.1,0.2,0.1,21,28,83,88,18,0.1,1,10
62,0.1,0.2,0.1,22,23,82,88,19,0.1,1,10
63,0.1,0.2,0.1,21,22,83,86,18,0.1,1,10
64,0.1,0.2,0.1,23,24,-105,92,9,0.1,0,10
65,0.1,0.2,0.1,23,22,80,88,21,0.1,1,10
66,0.1,0.2,0.1,26,25,77,88,24,0.1,1,10
67,0.1,0.2,0.1,26,31,81,80,21,0.1,1,10
68,0.1,0.2,0.1,31,30,66,88,35,0.1,1,10
69,0.1,0.2,0.1,31,29,83,88,18,0.1,1,10
70,0.1,0.2,0.1,31,28,83,82,19,0.1,1,10
71,0.1,0.2,0.1,28,30,83,90,18,0.1,1,10
72,0.1,0.2,0.1,34,29,74,87,27,0.1,1,10
73,0.1,0.2,0.1,25,30,79,80,22,0.1,1,10
74,0.1,0.2,0.1,24,27,83,87,18,0.1,1,10
75,0.1,0.2,0.1,25,26,80,88,21,0.1,1,10
76,0.1,0.2,0.1,24,25,87,86,15,0.1,1,10
77,0.1,0.2,0.1,23,26,83,-125,26,0.1,0,10
78,0.1,0.2,0.1,29,25,68,86,33,0.1,1,10
79,0.1,0.2,0.1,29,23,-114,88,15,0.1,0,10
80,0.1,0.2,0.1,29,25,-102,81,20,0.1,0,10
81,0.1,0.2,0.1,28,26,83,88,18,0.1,1,10
82,0.1,0.2,0.1,28,23,83,88,18,0.1,1,10
83,0.1,0.2,0.1,28,26,83,88,18,0.1,1,10
84,0.1,0.2,0.1,28,25,87,88,14,0.1,1,10
85,0.1,0.2,0.1,21,22,82,87,19,0.1,1,10
86,0.1,0.2,0.1,23,22,84,88,17,0.1,1,10
87,0.1,0.2,0.1,22,23,87,-110,14,0.1,0,10
88,0.1,0.2,0.1,22,21,83,88,18,0.1,1,10
89,0.1,0.2,0.1,22,24,83,92,18,0.1,1,10
90,0.1,0.2,0.1,23,24,83,88,18,0.1,1,10
91,0.1,0.2,0.1,23,20,82,88,19,0.1,1,10
92,0.1,0.2,0.1,23,27,87,80,21,0.1,1,10
93,0.1,0.2,0.1,24,25,83,88,18,0.1,1,10
94,0.1,0.2,0.1,23,25,78,88,23,0.1,1,10
95,0.1,0.2,0.1,24,26,82,88,19,0.1,1,10
96,0.1,0.2,0.1,22,26,81,88,20,0.1,1,10
97,0.1,0.2,0.1,25,23,85,85,16,0.1,1,10
98,0.1,0.2,0.1,24,21,81,87,20,0.1,1,10
99,0.1,0.2,0.1,24,23,-106,88,13,0.1,0,10
100,0.1,0.2,0.1,24,23,-108,88,13,0.1,0,10
