eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.4,1,0,0,-133,-131,34,0.1,0,10
1,0.1,0.4,1,0,0,-127,-111,28,0.1,0,10
2,0.1,0.4,1,0,0,-115,-124,25,0.1,0,10
3,0.1,0.4,1,0,21,-104,58,43,0.1,0,10
4,0.1,0.4,1,13,14,-127,88,28,0.1,0,10
5,0.1,0.4,1,14,12,-113,88,14,0.1,0,10
6,0.1,0.4,1,14,14,-111,80,21,0.1,0,10
7,0.1,0.4,1,14,11,-106,88,13,0.1,0,10
8,0.1,0.4,1,17,12,-145,90,46,0.1,0,10
9,0.1,0.4,1,17,9,-132,92,33,0.1,0,10
10,0.1,0.4,1,17,9,-124,-106,25,0.1,0,10
11,0.1,0.4,1,17,9,-129,-141,42,0.1,0,10
12,0.1,0.4,1,17,3,-120,-110,21,0.1,0,10
13,0.1,0.4,1,17,13,-148,76,49,0.1,0,10
14,0.1,0.4,1,20,10,-153,92,54,0.1,0,10
15,0.1,0.4,1,20,10,-119,92,20,0.1,0,10
16,0.1,0.4,1,20,10,-138,92,39,0.1,0,10
17,0.1,0.4,1,20,10,-153,91,54,0.1,0,10
18,0.1,0.4,1,26,10,46,92,55,0.1,1,10
19,0.1,0.4,1,29,17,74,92,27,0.1,1,10
20,0.1,0.4,1,24,13,75,90,26,0.1,1,10
21,0.1,0.4,1,32,24,56,62,45,0.1,1,10
22,0.1,0.4,1,27,23,68,28,73,0.1,1,10
23,0.1,0.4,1,26,21,71,18,83,0.1,1,10
24,0.1,0.4,1,27,26,79,-117,218,0.1,1,10
25,0.1,0.4,1,24,32,79,-107,22,0.1,0,10
26,0.1,0.4,1,27,11,68,88,33,0.1,1,10
27,0.1,0.4,1,22,22,79,81,22,0.1,1,10
28,0.1,0.4,1,22,10,-113,91,14,0.1,0,10
29,0.1,0.4,1,20,18,81,90,20,0.1,1,10
30,0.1,0.4,1,23,10,81,90,20,0.1,1,10
31,0.1,0.4,1,20,18,80,91,21,0.1,1,10
32,0.1,0.4,1,22,10,79,92,22,0.1,1,10
33,0.1,0.4,1,22,12,-139,88,40,0.1,0,10
34,0.1,0.4,1,20,19,80,89,21,0.1,1,10
35,0.1,0.4,1,25,12,70,90,31,0.1,1,10
36,0.1,0.4,1,20,17,78,92,23,0.1,1,10
37,0.1,0.4,1,22,13,-118,82,19,0.1,0,10
38,0.1,0.4,1,20,16,80,92,21,0.1,1,10
