eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0,0.2,0.4,0,0,-114,-113,15,0.45,0,10
1,0,0.2,0.4,0,25,-105,51,50,0.45,0,10
2,0,0.2,0.4,13,14,-121,86,22,0.45,0,10
3,0,0.2,0.4,14,14,-119,88,20,0.45,0,10
4,0,0.2,0.4,14,14,-121,86,22,0.45,0,10
5,0,0.2,0.4,14,14,-119,86,20,0.45,0,10
6,0,0.2,0.4,14,14,-155,88,56,0.45,0,10
7,0,0.2,0.4,14,9,-122,91,23,0.45,0,10
8,0,0.2,0.4,14,11,-120,84,21,0.45,0,10
9,0,0.2,0.4,14,9,-106,89,12,0.45,0,10
10,0,0.2,0.4,15,2,-170,-110,71,0.45,0,10
11,0,0.2,0.4,15,2,-112,-141,42,0.45,0,10
12,0,0.2,0.4,15,26,-180,3,98,0.45,0,10
13,0,0.2,0.4,26,11,49,90,52,0.45,1,10
14,0,0.2,0.4,21,17,81,92,20,0.45,1,10
15,0,0.2,0.4,19,21,83,75,26,0.45,1,10
16,0,0.2,0.4,23,17,83,92,18,0.45,1,10
17,0,0.2,0.4,23,10,-116,92,17,0.45,0,10
18,0,0.2,0.4,20,13,78,90,23,0.45,1,10
19,0,0.2,0.4,20,17,82,92,19,0.45,1,10
20,0,0.2,0.4,18,15,83,84,18,0.45,1,10
21,0,0.2,0.4,20,17,85,90,16,0.45,1,10
22,0,0.2,0.4,14,14,-112,-111,13,0.45,0,10
23,0,0.2,0.4,14,10,-160,87,61,0.45,0,10
24,0,0.2,0.4,15,9,-117,90,18,0.45,0,10
25,0,0.2,0.4,15,19,-124,65,36,0.45,0,10
26,0,0.2,0.4,17,14,-148,88,49,0.45,0,10
27,0,0.2,0.4,22,14,67,88,34,0.45,1,10
28,0,0.2,0.4,24,27,82,82,19,0.45,1,10
29,0,0.2,0.4,20,13,82,82,19,0.45,1,10
30,0,0.2,0.4,17,21,-110,86,15,0.45,0,10
31,0,0.2,0.4,19,14,73,88,28,0.45,1,10
32,0,0.2,0.4,22,23,83,86,18,0.45,1,10
33,0,0.2,0.4,19,17,82,-157,58,0.45,0,10
34,0,0.2,0.4,23,15,76,74,27,0.45,1,10
35,0,0.2,0.4,24,20,63,88,38,0.45,1,10
36,0,0.2,0.4,15,14,81,80,21,0.45,1,10
37,0,0.2,0.4,18,19,89,90,12,0.45,1,10
38,0,0.2,0.4,11,12,89,-123,24,0.45,0,10
39,0,0.2,0.4,11,13,89,67,34,0.45,1,10
40,0,0.2,0.4,16,18,90,92,11,0.45,1,10
41,0,0.2,0.4,12,10,91,92,10,0.45,1,10
42,0,0.2,0.4,16,17,91,90,11,0.45,1,10
43,0,0.2,0.4,12,9,-107,92,9,0.45,0,10
44,0,0.2,0.4,12,9,-114,-110,15,0.45,0,10
45,0,0.2,0.4,12,10,-150,92,51,0.45,0,10
46,0,0.2,0.4,14,10,61,92,40,0.45,1,10
47,0,0.2,0.4,16,16,91,91,10,0.45,1,10
48,0,0.2,0.4,13,10,79,92,22,0.45,1,10
49,0,0.2,0.4,10,9,-104,-108,9,0.45,0,10
50,0,0.2,0.4,9,10,-128,-128,29,0.45,0,10
51,0,0.2,0.4,9,10,-111,-111,12,0.45,0,10
52,0,0.2,0.4,9,21,-129,2,99,0.45,0,10
53,0,0.2,0.4,11,16,-107,90,11,0.45,0,10
54,0,0.2,0.4,14,14,-135,83,36,0.45,0,10
55,0,0.2,0.4,15,12,-116,90,17,0.45,0,10
56,0,0.2,0.4,15,10,-140,87,41,0.45,0,10
57,0,0.2,0.4,17,12,-123,83,24,0.45,0,10
58,0,0.2,0.4,17,12,-127,89,28,0.45,0,10
59,0,0.2,0.4,17,12,-145,90,46,0.45,0,10
60,0,0.2,0.4,17,9,-142,92,43,0.45,0,10
61,0,0.2,0.4,16,10,76,90,25,0.45,1,10
62,0,0.2,0.4,21,18,84,92,17,0.45,1,10
63,0,0.2,0.4,16,11,85,92,16,0.45,1,10
64,0,0.2,0.4,21,18,85,91,16,0.45,1,10
65,0,0.2,0.4,20,10,76,92,25,0.45,1,10
66,0,0.2,0.4,21,18,80,91,21,0.45,1,10
67,0,0.2,0.4,17,15,82,79,22,0.45,1,10
68,0,0.2,0.4,20,18,85,88,16,0.45,1,10
69,0,0.2,0.4,19,12,83,91,18,0.45,1,10
70,0,0.2,0.4,18,17,85,92,16,0.45,1,10
71,0,0.2,0.4,19,12,83,92,18,0.45,1,10
72,0,0.2,0.4,21,10,-138,91,39,0.45,0,10
73,0,0.2,0.4,17,12,-107,-104,8,0.45,0,10
74,0,0.2,0.4,20,19,64,-130,37,0.45,0,10
75,0,0.2,0.4,20,11,85,91,16,0.45,1,10
76,0,0.2,0.4,17,18,85,92,16,0.45,1,10
77,0,0.2,0.4,20,11,85,92,16,0.45,1,10
78,0,0.2,0.4,17,18,85,92,16,0.45,1,10
79,0,0.2,0.4,20,11,83,92,18,0.45,1,10
80,0,0.2,0.4,20,11,-105,90,11,0.45,0,10
81,0,0.2,0.4,18,10,72,92,29,0.45,1,10
82,0,0.2,0.4,27,19,72,90,29,0.45,1,10
83,0,0.2,0.4,18,11,83,92,18,0.45,1,10
84,0,0.2,0.4,23,18,81,92,20,0.45,1,10
85,0,0.2,0.4,18,11,83,92,18,0.45,1,10
86,0,0.2,0.4,23,18,82,92,19,0.45,1,10
87,0,0.2,0.4,18,11,83,92,18,0.45,1,10
88,0,0.2,0.4,24,18,79,92,22,0.45,1,10
89,0,0.2,0.4,18,11,83,92,18,0.45,1,10
90,0,0.2,0.4,25,18,73,91,28,0.45,1,10
91,0,0.2,0.4,17,10,79,92,22,0.45,1,10
92,0,0.2,0.4,18,15,74,92,27,0.45,1,10
93,0,0.2,0.4,20,10,77,92,24,0.45,1,10
94,0,0.2,0.4,24,11,-129,92,30,0.45,0,10
95,0,0.2,0.4,10,17,90,92,11,0.45,1,10
96,0,0.2,0.4,20,11,88,92,13,0.45,1,10
97,0,0.2,0.4,10,18,91,92,10,0.45,1,10
98,0,0.2,0.4,17,12,91,-147,48,0.45,0,10
99,0,0.2,0.4,10,12,-105,-123,24,0.45,0,10
100,0,0.2,0.4,11,12,-128,80,29,0.45,0,10
101,0,0.2,0.4,13,10,-152,92,53,0.45,0,10
