eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,1,1,0,0,-123,-137,38,0.1,0,10,2
1,0.1,1,1,0,0,-115,-106,16,0.1,0,10,2
2,0.1,1,1,0,0,-108,-128,29,0.1,0,10,2
3,0.1,1,1,0,0,-121,-170,71,0.1,0,10,2
4,0.1,1,1,0,0,-127,-119,28,0.1,0,10,2
5,0.1,1,1,0,0,-104,-131,32,0.1,0,10,2
6,0.1,1,1,0,18,-134,50,51,0.1,0,10,2
7,0.1,1,1,9,11,-108,90,11,0.1,0,10,2
8,0.1,1,1,11,12,-126,86,27,0.1,0,10,2
9,0.1,1,1,12,13,-195,88,96,0.1,0,10,2
10,0.1,1,1,12,12,-117,90,18,0.1,0,10,2
11,0.1,1,1,12,14,-113,80,21,0.1,0,10,2
12,0.1,1,1,19,12,72,-103,29,0.1,0,10,2
13,0.1,1,1,18,16,79,-112,22,0.1,0,10,2
