eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-135,-122,36,0.1,0,10,2
1,0.1,0.31,0.5,0,0,-113,-176,77,0.1,0,10,2
2,0.1,0.31,0.5,0,0,-126,-124,27,0.1,0,10,2
3,0.1,0.31,0.5,0,0,-107,-129,30,0.1,0,10,2
4,0.1,0.31,0.5,0,0,-116,-141,42,0.1,0,10,2
5,0.1,0.31,0.5,0,0,-110,-149,50,0.1,0,10,2
6,0.1,0.31,0.5,0,0,-120,-156,57,0.1,0,10,2
7,0.1,0.31,0.5,0,0,-145,-120,46,0.1,0,10,2
8,0.1,0.31,0.5,0,16,-108,72,29,0.1,0,10,2
9,0.1,0.31,0.5,11,12,-130,90,31,0.1,0,10,2
10,0.1,0.31,0.5,12,12,-161,90,62,0.1,0,10,2
11,0.1,0.31,0.5,12,15,-142,86,43,0.1,0,10,2
12,0.1,0.31,0.5,12,12,-113,90,14,0.1,0,10,2
13,0.1,0.31,0.5,12,12,-149,89,50,0.1,0,10,2
14,0.1,0.31,0.5,12,11,-104,90,11,0.1,0,10,2
15,0.1,0.31,0.5,12,12,-135,90,36,0.1,0,10,2
16,0.1,0.31,0.5,12,13,-131,88,32,0.1,0,10,2
17,0.1,0.31,0.5,12,14,-184,84,85,0.1,0,10,2
18,0.1,0.31,0.5,12,14,-146,83,47,0.1,0,10,2
19,0.1,0.31,0.5,20,12,75,90,26,0.1,1,10,2
20,0.1,0.31,0.5,25,22,-128,90,29,0.1,0,10,2
21,0.1,0.31,0.5,22,12,79,90,22,0.1,1,10,2
22,0.1,0.31,0.5,19,22,80,90,21,0.1,1,10,2
23,0.1,0.31,0.5,23,13,80,90,21,0.1,1,10,2
24,0.1,0.31,0.5,23,21,83,90,18,0.1,1,10,2
25,0.1,0.31,0.5,18,14,79,90,22,0.1,1,10,2
26,0.1,0.31,0.5,24,21,79,86,22,0.1,1,10,2
27,0.1,0.31,0.5,24,22,-111,90,12,0.1,0,10,2
28,0.1,0.31,0.5,22,14,83,89,18,0.1,1,10,2
29,0.1,0.31,0.5,19,22,82,90,19,0.1,1,10,2
30,0.1,0.31,0.5,22,20,81,85,20,0.1,1,10,2
31,0.1,0.31,0.5,23,16,81,90,20,0.1,1,10,2
