eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-173,-275,176,0.1,0,15,2
1,0.1,0.31,0.5,0,0,-131,-184,85,0.1,0,15,2
2,0.1,0.31,0.5,0,0,-140,-140,41,0.1,0,15,2
3,0.1,0.31,0.5,0,0,-155,-249,150,0.1,0,15,2
4,0.1,0.31,0.5,0,0,-141,-154,55,0.1,0,15,2
5,0.1,0.31,0.5,0,30,-112,18,83,0.1,0,15,2
6,0.1,0.31,0.5,12,14,-159,87,60,0.1,0,15,2
7,0.1,0.31,0.5,12,14,-195,-250,151,0.1,0,15,2
8,0.1,0.31,0.5,13,10,-146,-117,47,0.1,0,15,2
9,0.1,0.31,0.5,13,10,-190,-156,91,0.1,0,15,2
10,0.1,0.31,0.5,13,29,-158,21,80,0.1,0,15,2
11,0.1,0.31,0.5,14,18,-127,79,28,0.1,0,15,2
12,0.1,0.31,0.5,15,15,-241,87,142,0.1,0,15,2
13,0.1,0.31,0.5,15,15,-138,86,39,0.1,0,15,2
14,0.1,0.31,0.5,15,15,-126,87,27,0.1,0,15,2
15,0.1,0.31,0.5,34,16,52,85,49,0.1,1,15,2
16,0.1,0.31,0.5,28,40,72,-124,29,0.1,0,15,2
17,0.1,0.31,0.5,34,16,-119,87,20,0.1,0,15,2
18,0.1,0.31,0.5,32,27,69,87,32,0.1,1,15,2
19,0.1,0.31,0.5,34,17,62,82,39,0.1,1,15,2
20,0.1,0.31,0.5,31,28,71,86,30,0.1,1,15,2
21,0.1,0.31,0.5,36,16,73,87,28,0.1,1,15,2
22,0.1,0.31,0.5,38,19,57,86,44,0.1,1,15,2
23,0.1,0.31,0.5,31,42,72,73,29,0.1,1,15,2
24,0.1,0.31,0.5,36,24,-122,85,23,0.1,0,15,2
25,0.1,0.31,0.5,36,31,70,77,31,0.1,1,15,2
26,0.1,0.31,0.5,31,33,64,82,37,0.1,1,15,2
27,0.1,0.31,0.5,39,27,57,87,44,0.1,1,15,2
28,0.1,0.31,0.5,37,21,70,86,31,0.1,1,15,2
29,0.1,0.31,0.5,37,25,-119,87,20,0.1,0,15,2
30,0.1,0.31,0.5,37,26,-132,87,33,0.1,0,15,2
31,0.1,0.31,0.5,34,21,56,86,45,0.1,1,15,2
32,0.1,0.31,0.5,38,26,64,81,37,0.1,1,15,2
33,0.1,0.31,0.5,33,17,49,86,52,0.1,1,15,2
34,0.1,0.31,0.5,27,22,71,86,30,0.1,1,15,2
35,0.1,0.31,0.5,33,29,-131,82,32,0.1,0,15,2
36,0.1,0.31,0.5,31,28,72,87,29,0.1,1,15,2
37,0.1,0.31,0.5,26,19,71,87,30,0.1,1,15,2
38,0.1,0.31,0.5,31,31,77,82,24,0.1,1,15,2
39,0.1,0.31,0.5,32,24,-173,85,74,0.1,0,15,2
40,0.1,0.31,0.5,30,22,77,87,24,0.1,1,15,2
41,0.1,0.31,0.5,29,19,68,87,33,0.1,1,15,2
42,0.1,0.31,0.5,32,24,76,87,25,0.1,1,15,2
43,0.1,0.31,0.5,30,23,76,84,25,0.1,1,15,2
44,0.1,0.31,0.5,26,27,75,87,26,0.1,1,15,2
45,0.1,0.31,0.5,32,17,77,87,24,0.1,1,15,2
46,0.1,0.31,0.5,30,32,78,77,24,0.1,1,15,2
47,0.1,0.31,0.5,28,33,72,78,29,0.1,1,15,2
48,0.1,0.31,0.5,31,15,74,87,27,0.1,1,15,2
49,0.1,0.31,0.5,33,19,65,87,36,0.1,1,15,2
50,0.1,0.31,0.5,29,28,75,87,26,0.1,1,15,2
51,0.1,0.31,0.5,37,26,63,80,38,0.1,1,15,2
52,0.1,0.31,0.5,32,24,74,85,27,0.1,1,15,2
53,0.1,0.31,0.5,29,28,75,87,26,0.1,1,15,2
54,0.1,0.31,0.5,33,23,73,85,28,0.1,1,15,2
55,0.1,0.31,0.5,33,23,69,85,32,0.1,1,15,2
56,0.1,0.31,0.5,29,28,73,86,28,0.1,1,15,2
57,0.1,0.31,0.5,34,34,75,-242,143,0.1,0,15,2
58,0.1,0.31,0.5,33,27,68,87,33,0.1,1,15,2
59,0.1,0.31,0.5,29,25,75,84,26,0.1,1,15,2
60,0.1,0.31,0.5,34,29,72,87,29,0.1,1,15,2
61,0.1,0.31,0.5,29,23,75,87,26,0.1,1,15,2
62,0.1,0.31,0.5,33,29,-117,-112,18,0.1,0,15,2
63,0.1,0.31,0.5,28,34,75,-119,26,0.1,0,15,2
64,0.1,0.31,0.5,54,27,-1,87,102,0.1,1,15,2
65,0.1,0.31,0.5,52,28,-125,79,26,0.1,0,15,2
66,0.1,0.31,0.5,31,30,67,77,34,0.1,1,15,2
67,0.1,0.31,0.5,35,24,70,81,31,0.1,1,15,2
68,0.1,0.31,0.5,32,30,75,82,26,0.1,1,15,2
69,0.1,0.31,0.5,33,33,71,86,30,0.1,1,15,2
70,0.1,0.31,0.5,35,19,77,87,24,0.1,1,15,2
71,0.1,0.31,0.5,33,29,71,85,30,0.1,1,15,2
72,0.1,0.31,0.5,32,32,74,81,27,0.1,1,15,2
73,0.1,0.31,0.5,33,35,73,-110,28,0.1,0,15,2
74,0.1,0.31,0.5,33,24,73,87,28,0.1,1,15,2
75,0.1,0.31,0.5,34,25,75,85,26,0.1,1,15,2
76,0.1,0.31,0.5,33,29,69,86,32,0.1,1,15,2
77,0.1,0.31,0.5,33,19,72,87,29,0.1,1,15,2
78,0.1,0.31,0.5,36,21,71,87,30,0.1,1,15,2
79,0.1,0.31,0.5,33,34,75,83,26,0.1,1,15,2
80,0.1,0.31,0.5,41,25,71,87,30,0.1,1,15,2
81,0.1,0.31,0.5,29,35,73,65,36,0.1,1,15,2
82,0.1,0.31,0.5,36,26,73,87,28,0.1,1,15,2
83,0.1,0.31,0.5,35,27,75,81,26,0.1,1,15,2
84,0.1,0.31,0.5,37,28,52,83,49,0.1,1,15,2
85,0.1,0.31,0.5,37,29,73,78,28,0.1,1,15,2
86,0.1,0.31,0.5,36,37,75,71,30,0.1,1,15,2
87,0.1,0.31,0.5,28,27,75,86,26,0.1,1,15,2
88,0.1,0.31,0.5,37,26,-125,87,26,0.1,0,15,2
89,0.1,0.31,0.5,36,26,71,87,30,0.1,1,15,2
90,0.1,0.31,0.5,30,23,75,86,26,0.1,1,15,2
91,0.1,0.31,0.5,37,25,76,87,25,0.1,1,15,2
92,0.1,0.31,0.5,33,22,73,86,28,0.1,1,15,2
93,0.1,0.31,0.5,30,23,75,87,26,0.1,1,15,2
94,0.1,0.31,0.5,38,24,68,87,33,0.1,1,15,2
95,0.1,0.31,0.5,38,22,67,87,34,0.1,1,15,2
96,0.1,0.31,0.5,32,28,68,85,33,0.1,1,15,2
97,0.1,0.31,0.5,36,26,69,86,32,0.1,1,15,2
98,0.1,0.31,0.5,37,25,-106,71,30,0.1,0,15,2
99,0.1,0.31,0.5,38,24,-121,87,22,0.1,0,15,2
100,0.1,0.31,0.5,34,28,-119,87,20,0.1,0,15,2
101,0.1,0.31,0.5,42,21,53,85,48,0.1,1,15,2
102,0.1,0.31,0.5,37,23,63,87,38,0.1,1,15,2
103,0.1,0.31,0.5,36,28,65,81,36,0.1,1,15,2
104,0.1,0.31,0.5,37,22,57,85,44,0.1,1,15,2
105,0.1,0.31,0.5,39,24,63,86,38,0.1,1,15,2
106,0.1,0.31,0.5,38,23,57,83,44,0.1,1,15,2
107,0.1,0.31,0.5,35,27,65,85,36,0.1,1,15,2
108,0.1,0.31,0.5,46,25,48,87,53,0.1,1,15,2
109,0.1,0.31,0.5,37,19,65,87,36,0.1,1,15,2
110,0.1,0.31,0.5,35,24,65,86,36,0.1,1,15,2
111,0.1,0.31,0.5,36,27,66,87,35,0.1,1,15,2
112,0.1,0.31,0.5,38,22,65,87,36,0.1,1,15,2
113,0.1,0.31,0.5,35,27,66,84,35,0.1,1,15,2
114,0.1,0.31,0.5,37,27,-117,87,18,0.1,0,15,2
115,0.1,0.31,0.5,38,22,67,85,34,0.1,1,15,2
116,0.1,0.31,0.5,44,22,42,87,59,0.1,1,15,2
117,0.1,0.31,0.5,43,22,56,87,45,0.1,1,15,2
118,0.1,0.31,0.5,39,28,66,87,35,0.1,1,15,2
119,0.1,0.31,0.5,35,24,62,87,39,0.1,1,15,2
120,0.1,0.31,0.5,38,26,65,82,36,0.1,1,15,2
121,0.1,0.31,0.5,39,34,67,82,34,0.1,1,15,2
122,0.1,0.31,0.5,35,26,64,87,37,0.1,1,15,2
123,0.1,0.31,0.5,37,22,67,87,34,0.1,1,15,2
124,0.1,0.31,0.5,41,30,62,84,39,0.1,1,15,2
125,0.1,0.31,0.5,35,27,65,87,36,0.1,1,15,2
