eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,8888,0,0,-117,-171,72,0.1,0,10,2
1,0.1,0.31,8888,0,0,-107,-127,28,0.1,0,10,2
2,0.1,0.31,8888,0,0,-135,-156,57,0.1,0,10,2
3,0.1,0.31,8888,0,0,-110,-115,16,0.1,0,10,2
4,0.1,0.31,8888,0,22,-109,29,72,0.1,0,10,2
5,0.1,0.31,8888,11,12,-156,87,57,0.1,0,10,2
6,0.1,0.31,8888,12,12,-132,90,33,0.1,0,10,2
7,0.1,0.31,8888,12,13,-106,86,15,0.1,0,10,2
8,0.1,0.31,8888,12,12,-113,90,14,0.1,0,10,2
9,0.1,0.31,8888,12,12,-158,88,59,0.1,0,10,2
10,0.1,0.31,8888,12,12,-139,90,40,0.1,0,10,2
11,0.1,0.31,8888,12,12,-109,90,11,0.1,0,10,2
12,0.1,0.31,8888,12,12,-188,89,89,0.1,0,10,2
13,0.1,0.31,8888,36,12,47,90,54,0.1,1,10,2
14,0.1,0.31,8888,24,23,89,90,12,0.1,1,10,2
15,0.1,0.31,8888,24,23,85,90,16,0.1,1,10,2
16,0.1,0.31,8888,24,23,-107,89,12,0.1,0,10,2
17,0.1,0.31,8888,24,26,89,82,19,0.1,1,10,2
18,0.1,0.31,8888,24,28,88,87,14,0.1,1,10,2
19,0.1,0.31,8888,24,28,-116,91,17,0.1,0,10,2
20,0.1,0.31,8888,24,28,87,92,14,0.1,1,10,2
21,0.1,0.31,8888,24,28,89,90,12,0.1,1,10,2
22,0.1,0.31,8888,27,28,79,87,22,0.1,1,10,2
23,0.1,0.31,8888,27,28,88,-115,16,0.1,0,10,2
24,0.1,0.31,8888,28,29,83,89,18,0.1,1,10,2
25,0.1,0.31,8888,28,29,89,89,12,0.1,1,10,2
26,0.1,0.31,8888,28,29,89,89,12,0.1,1,10,2
27,0.1,0.31,8888,28,29,89,90,12,0.1,1,10,2
28,0.1,0.31,8888,28,29,89,90,12,0.1,1,10,2
29,0.1,0.31,8888,29,25,89,87,14,0.1,1,10,2
30,0.1,0.31,8888,29,23,89,90,12,0.1,1,10,2
31,0.1,0.31,8888,29,24,89,89,12,0.1,1,10,2
32,0.1,0.31,8888,29,24,89,90,12,0.1,1,10,2
33,0.1,0.31,8888,29,24,88,90,13,0.1,1,10,2
34,0.1,0.31,8888,29,24,-109,87,14,0.1,0,10,2
35,0.1,0.31,8888,29,25,86,89,15,0.1,1,10,2
36,0.1,0.31,8888,29,25,89,90,12,0.1,1,10,2
37,0.1,0.31,8888,29,25,89,89,12,0.1,1,10,2
38,0.1,0.31,8888,29,25,87,90,14,0.1,1,10,2
39,0.1,0.31,8888,29,26,89,88,13,0.1,1,10,2
40,0.1,0.31,8888,30,26,89,90,12,0.1,1,10,2
41,0.1,0.31,8888,30,26,89,90,12,0.1,1,10,2
42,0.1,0.31,8888,30,26,86,88,15,0.1,1,10,2
43,0.1,0.31,8888,30,28,88,88,13,0.1,1,10,2
44,0.1,0.31,8888,31,28,87,90,14,0.1,1,10,2
45,0.1,0.31,8888,31,28,88,88,13,0.1,1,10,2
46,0.1,0.31,8888,31,28,89,90,12,0.1,1,10,2
47,0.1,0.31,8888,31,28,87,88,14,0.1,1,10,2
48,0.1,0.31,8888,32,29,84,90,17,0.1,1,10,2
49,0.1,0.31,8888,32,29,81,90,20,0.1,1,10,2
50,0.1,0.31,8888,32,30,86,88,15,0.1,1,10,2
51,0.1,0.31,8888,32,31,-110,90,11,0.1,0,10,2
52,0.1,0.31,8888,32,31,88,88,13,0.1,1,10,2
53,0.1,0.31,8888,32,31,89,90,12,0.1,1,10,2
54,0.1,0.31,8888,32,31,89,89,12,0.1,1,10,2
55,0.1,0.31,8888,32,31,89,92,12,0.1,1,10,2
56,0.1,0.31,8888,33,31,84,87,17,0.1,1,10,2
57,0.1,0.31,8888,33,31,88,90,13,0.1,1,10,2
58,0.1,0.31,8888,33,31,89,90,12,0.1,1,10,2
59,0.1,0.31,8888,34,35,88,85,16,0.1,1,10,2
60,0.1,0.31,8888,34,35,89,90,12,0.1,1,10,2
61,0.1,0.31,8888,34,36,-111,90,12,0.1,0,10,2
62,0.1,0.31,8888,34,36,88,90,13,0.1,1,10,2
63,0.1,0.31,8888,34,36,88,90,13,0.1,1,10,2
64,0.1,0.31,8888,34,36,89,89,12,0.1,1,10,2
65,0.1,0.31,8888,34,36,89,90,12,0.1,1,10,2
66,0.1,0.31,8888,34,36,89,90,12,0.1,1,10,2
67,0.1,0.31,8888,34,36,88,90,13,0.1,1,10,2
68,0.1,0.31,8888,36,19,89,92,12,0.1,1,10,2
69,0.1,0.31,8888,36,19,89,-106,12,0.1,0,10,2
70,0.1,0.31,8888,36,19,88,92,13,0.1,1,10,2
71,0.1,0.31,8888,36,19,89,92,12,0.1,1,10,2
72,0.1,0.31,8888,36,19,86,90,15,0.1,1,10,2
73,0.1,0.31,8888,36,19,88,91,13,0.1,1,10,2
74,0.1,0.31,8888,36,19,87,92,14,0.1,1,10,2
75,0.1,0.31,8888,36,19,89,92,12,0.1,1,10,2
76,0.1,0.31,8888,36,23,89,87,14,0.1,1,10,2
77,0.1,0.31,8888,36,23,89,92,12,0.1,1,10,2
78,0.1,0.31,8888,36,27,88,87,14,0.1,1,10,2
79,0.1,0.31,8888,36,27,87,92,14,0.1,1,10,2
80,0.1,0.31,8888,23,29,87,88,14,0.1,1,10,2
81,0.1,0.31,8888,23,29,-110,92,11,0.1,0,10,2
82,0.1,0.31,8888,22,29,89,92,12,0.1,1,10,2
83,0.1,0.31,8888,22,29,-102,92,9,0.1,0,10,2
84,0.1,0.31,8888,22,29,-105,91,10,0.1,0,10,2
85,0.1,0.31,8888,22,29,89,92,12,0.1,1,10,2
86,0.1,0.31,8888,22,29,89,89,12,0.1,1,10,2
87,0.1,0.31,8888,24,29,85,90,16,0.1,1,10,2
88,0.1,0.31,8888,24,29,89,92,12,0.1,1,10,2
89,0.1,0.31,8888,24,29,89,92,12,0.1,1,10,2
90,0.1,0.31,8888,24,29,89,92,12,0.1,1,10,2
91,0.1,0.31,8888,25,29,88,92,13,0.1,1,10,2
92,0.1,0.31,8888,25,29,89,92,12,0.1,1,10,2
93,0.1,0.31,8888,25,29,88,92,13,0.1,1,10,2
94,0.1,0.31,8888,25,29,89,90,12,0.1,1,10,2
95,0.1,0.31,8888,25,29,89,91,12,0.1,1,10,2
96,0.1,0.31,8888,25,32,89,86,15,0.1,1,10,2
97,0.1,0.31,8888,25,32,89,92,12,0.1,1,10,2
98,0.1,0.31,8888,25,32,89,92,12,0.1,1,10,2
99,0.1,0.31,8888,25,32,-106,92,9,0.1,0,10,2
100,0.1,0.31,8888,25,32,-106,92,9,0.1,0,10,2
101,0.1,0.31,8888,25,32,-108,92,9,0.1,0,10,2
102,0.1,0.31,8888,26,32,-106,90,11,0.1,0,10,2
103,0.1,0.31,8888,26,32,-106,92,9,0.1,0,10,2
104,0.1,0.31,8888,26,32,-106,92,9,0.1,0,10,2
105,0.1,0.31,8888,26,32,-108,92,9,0.1,0,10,2
106,0.1,0.31,8888,26,33,-106,84,17,0.1,0,10,2
107,0.1,0.31,8888,26,33,-107,92,9,0.1,0,10,2
108,0.1,0.31,8888,26,33,-106,92,9,0.1,0,10,2
109,0.1,0.31,8888,26,33,-107,92,9,0.1,0,10,2
110,0.1,0.31,8888,26,33,-106,-106,7,0.1,0,10,2
111,0.1,0.31,8888,26,33,-106,91,10,0.1,0,10,2
112,0.1,0.31,8888,26,33,-107,92,9,0.1,0,10,2
113,0.1,0.31,8888,26,33,-106,91,10,0.1,0,10,2
114,0.1,0.31,8888,26,33,-106,92,9,0.1,0,10,2
115,0.1,0.31,8888,26,33,-106,92,9,0.1,0,10,2
116,0.1,0.31,8888,26,33,-106,92,9,0.1,0,10,2
117,0.1,0.31,8888,26,33,-106,92,9,0.1,0,10,2
118,0.1,0.31,8888,26,34,-113,92,14,0.1,0,10,2
119,0.1,0.31,8888,26,34,-107,92,9,0.1,0,10,2
120,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
121,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
122,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
123,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
124,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
125,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
126,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
127,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
128,0.1,0.31,8888,26,34,-109,89,12,0.1,0,10,2
129,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
130,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
131,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
132,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
133,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
134,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
135,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
136,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
137,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
138,0.1,0.31,8888,26,34,-106,92,9,0.1,0,10,2
139,0.1,0.31,8888,26,40,-107,81,20,0.1,0,10,2
140,0.1,0.31,8888,26,40,-111,92,12,0.1,0,10,2
141,0.1,0.31,8888,26,40,-106,92,9,0.1,0,10,2
142,0.1,0.31,8888,26,40,-106,91,10,0.1,0,10,2
143,0.1,0.31,8888,26,40,-106,92,9,0.1,0,10,2
144,0.1,0.31,8888,26,40,-106,92,9,0.1,0,10,2
145,0.1,0.31,8888,26,40,-106,91,10,0.1,0,10,2
146,0.1,0.31,8888,26,40,-125,92,26,0.1,0,10,2
147,0.1,0.31,8888,26,40,-106,92,9,0.1,0,10,2
148,0.1,0.31,8888,26,40,-106,92,9,0.1,0,10,2
