eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-152.5,89,0.1,0,15,4
1,0.1,0.31,0.5,0.0,-299.5,415,0.1,0,15,4
2,0.1,0.31,0.5,16.75,-72.0,94,0.1,0,15,4
3,0.1,0.31,0.5,36.75,-48.0,94,0.1,0,15,4
4,0.1,0.31,0.5,33.75,-38.25,79,0.1,0,15,4
5,0.1,0.31,0.5,36.0,-28.0,39,0.1,0,15,4
6,0.1,0.31,0.5,38.25,-31.25,42,0.1,0,15,4
7,0.1,0.31,0.5,33.0,-62.0,122,0.1,0,15,4
8,0.1,0.31,0.5,37.0,-72.5,47,0.1,0,15,4
9,0.1,0.31,0.5,36.75,-43.75,90,0.1,0,15,4
10,0.1,0.31,0.5,41.25,-70.5,102,0.1,0,15,4
11,0.1,0.31,0.5,52.5,6.25,82,0.1,0,15,4
12,0.1,0.31,0.5,43.25,13.0,92,0.1,0,15,4
13,0.1,0.31,0.5,48.5,11.25,68,0.1,0,15,4
14,0.1,0.31,0.5,44.25,69.0,58,0.1,1,15,4
15,0.1,0.31,0.5,55.5,73.25,40,0.1,1,15,4
16,0.1,0.31,0.5,47.0,74.5,42,0.1,1,15,4
17,0.1,0.31,0.5,55.0,18.75,77,0.1,0,15,4
18,0.1,0.31,0.5,52.75,65.75,57,0.1,1,15,4
19,0.1,0.31,0.5,56.25,64.25,52,0.1,1,15,4
20,0.1,0.31,0.5,55.75,71.25,53,0.1,1,15,4
21,0.1,0.31,0.5,51.0,73.5,43,0.1,1,15,4
22,0.1,0.31,0.5,54.0,73.5,44,0.1,1,15,4
23,0.1,0.31,0.5,56.5,67.5,55,0.1,1,15,4
24,0.1,0.31,0.5,55.75,22.25,48,0.1,0,15,4
25,0.1,0.31,0.5,59.75,68.25,46,0.1,1,15,4
26,0.1,0.31,0.5,55.5,71.75,46,0.1,1,15,4
27,0.1,0.31,0.5,49.75,74.5,48,0.1,1,15,4
28,0.1,0.31,0.5,54.75,20.0,56,0.1,0,15,4
29,0.1,0.31,0.5,59.0,73.0,48,0.1,1,15,4
30,0.1,0.31,0.5,51.5,31.0,25,0.1,0,15,4
31,0.1,0.31,0.5,49.25,-17.5,30,0.1,0,15,4
32,0.1,0.31,0.5,52.0,71.25,53,0.1,1,15,4
33,0.1,0.31,0.5,61.75,42.5,132,0.1,1,15,4
34,0.1,0.31,0.5,50.75,65.25,84,0.1,1,15,4
35,0.1,0.31,0.5,56.5,72.25,50,0.1,1,15,4
36,0.1,0.31,0.5,58.5,22.5,45,0.1,0,15,4
37,0.1,0.31,0.5,49.0,72.0,51,0.1,1,15,4
38,0.1,0.31,0.5,53.5,76.75,37,0.1,1,15,4
39,0.1,0.31,0.5,56.5,71.75,49,0.1,1,15,4
40,0.1,0.31,0.5,46.75,72.5,43,0.1,1,15,4
41,0.1,0.31,0.5,57.5,70.0,45,0.1,1,15,4
42,0.1,0.31,0.5,55.5,76.0,41,0.1,1,15,4
43,0.1,0.31,0.5,46.25,74.75,40,0.1,1,15,4
44,0.1,0.31,0.5,59.5,23.25,36,0.1,0,15,4
45,0.1,0.31,0.5,59.5,71.0,41,0.1,1,15,4
46,0.1,0.31,0.5,44.25,74.75,42,0.1,1,15,4
47,0.1,0.31,0.5,60.0,-41.0,56,0.1,0,15,4
48,0.1,0.31,0.5,55.25,72.25,44,0.1,1,15,4
49,0.1,0.31,0.5,42.75,25.5,55,0.1,0,15,4
50,0.1,0.31,0.5,51.25,28.25,41,0.1,0,15,4
51,0.1,0.31,0.5,48.25,-29.0,52,0.1,0,15,4
52,0.1,0.31,0.5,47.5,25.25,40,0.1,0,15,4
53,0.1,0.31,0.5,46.0,74.25,46,0.1,1,15,4
54,0.1,0.31,0.5,49.25,74.5,43,0.1,1,15,4
55,0.1,0.31,0.5,42.25,27.0,41,0.1,0,15,4
56,0.1,0.31,0.5,54.0,65.25,69,0.1,1,15,4
57,0.1,0.31,0.5,51.0,27.0,224,0.1,1,15,4
58,0.1,0.31,0.5,49.5,58.5,100,0.1,1,15,4
59,0.1,0.31,0.5,53.25,35.5,156,0.1,1,15,4
60,0.1,0.31,0.5,50.75,-22.75,220,0.1,0,15,4
61,0.1,0.31,0.5,48.5,37.0,181,0.1,1,15,4
62,0.1,0.31,0.5,52.25,4.5,85,0.1,0,15,4
63,0.1,0.31,0.5,53.0,69.5,44,0.1,1,15,4
64,0.1,0.31,0.5,52.25,20.25,52,0.1,0,15,4
65,0.1,0.31,0.5,55.5,23.0,227,0.1,1,15,4
66,0.1,0.31,0.5,54.75,-47.75,241,0.1,0,15,4
67,0.1,0.31,0.5,47.5,19.75,223,0.1,1,15,4
68,0.1,0.31,0.5,55.0,49.25,126,0.1,1,15,4
69,0.1,0.31,0.5,53.25,56.25,93,0.1,1,15,4
70,0.1,0.31,0.5,57.25,0.0,108,0.1,0,15,4
71,0.1,0.31,0.5,57.0,22.75,46,0.1,0,15,4
72,0.1,0.31,0.5,46.5,61.5,86,0.1,1,15,4
73,0.1,0.31,0.5,58.5,-36.75,249,0.1,0,15,4
74,0.1,0.31,0.5,47.25,40.75,165,0.1,1,15,4
75,0.1,0.31,0.5,50.75,30.0,206,0.1,1,15,4
76,0.1,0.31,0.5,59.5,13.25,271,0.1,1,15,4
77,0.1,0.31,0.5,50.75,24.0,192,0.1,1,15,4
78,0.1,0.31,0.5,67.5,-39.0,277,0.1,0,15,4
79,0.1,0.31,0.5,62.25,-14.25,169,0.1,0,15,4
80,0.1,0.31,0.5,49.75,72.5,45,0.1,1,15,4
81,0.1,0.31,0.5,62.0,8.75,270,0.1,1,15,4
82,0.1,0.31,0.5,56.0,50.0,108,0.1,1,15,4
83,0.1,0.31,0.5,51.5,-16.75,356,0.1,1,15,4
84,0.1,0.31,0.5,51.75,57.0,60,0.1,1,15,4
85,0.1,0.31,0.5,63.75,20.25,44,0.1,0,15,4
86,0.1,0.31,0.5,51.75,50.75,116,0.1,1,15,4
87,0.1,0.31,0.5,52.25,53.75,99,0.1,1,15,4
88,0.1,0.31,0.5,60.0,39.5,141,0.1,1,15,4
89,0.1,0.31,0.5,54.25,41.25,133,0.1,1,15,4
90,0.1,0.31,0.5,52.25,10.75,269,0.1,1,15,4
