eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-104,-132,33,0.1,0,10,2
1,0.1,0.31,0.5,0,0,-118,-114,19,0.1,0,10,2
2,0.1,0.31,0.5,0,0,-120,-113,21,0.1,0,10,2
3,0.1,0.31,0.5,0,0,-121,-109,22,0.1,0,10,2
4,0.1,0.31,0.5,0,0,-153,-159,60,0.1,0,10,2
5,0.1,0.31,0.5,0,0,-111,-127,28,0.1,0,10,2
6,0.1,0.31,0.5,0,0,-115,-106,16,0.1,0,10,2
7,0.1,0.31,0.5,0,0,-122,-182,83,0.1,0,10,2
8,0.1,0.31,0.5,0,0,-147,-126,48,0.1,0,10,2
9,0.1,0.31,0.5,0,16,-131,68,33,0.1,0,10,2
10,0.1,0.31,0.5,9,10,-142,92,43,0.1,0,10,2
11,0.1,0.31,0.5,10,10,-111,92,12,0.1,0,10,2
12,0.1,0.31,0.5,10,10,-151,91,52,0.1,0,10,2
13,0.1,0.31,0.5,10,11,-126,90,27,0.1,0,10,2
14,0.1,0.31,0.5,23,10,36,92,65,0.1,1,10,2
15,0.1,0.31,0.5,24,20,87,91,14,0.1,1,10,2
16,0.1,0.31,0.5,24,10,-116,91,17,0.1,0,10,2
17,0.1,0.31,0.5,24,26,87,87,14,0.1,1,10,2
18,0.1,0.31,0.5,15,26,87,-118,19,0.1,0,10,2
19,0.1,0.31,0.5,22,11,86,90,15,0.1,1,10,2
20,0.1,0.31,0.5,24,17,86,90,15,0.1,1,10,2
21,0.1,0.31,0.5,23,15,-123,92,24,0.1,0,10,2
22,0.1,0.31,0.5,14,15,90,91,11,0.1,1,10,2
23,0.1,0.31,0.5,15,16,91,87,14,0.1,1,10,2
24,0.1,0.31,0.5,16,15,91,90,11,0.1,1,10,2
25,0.1,0.31,0.5,14,20,91,-138,39,0.1,0,10,2
26,0.1,0.31,0.5,17,15,-107,88,13,0.1,0,10,2
27,0.1,0.31,0.5,16,14,90,88,13,0.1,1,10,2
28,0.1,0.31,0.5,13,19,89,92,12,0.1,1,10,2
29,0.1,0.31,0.5,18,12,91,90,11,0.1,1,10,2
30,0.1,0.31,0.5,20,13,-129,92,30,0.1,0,10,2
31,0.1,0.31,0.5,18,19,91,92,10,0.1,1,10,2
32,0.1,0.31,0.5,10,19,90,-109,11,0.1,0,10,2
33,0.1,0.31,0.5,20,14,91,92,10,0.1,1,10,2
34,0.1,0.31,0.5,11,15,91,91,10,0.1,1,10,2
35,0.1,0.31,0.5,18,20,91,92,10,0.1,1,10,2
36,0.1,0.31,0.5,14,15,90,85,16,0.1,1,10,2
37,0.1,0.31,0.5,20,15,82,91,19,0.1,1,10,2
38,0.1,0.31,0.5,13,16,88,92,13,0.1,1,10,2
39,0.1,0.31,0.5,19,14,91,92,10,0.1,1,10,2
40,0.1,0.31,0.5,18,22,91,87,14,0.1,1,10,2
41,0.1,0.31,0.5,12,17,90,91,11,0.1,1,10,2
42,0.1,0.31,0.5,20,12,88,92,13,0.1,1,10,2
43,0.1,0.31,0.5,15,18,91,92,10,0.1,1,10,2
44,0.1,0.31,0.5,14,20,89,-114,15,0.1,0,10,2
45,0.1,0.31,0.5,18,19,90,91,11,0.1,1,10,2
46,0.1,0.31,0.5,26,10,77,92,24,0.1,1,10,2
47,0.1,0.31,0.5,14,21,91,90,11,0.1,1,10,2
48,0.1,0.31,0.5,17,14,91,92,10,0.1,1,10,2
49,0.1,0.31,0.5,19,14,-110,-102,11,0.1,0,10,2
50,0.1,0.31,0.5,19,14,-104,-103,5,0.1,0,10,2
51,0.1,0.31,0.5,16,12,-102,-102,3,0.1,0,10,2
52,0.1,0.31,0.5,16,12,-128,-109,29,0.1,0,10,2
53,0.1,0.31,0.5,16,13,-104,-111,12,0.1,0,10,2
54,0.1,0.31,0.5,21,13,69,-115,32,0.1,0,10,2
55,0.1,0.31,0.5,11,19,91,-111,12,0.1,0,10,2
56,0.1,0.31,0.5,11,19,-109,-113,14,0.1,0,10,2
57,0.1,0.31,0.5,11,19,91,-204,105,0.1,0,10,2
58,0.1,0.31,0.5,7,19,-108,-149,50,0.1,0,10,2
59,0.1,0.31,0.5,7,19,-126,-125,27,0.1,0,10,2
60,0.1,0.31,0.5,10,19,87,-109,14,0.1,0,10,2
61,0.1,0.31,0.5,12,19,84,-115,17,0.1,0,10,2
62,0.1,0.31,0.5,11,19,91,-194,95,0.1,0,10,2
63,0.1,0.31,0.5,11,19,89,-145,46,0.1,0,10,2
64,0.1,0.31,0.5,11,19,91,-196,97,0.1,0,10,2
65,0.1,0.31,0.5,11,22,-107,-110,211,0.1,0,10,2
66,0.1,0.31,0.5,21,21,89,88,13,0.1,1,10,2
67,0.1,0.31,0.5,10,21,91,-107,10,0.1,0,10,2
68,0.1,0.31,0.5,20,13,90,89,12,0.1,1,10,2
69,0.1,0.31,0.5,11,18,91,86,15,0.1,1,10,2
70,0.1,0.31,0.5,20,17,89,86,15,0.1,1,10,2
71,0.1,0.31,0.5,12,16,91,90,11,0.1,1,10,2
72,0.1,0.31,0.5,21,18,87,90,14,0.1,1,10,2
73,0.1,0.31,0.5,11,16,91,90,11,0.1,1,10,2
74,0.1,0.31,0.5,17,17,91,92,10,0.1,1,10,2
75,0.1,0.31,0.5,20,16,91,92,10,0.1,1,10,2
76,0.1,0.31,0.5,10,16,91,92,10,0.1,1,10,2
77,0.1,0.31,0.5,20,17,87,90,14,0.1,1,10,2
78,0.1,0.31,0.5,20,16,91,92,10,0.1,1,10,2
79,0.1,0.31,0.5,10,16,91,92,10,0.1,1,10,2
80,0.1,0.31,0.5,19,16,91,91,10,0.1,1,10,2
81,0.1,0.31,0.5,19,17,91,92,10,0.1,1,10,2
82,0.1,0.31,0.5,11,15,90,92,11,0.1,1,10,2
83,0.1,0.31,0.5,19,16,91,92,10,0.1,1,10,2
84,0.1,0.31,0.5,21,17,89,92,12,0.1,1,10,2
85,0.1,0.31,0.5,11,17,91,92,10,0.1,1,10,2
86,0.1,0.31,0.5,18,16,91,92,10,0.1,1,10,2
87,0.1,0.31,0.5,18,17,91,92,10,0.1,1,10,2
88,0.1,0.31,0.5,13,13,88,92,13,0.1,1,10,2
89,0.1,0.31,0.5,19,20,91,-111,12,0.1,0,10,2
90,0.1,0.31,0.5,17,17,91,92,10,0.1,1,10,2
91,0.1,0.31,0.5,15,13,89,92,12,0.1,1,10,2
92,0.1,0.31,0.5,18,19,91,90,11,0.1,1,10,2
93,0.1,0.31,0.5,18,17,-108,87,14,0.1,0,10,2
94,0.1,0.31,0.5,18,13,91,92,10,0.1,1,10,2
95,0.1,0.31,0.5,14,19,91,92,10,0.1,1,10,2
96,0.1,0.31,0.5,17,16,91,92,10,0.1,1,10,2
97,0.1,0.31,0.5,18,13,91,92,10,0.1,1,10,2
98,0.1,0.31,0.5,14,17,89,92,12,0.1,1,10,2
99,0.1,0.31,0.5,18,17,-103,-102,4,0.1,0,10,2
100,0.1,0.31,0.5,18,17,-103,-103,4,0.1,0,10,2
101,0.1,0.31,0.5,14,14,-105,-102,6,0.1,0,10,2
102,0.1,0.31,0.5,14,14,-133,-107,34,0.1,0,10,2
103,0.1,0.31,0.5,14,14,-114,-110,15,0.1,0,10,2
104,0.1,0.31,0.5,14,13,-140,-121,41,0.1,0,10,2
105,0.1,0.31,0.5,12,13,-149,-110,50,0.1,0,10,2
106,0.1,0.31,0.5,12,13,-197,-350,251,0.1,0,10,2
107,0.1,0.31,0.5,12,13,-108,-230,131,0.1,0,10,2
108,0.1,0.31,0.5,12,13,-145,-107,46,0.1,0,10,2
109,0.1,0.31,0.5,12,13,-135,-317,218,0.1,0,10,2
110,0.1,0.31,0.5,12,13,-147,-107,48,0.1,0,10,2
111,0.1,0.31,0.5,12,13,-130,-124,31,0.1,0,10,2
112,0.1,0.31,0.5,12,13,-155,-148,56,0.1,0,10,2
113,0.1,0.31,0.5,12,13,-173,-135,74,0.1,0,10,2
