eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,-116,-117,-166,-104,67,0.1,0,10,4
1,0.1,0.31,0.5,0,0,0,0,-112,-107,-114,-156,57,0.1,0,10,4
2,0.1,0.31,0.5,0,0,24,0,-123,-113,48,-189,90,0.1,0,10,4
3,0.1,0.31,0.5,13,13,13,13,-118,-130,87,-123,31,0.1,0,10,4
4,0.1,0.31,0.5,13,13,13,18,-115,-120,88,62,39,0.1,0,10,4
5,0.1,0.31,0.5,23,23,23,23,-129,-130,89,85,31,0.1,0,10,4
6,0.1,0.31,0.5,23,19,23,20,-148,59,-116,86,49,0.1,0,10,4
7,0.1,0.31,0.5,28,28,18,24,-123,84,89,84,24,0.1,0,10,4
8,0.1,0.31,0.5,28,28,23,20,-125,-125,87,85,26,0.1,0,10,4
9,0.1,0.31,0.5,28,21,21,28,-134,-114,89,75,35,0.1,0,10,4
10,0.1,0.31,0.5,28,23,20,22,-111,-125,88,74,27,0.1,0,10,4
11,0.1,0.31,0.5,28,23,22,23,-136,81,85,86,37,0.1,0,10,4
12,0.1,0.31,0.5,28,19,21,22,-114,88,89,86,15,0.1,0,10,4
13,0.1,0.31,0.5,16,28,21,21,44,88,89,84,57,0.1,1,10,4
14,0.1,0.31,0.5,34,29,26,29,89,69,89,86,32,0.1,1,10,4
15,0.1,0.31,0.5,37,24,22,29,-109,85,88,81,20,0.1,0,10,4
16,0.1,0.31,0.5,17,37,41,35,88,-112,80,86,21,0.1,0,10,4
17,0.1,0.31,0.5,29,24,18,21,91,88,87,82,19,0.1,1,10,4
18,0.1,0.31,0.5,27,27,33,31,91,88,89,86,15,0.1,1,10,4
19,0.1,0.31,0.5,26,21,22,25,86,86,89,92,15,0.1,1,10,4
20,0.1,0.31,0.5,28,35,27,36,86,86,89,-113,15,0.1,0,10,4
21,0.1,0.31,0.5,26,17,23,22,91,88,87,86,15,0.1,1,10,4
22,0.1,0.31,0.5,25,45,32,27,91,62,89,86,39,0.1,1,10,4
23,0.1,0.31,0.5,28,31,23,33,91,90,89,90,12,0.1,1,10,4
24,0.1,0.31,0.5,35,17,26,18,-119,92,88,87,20,0.1,0,10,4
25,0.1,0.31,0.5,18,21,20,28,90,92,89,89,12,0.1,1,10,4
26,0.1,0.31,0.5,28,18,28,25,90,92,89,90,12,0.1,1,10,4
27,0.1,0.31,0.5,35,30,35,27,91,92,-110,92,11,0.1,0,10,4
28,0.1,0.31,0.5,15,21,23,24,90,92,88,90,13,0.1,1,10,4
29,0.1,0.31,0.5,28,21,23,25,86,92,89,90,15,0.1,1,10,4
30,0.1,0.31,0.5,23,18,27,25,89,92,87,89,14,0.1,1,10,4
31,0.1,0.31,0.5,23,42,32,24,91,59,78,92,42,0.1,1,10,4
32,0.1,0.31,0.5,30,25,25,25,91,92,89,92,12,0.1,1,10,4
33,0.1,0.31,0.5,26,20,28,24,88,91,87,92,14,0.1,1,10,4
34,0.1,0.31,0.5,24,30,27,26,91,92,89,92,12,0.1,1,10,4
35,0.1,0.31,0.5,29,26,31,25,91,92,81,92,20,0.1,1,10,4
36,0.1,0.31,0.5,25,19,24,25,90,92,89,91,12,0.1,1,10,4
37,0.1,0.31,0.5,25,32,31,26,91,89,89,92,12,0.1,1,10,4
38,0.1,0.31,0.5,32,26,30,24,-108,91,81,92,20,0.1,0,10,4
39,0.1,0.31,0.5,29,18,23,30,91,92,93,85,16,0.1,1,10,4
40,0.1,0.31,0.5,14,27,36,26,88,92,77,90,24,0.1,1,10,4
41,0.1,0.31,0.5,32,25,20,23,90,89,93,92,12,0.1,1,10,4
42,0.1,0.31,0.5,29,23,20,25,89,91,92,89,12,0.1,1,10,4
43,0.1,0.31,0.5,33,22,25,23,-108,92,93,92,9,0.1,0,10,4
44,0.1,0.31,0.5,17,24,18,23,88,92,93,92,13,0.1,1,10,4
45,0.1,0.31,0.5,26,22,25,25,91,92,93,92,10,0.1,1,10,4
46,0.1,0.31,0.5,24,22,15,18,91,92,93,92,10,0.1,1,10,4
47,0.1,0.31,0.5,25,29,25,30,90,92,93,92,11,0.1,1,10,4
48,0.1,0.31,0.5,24,21,19,31,87,85,93,-102,16,0.1,0,10,4
49,0.1,0.31,0.5,26,28,16,31,-102,-102,93,-103,8,0.1,0,10,4
50,0.1,0.31,0.5,23,29,18,29,-102,-102,93,-102,8,0.1,0,10,4
51,0.1,0.31,0.5,26,25,12,27,71,-102,93,-109,30,0.1,0,10,4
52,0.1,0.31,0.5,16,31,17,24,91,-107,93,79,22,0.1,0,10,4
53,0.1,0.31,0.5,21,34,24,31,91,-135,-166,-108,67,0.1,0,10,4
54,0.1,0.31,0.5,19,35,19,20,91,-109,93,92,10,0.1,0,10,4
55,0.1,0.31,0.5,26,35,20,20,89,-127,93,92,28,0.1,0,10,4
56,0.1,0.31,0.5,28,35,14,18,-113,-109,92,92,14,0.1,0,10,4
57,0.1,0.31,0.5,15,35,22,22,90,-109,93,92,11,0.1,0,10,4
