eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,-127,-120,-162,-102,-148,-112,63,0.1,0,10,6
1,0.1,0.31,0.5,0,0,0,0,0,0,-105,-111,-168,-126,-107,-116,69,0.1,0,10,6
2,0.1,0.31,0.5,0,0,19,0,0,0,-113,-128,45,-135,-108,-114,56,0.1,0,10,6
3,0.1,0.31,0.5,10,10,11,10,4,10,-130,-114,91,-118,-103,-127,31,0.1,0,10,6
4,0.1,0.31,0.5,11,10,14,10,11,7,-129,-108,82,-112,-155,95,56,0.1,0,10,6
5,0.1,0.31,0.5,12,11,12,11,12,9,-105,-105,88,-104,-120,95,21,0.1,0,10,6
6,0.1,0.31,0.5,12,12,11,12,12,11,-129,-127,89,-156,-122,95,57,0.1,0,10,6
7,0.1,0.31,0.5,12,12,12,33,12,8,-108,-118,91,16,-114,94,85,0.1,0,10,6
8,0.1,0.31,0.5,23,25,22,24,17,17,-113,63,91,78,-104,95,38,0.1,0,10,6
9,0.1,0.31,0.5,28,34,16,28,25,17,-121,-108,91,78,-110,95,23,0.1,0,10,6
10,0.1,0.31,0.5,31,21,25,22,31,10,-154,90,89,76,-117,95,55,0.1,0,10,6
11,0.1,0.31,0.5,31,15,19,30,10,19,-119,91,90,77,91,95,24,0.1,0,10,6
12,0.1,0.31,0.5,33,20,24,29,23,14,-182,92,-107,70,90,95,83,0.1,0,10,6
13,0.1,0.31,0.5,33,33,16,27,21,20,-143,83,91,79,92,93,44,0.1,0,10,6
14,0.1,0.31,0.5,33,36,28,28,19,21,-108,-109,-110,84,90,93,17,0.1,0,10,6
15,0.1,0.31,0.5,35,23,27,27,41,20,-161,92,88,85,51,95,62,0.1,0,10,6
16,0.1,0.31,0.5,27,23,19,28,26,16,42,89,86,78,73,95,59,0.1,1,10,6
17,0.1,0.31,0.5,43,29,35,34,40,28,83,92,91,86,68,95,33,0.1,1,10,6
18,0.1,0.31,0.5,36,26,27,26,28,32,82,92,91,83,90,-106,19,0.1,0,10,6
19,0.1,0.31,0.5,27,29,28,36,34,21,76,91,90,84,89,95,25,0.1,1,10,6
20,0.1,0.31,0.5,39,29,29,29,25,18,79,90,91,86,90,95,22,0.1,1,10,6
21,0.1,0.31,0.5,39,31,32,33,38,23,81,87,90,82,88,95,20,0.1,1,10,6
22,0.1,0.31,0.5,29,32,39,41,35,31,82,92,-119,86,92,93,20,0.1,0,10,6
23,0.1,0.31,0.5,37,23,35,27,29,25,81,92,87,86,88,95,20,0.1,1,10,6
24,0.1,0.31,0.5,38,32,20,35,34,22,82,92,90,84,90,95,19,0.1,1,10,6
25,0.1,0.31,0.5,33,29,37,39,31,27,66,92,93,84,90,95,35,0.1,1,10,6
26,0.1,0.31,0.5,37,25,29,33,27,23,82,92,91,59,90,94,42,0.1,1,10,6
27,0.1,0.31,0.5,36,31,19,37,35,25,83,91,93,85,90,94,18,0.1,1,10,6
28,0.1,0.31,0.5,32,35,33,40,33,38,83,89,93,83,90,74,27,0.1,1,10,6
29,0.1,0.31,0.5,36,23,19,25,24,22,83,91,93,82,90,95,19,0.1,1,10,6
30,0.1,0.31,0.5,42,31,31,44,37,29,-114,90,93,79,83,94,22,0.1,0,10,6
31,0.1,0.31,0.5,35,41,31,44,32,30,81,74,93,71,86,95,30,0.1,1,10,6
32,0.1,0.31,0.5,35,22,19,27,26,20,57,92,93,83,88,91,44,0.1,1,10,6
33,0.1,0.31,0.5,42,39,34,36,34,28,72,89,92,86,90,95,29,0.1,1,10,6
34,0.1,0.31,0.5,39,28,27,33,25,25,85,92,93,86,92,95,16,0.1,1,10,6
35,0.1,0.31,0.5,27,26,26,33,30,22,80,90,92,87,92,95,21,0.1,1,10,6
36,0.1,0.31,0.5,33,23,27,28,20,21,85,91,75,83,92,93,26,0.1,1,10,6
37,0.1,0.31,0.5,30,35,24,30,27,21,84,77,93,86,92,95,24,0.1,1,10,6
38,0.1,0.31,0.5,35,35,35,39,35,30,85,91,93,85,92,95,16,0.1,1,10,6
39,0.1,0.31,0.5,34,24,21,28,31,20,80,92,93,84,80,95,21,0.1,1,10,6
40,0.1,0.31,0.5,32,30,26,32,30,22,85,92,93,86,89,95,16,0.1,1,10,6
41,0.1,0.31,0.5,35,30,33,37,33,27,85,92,93,86,92,95,16,0.1,1,10,6
42,0.1,0.31,0.5,31,28,22,29,25,23,84,90,93,86,92,95,17,0.1,1,10,6
43,0.1,0.31,0.5,42,29,25,34,24,19,-115,89,93,88,92,95,16,0.1,0,10,6
