eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-259,-368,-270,-318,-361,-302,-269,-405,306,0.1,0,25,8
1,0.1,0.31,0.5,0,0,0,0,48,88,0,0,-511,-483,-319,-258,-36,-184,-245,-191,412,0.1,0,25,8
2,0.1,0.31,0.5,47,47,47,47,47,42,47,47,-370,-189,-421,-165,73,78,-317,-200,322,0.1,0,25,8
3,0.1,0.31,0.5,47,47,47,71,27,28,35,23,-127,-264,-253,-13,68,72,47,77,165,0.1,0,25,8
4,0.1,0.31,0.5,82,97,87,89,87,91,63,59,-22,-72,-323,26,59,-199,77,80,224,0.1,0,25,8
5,0.1,0.31,0.5,83,80,85,118,61,72,72,97,60,57,1,18,78,78,76,39,100,0.1,1,25,8
6,0.1,0.31,0.5,95,101,92,83,84,63,82,69,61,60,68,40,76,80,75,79,61,0.1,1,25,8
7,0.1,0.31,0.5,108,113,127,116,96,136,88,91,67,60,57,55,71,54,75,81,47,0.1,1,25,8
8,0.1,0.31,0.5,64,74,60,80,72,51,76,43,69,63,56,51,75,79,72,82,50,0.1,1,25,8
9,0.1,0.31,0.5,121,146,87,102,70,79,71,148,-167,-181,71,54,75,81,71,-35,136,0.1,0,25,8
10,0.1,0.31,0.5,86,74,85,89,138,81,142,62,61,51,68,55,-205,72,-169,81,106,0.1,0,25,8
11,0.1,0.31,0.5,123,109,94,117,83,91,84,81,-312,55,60,52,69,77,72,75,213,0.1,0,25,8
12,0.1,0.31,0.5,133,113,100,104,81,69,72,80,-157,64,63,36,61,81,71,85,65,0.1,0,25,8
13,0.1,0.31,0.5,96,69,82,132,92,82,92,125,32,64,65,-121,75,75,73,-52,153,0.1,0,25,8
14,0.1,0.31,0.5,89,126,86,112,84,77,81,66,60,45,69,44,68,81,75,85,57,0.1,1,25,8
15,0.1,0.31,0.5,126,141,75,147,67,56,62,63,11,-22,68,-356,71,79,74,83,257,0.1,0,25,8
16,0.1,0.31,0.5,115,111,139,95,113,94,121,81,61,40,58,56,-117,80,73,83,61,0.1,0,25,8
17,0.1,0.31,0.5,98,129,110,126,106,124,88,95,61,36,64,40,68,51,70,75,65,0.1,1,25,8
18,0.1,0.31,0.5,115,111,114,140,84,82,85,153,43,50,-14,45,62,77,65,-175,115,0.1,0,25,8
19,0.1,0.31,0.5,158,91,90,91,103,74,124,90,-173,48,68,51,73,80,44,82,74,0.1,0,25,8
20,0.1,0.31,0.5,105,116,137,103,82,77,81,51,39,49,-129,52,75,79,71,84,62,0.1,0,25,8
21,0.1,0.31,0.5,88,116,105,150,86,94,105,99,67,63,67,-142,76,78,72,84,43,0.1,0,25,8
22,0.1,0.31,0.5,141,111,77,128,96,86,113,72,-154,10,48,48,75,73,51,83,91,0.1,0,25,8
23,0.1,0.31,0.5,112,110,116,84,126,69,92,57,62,47,64,40,-126,79,58,83,61,0.1,0,25,8
24,0.1,0.31,0.5,86,122,86,124,64,79,101,77,48,23,67,52,64,81,68,83,78,0.1,1,25,8
25,0.1,0.31,0.5,133,117,111,143,115,113,120,107,64,42,67,21,77,75,71,76,80,0.1,1,25,8
26,0.1,0.31,0.5,117,114,107,90,116,89,94,87,54,60,67,57,75,74,61,84,47,0.1,1,25,8
27,0.1,0.31,0.5,162,113,92,121,110,83,110,74,-159,53,72,52,15,77,71,78,86,0.1,0,25,8
28,0.1,0.31,0.5,155,112,104,143,88,107,113,91,-152,60,63,41,83,75,68,82,60,0.1,0,25,8
29,0.1,0.31,0.5,94,114,97,171,97,114,76,58,-3,56,66,-170,83,50,67,85,104,0.1,0,25,8
30,0.1,0.31,0.5,118,111,103,96,63,128,122,86,63,69,72,48,83,65,66,84,53,0.1,1,25,8
31,0.1,0.31,0.5,133,111,86,106,85,73,140,75,20,6,64,3,83,71,-121,82,98,0.1,0,25,8
32,0.1,0.31,0.5,85,142,137,133,89,116,101,72,52,-13,-133,42,82,68,65,83,114,0.1,0,25,8
33,0.1,0.31,0.5,107,99,100,110,77,90,85,83,60,68,65,25,83,78,65,80,76,0.1,1,25,8
34,0.1,0.31,0.5,135,119,83,116,111,87,118,90,57,44,68,47,-117,76,67,78,57,0.1,0,25,8
35,0.1,0.31,0.5,81,111,140,133,83,96,111,114,63,61,62,51,78,78,69,59,50,0.1,1,25,8
36,0.1,0.31,0.5,119,109,104,107,87,116,92,105,65,69,75,46,79,66,69,85,55,0.1,1,25,8
37,0.1,0.31,0.5,131,104,91,115,111,118,155,72,58,65,58,46,75,34,-170,83,71,0.1,0,25,8
38,0.1,0.31,0.5,83,80,109,123,75,72,124,63,66,69,68,42,81,79,19,85,82,0.1,1,25,8
39,0.1,0.31,0.5,109,112,108,110,163,197,80,83,67,66,73,29,-13,-203,71,85,304,0.1,1,25,8
40,0.1,0.31,0.5,138,132,111,136,136,109,145,89,65,65,65,50,49,79,64,83,52,0.1,1,25,8
41,0.1,0.31,0.5,88,83,115,125,128,66,100,57,60,69,61,45,-34,78,60,85,135,0.1,1,25,8
42,0.1,0.31,0.5,126,130,122,138,126,119,108,106,66,62,75,41,46,78,69,79,60,0.1,1,25,8
43,0.1,0.31,0.5,129,122,103,140,146,100,134,103,62,68,73,41,45,81,68,83,60,0.1,1,25,8
44,0.1,0.31,0.5,153,75,100,126,115,78,92,114,-137,69,69,36,44,75,83,35,66,0.1,0,25,8
45,0.1,0.31,0.5,115,139,125,125,123,117,105,145,43,55,63,54,44,81,71,47,58,0.1,1,25,8
46,0.1,0.31,0.5,114,142,95,172,139,95,122,89,65,61,75,-106,40,73,72,85,207,0.1,1,25,8
47,0.1,0.31,0.5,130,74,81,199,103,105,145,49,60,56,75,-177,21,37,-152,85,80,0.1,0,25,8
48,0.1,0.31,0.5,86,132,101,122,133,142,114,86,63,66,74,35,46,59,49,84,66,0.1,1,25,8
49,0.1,0.31,0.5,118,106,98,128,114,85,83,80,47,68,75,7,49,73,73,85,94,0.1,1,25,8
50,0.1,0.31,0.5,138,104,87,146,122,73,131,82,61,36,75,25,41,80,-122,77,76,0.1,0,25,8
51,0.1,0.31,0.5,95,127,118,117,118,146,135,93,57,68,69,45,48,54,71,84,56,0.1,1,25,8
52,0.1,0.31,0.5,120,115,111,124,134,114,64,87,66,62,75,38,36,83,69,83,65,0.1,1,25,8
53,0.1,0.31,0.5,122,98,85,154,113,78,141,65,67,62,75,17,37,72,49,85,84,0.1,1,25,8
54,0.1,0.31,0.5,95,148,112,118,136,105,129,84,64,-122,74,45,44,83,72,85,57,0.1,0,25,8
55,0.1,0.31,0.5,120,116,100,124,130,77,65,165,62,71,75,42,49,83,67,-228,129,0.1,0,25,8
56,0.1,0.31,0.5,117,68,97,135,114,95,165,125,71,69,71,42,42,75,-175,86,76,0.1,0,25,8
57,0.1,0.31,0.5,89,168,110,126,142,121,140,46,73,0,70,44,39,72,73,83,101,0.1,1,25,8
58,0.1,0.31,0.5,99,114,150,125,123,78,41,83,68,69,-34,18,41,80,70,85,135,0.1,1,25,8
59,0.1,0.31,0.5,101,64,133,149,150,63,122,79,68,65,42,17,-141,83,60,80,84,0.1,0,25,8
60,0.1,0.31,0.5,79,112,92,173,120,89,116,88,71,68,73,-182,32,81,73,50,83,0.1,0,25,8
61,0.1,0.31,0.5,131,114,111,145,74,103,74,127,30,67,73,1,75,74,63,73,100,0.1,1,25,8
62,0.1,0.31,0.5,97,82,101,87,125,88,120,141,69,66,71,43,68,79,71,-50,151,0.1,1,25,8
63,0.1,0.31,0.5,126,136,109,179,128,116,143,96,62,67,75,39,71,80,69,73,62,0.1,1,25,8
64,0.1,0.31,0.5,168,126,118,127,84,97,74,122,-127,62,73,48,70,78,73,75,53,0.1,0,25,8
65,0.1,0.31,0.5,112,64,99,172,119,78,112,101,73,67,48,-205,70,83,67,60,106,0.1,0,25,8
66,0.1,0.31,0.5,77,149,111,93,115,131,134,109,71,64,73,37,74,67,71,73,64,0.1,1,25,8
67,0.1,0.31,0.5,134,114,106,113,87,132,77,96,68,66,73,59,75,38,71,85,63,0.1,1,25,8
68,0.1,0.31,0.5,120,93,106,169,117,80,121,122,60,69,71,41,71,83,73,72,60,0.1,1,25,8
69,0.1,0.31,0.5,76,140,129,100,145,160,126,89,73,57,49,56,51,-147,76,72,52,0.1,0,25,8
70,0.1,0.31,0.5,133,123,124,124,180,118,72,124,73,67,69,25,-127,79,69,62,76,0.1,0,25,8
71,0.1,0.31,0.5,111,95,121,140,84,56,133,104,69,67,44,57,73,79,68,77,57,0.1,1,25,8
72,0.1,0.31,0.5,90,121,95,123,97,114,123,89,69,65,74,22,68,82,76,73,79,0.1,1,25,8
73,0.1,0.31,0.5,124,115,115,112,148,97,77,117,73,69,75,65,74,81,72,76,36,0.1,1,25,8
74,0.1,0.31,0.5,100,92,100,140,69,103,126,96,71,73,75,62,72,52,73,77,49,0.1,1,25,8
75,0.1,0.31,0.5,84,102,80,166,126,103,94,68,71,58,75,-316,21,76,67,77,217,0.1,0,25,8
76,0.1,0.31,0.5,103,132,108,73,90,71,99,99,73,31,71,56,75,83,70,77,70,0.1,1,25,8
77,0.1,0.31,0.5,124,130,129,125,106,109,119,160,70,48,66,58,75,77,77,-286,187,0.1,0,25,8
78,0.1,0.31,0.5,162,121,90,154,121,101,163,139,-289,53,70,60,66,82,-161,64,190,0.1,0,25,8
79,0.1,0.31,0.5,104,162,103,72,109,156,162,54,65,-126,71,65,66,-155,-251,71,152,0.1,0,25,8
80,0.1,0.31,0.5,124,130,172,114,101,98,132,109,-22,46,13,62,67,83,53,77,123,0.1,1,25,8
81,0.1,0.31,0.5,135,79,113,142,114,75,69,128,71,65,75,57,74,81,71,71,44,0.1,1,25,8
82,0.1,0.31,0.5,94,132,100,97,117,112,146,84,72,73,75,63,72,82,73,74,38,0.1,1,25,8
83,0.1,0.31,0.5,106,123,164,114,166,74,121,108,70,73,-142,67,-136,83,65,73,43,0.1,0,25,8
84,0.1,0.31,0.5,144,87,123,149,112,122,89,138,73,73,70,56,75,54,77,77,47,0.1,1,25,8
85,0.1,0.31,0.5,98,125,74,103,79,127,123,89,73,70,56,62,74,83,75,76,45,0.1,1,25,8
86,0.1,0.31,0.5,87,116,161,116,143,93,111,92,73,73,43,50,73,68,77,73,58,0.1,1,25,8
87,0.1,0.31,0.5,119,71,116,129,84,76,74,156,73,73,69,62,75,82,74,-165,66,0.1,0,25,8
