eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,-148,-115,-108,-108,49,0.1,0,10,4
1,0.1,0.31,0.5,0,0,0,15,-121,-108,-157,63,58,0.1,0,10,4
2,0.1,0.31,0.5,30,12,36,12,42,-124,21,90,80,0.1,0,10,4
3,0.1,0.31,0.5,22,30,22,29,87,-140,86,90,41,0.1,0,10,4
4,0.1,0.31,0.5,27,30,28,14,-108,-131,-109,85,32,0.1,0,10,4
5,0.1,0.31,0.5,22,30,22,29,88,-106,87,90,14,0.1,0,10,4
6,0.1,0.31,0.5,25,31,29,14,85,-105,76,88,25,0.1,0,10,4
7,0.1,0.31,0.5,21,32,19,32,87,-107,87,78,23,0.1,0,10,4
8,0.1,0.31,0.5,21,32,26,15,89,-129,83,92,30,0.1,0,10,4
9,0.1,0.31,0.5,29,32,31,30,89,-121,84,89,22,0.1,0,10,4
10,0.1,0.31,0.5,31,32,20,29,-106,-129,85,88,30,0.1,0,10,4
11,0.1,0.31,0.5,20,32,25,17,88,-173,87,90,74,0.1,0,10,4
12,0.1,0.31,0.5,24,32,24,27,89,-117,86,81,20,0.1,0,10,4
13,0.1,0.31,0.5,23,32,27,32,91,-183,87,87,84,0.1,0,10,4
14,0.1,0.31,0.5,23,14,24,14,89,77,87,90,24,0.1,1,10,4
15,0.1,0.31,0.5,35,42,38,41,91,86,85,82,19,0.1,1,10,4
16,0.1,0.31,0.5,25,41,26,41,91,90,86,-106,15,0.1,0,10,4
17,0.1,0.31,0.5,37,12,32,31,-110,90,83,86,18,0.1,0,10,4
18,0.1,0.31,0.5,25,41,33,26,91,90,86,90,15,0.1,1,10,4
19,0.1,0.31,0.5,35,42,26,30,-108,-113,86,83,18,0.1,0,10,4
20,0.1,0.31,0.5,30,39,33,33,90,89,85,90,16,0.1,1,10,4
21,0.1,0.31,0.5,30,16,36,28,89,87,86,89,15,0.1,1,10,4
22,0.1,0.31,0.5,33,41,28,33,91,89,87,88,14,0.1,1,10,4
23,0.1,0.31,0.5,24,37,34,33,91,86,87,87,15,0.1,1,10,4
24,0.1,0.31,0.5,28,16,29,24,91,89,87,90,14,0.1,1,10,4
25,0.1,0.31,0.5,36,42,34,37,91,90,86,90,15,0.1,1,10,4
26,0.1,0.31,0.5,29,38,39,32,90,90,82,90,19,0.1,1,10,4
27,0.1,0.31,0.5,27,18,34,24,91,87,87,88,14,0.1,1,10,4
28,0.1,0.31,0.5,33,40,31,31,90,86,86,90,15,0.1,1,10,4
29,0.1,0.31,0.5,22,37,28,23,87,66,83,90,35,0.1,1,10,4
30,0.1,0.31,0.5,36,25,33,29,-107,90,83,90,18,0.1,0,10,4
