eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-151,-105,-117,-140,-119,-109,-138,-120,52,0.1,0,10,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-110,-121,-109,-115,-104,-104,-105,-103,22,0.1,0,10,8
2,0.1,0.31,0.5,0,0,0,0,0,0,11,0,-141,-119,-108,-110,-110,-120,77,-114,42,0.1,0,10,8
3,0.1,0.31,0.5,7,6,12,7,7,12,7,7,-114,-105,79,-120,-117,95,95,-128,29,0.1,0,10,8
4,0.1,0.31,0.5,16,15,14,16,16,11,21,15,-136,-107,93,-162,-109,93,85,-104,63,0.1,0,10,8
5,0.1,0.31,0.5,19,21,14,21,21,14,11,20,-103,-123,93,-132,-126,95,95,-104,33,0.1,0,10,8
6,0.1,0.31,0.5,20,21,16,21,21,14,16,21,-126,-124,93,-163,-138,94,95,-136,64,0.1,0,10,8
7,0.1,0.31,0.5,12,21,15,12,21,15,17,17,85,-122,93,82,-102,95,95,61,40,0.1,0,10,8
8,0.1,0.31,0.5,42,41,31,36,41,23,19,39,86,-121,91,91,-149,95,95,85,50,0.1,0,10,8
9,0.1,0.31,0.5,25,43,18,28,42,16,20,30,91,-129,93,92,-108,95,95,84,30,0.1,0,10,8
10,0.1,0.31,0.5,27,43,31,24,15,27,27,26,91,-121,93,90,77,95,95,86,24,0.1,0,10,8
11,0.1,0.31,0.5,38,43,31,36,30,31,23,35,89,-156,93,92,-102,93,95,88,57,0.1,0,10,8
12,0.1,0.31,0.5,35,16,29,41,44,27,25,43,89,86,91,81,82,95,95,84,20,0.1,1,10,8
13,0.1,0.31,0.5,35,46,53,25,34,33,33,35,91,91,-116,92,83,95,95,86,18,0.1,0,10,8
14,0.1,0.31,0.5,36,44,32,44,54,22,20,40,91,92,82,90,-127,95,95,81,28,0.1,0,10,8
15,0.1,0.31,0.5,41,20,33,42,28,28,34,45,91,92,93,83,87,95,94,86,18,0.1,1,10,8
16,0.1,0.31,0.5,48,39,37,33,36,32,36,31,-106,90,92,84,87,95,93,86,17,0.1,0,10,8
17,0.1,0.31,0.5,43,40,31,54,50,26,23,38,53,92,90,-119,85,95,95,86,48,0.1,0,10,8
18,0.1,0.31,0.5,59,19,27,31,29,24,50,48,-117,92,93,92,90,95,-112,69,32,0.1,0,10,8
19,0.1,0.31,0.5,37,53,41,24,31,34,32,36,74,81,93,92,90,95,93,85,27,0.1,1,10,8
20,0.1,0.31,0.5,41,41,34,47,56,26,29,41,74,91,92,92,-108,94,91,82,27,0.1,0,10,8
21,0.1,0.31,0.5,51,50,28,36,49,29,34,44,77,-114,91,92,77,95,95,74,27,0.1,0,10,8
22,0.1,0.31,0.5,40,33,52,54,25,38,41,39,79,86,-108,-112,90,95,-103,88,22,0.1,0,10,8
23,0.1,0.31,0.5,44,35,45,30,54,30,31,37,79,92,93,92,-121,93,95,88,22,0.1,0,10,8
24,0.1,0.31,0.5,43,50,17,32,49,34,20,38,80,-106,90,92,80,93,94,86,21,0.1,0,10,8
25,0.1,0.31,0.5,39,42,45,45,19,38,41,43,74,92,91,92,92,95,95,71,30,0.1,1,10,8
26,0.1,0.31,0.5,40,19,33,24,47,21,26,33,77,91,93,91,-105,95,95,88,24,0.1,0,10,8
27,0.1,0.31,0.5,40,41,22,32,42,32,21,42,78,92,90,92,90,-102,95,-104,23,0.1,0,10,8
28,0.1,0.31,0.5,41,40,44,42,19,30,34,40,69,92,88,92,82,94,95,88,32,0.1,1,10,8
29,0.1,0.31,0.5,44,23,36,27,45,28,30,33,79,91,90,92,-104,95,95,82,22,0.1,0,10,8
30,0.1,0.31,0.5,39,41,23,33,48,33,22,46,76,89,93,92,90,95,95,87,25,0.1,1,10,8
31,0.1,0.31,0.5,50,42,40,44,19,35,35,41,-117,92,93,89,90,91,95,81,20,0.1,0,10,8
32,0.1,0.31,0.5,37,22,34,27,44,27,23,27,77,91,93,92,85,93,95,86,24,0.1,1,10,8
33,0.1,0.31,0.5,37,44,27,40,47,47,28,47,75,90,93,87,87,86,95,86,26,0.1,1,10,8
34,0.1,0.31,0.5,48,40,52,42,19,28,40,37,77,92,62,91,90,95,93,86,39,0.1,1,10,8
35,0.1,0.31,0.5,40,25,37,30,50,33,35,30,76,91,92,92,77,91,95,88,25,0.1,1,10,8
36,0.1,0.31,0.5,53,42,28,37,46,40,28,44,-121,92,91,92,90,95,95,88,22,0.1,0,10,8
37,0.1,0.31,0.5,41,40,44,41,22,24,36,36,73,91,88,89,89,95,94,88,28,0.1,1,10,8
38,0.1,0.31,0.5,34,27,35,32,42,21,32,34,75,89,90,92,87,97,95,88,26,0.1,1,10,8
39,0.1,0.31,0.5,49,44,30,38,48,37,28,43,79,90,93,92,87,95,95,88,22,0.1,1,10,8
40,0.1,0.31,0.5,52,36,41,36,19,32,31,35,-134,91,93,91,90,95,95,88,35,0.1,0,10,8
41,0.1,0.31,0.5,41,27,32,29,53,20,25,34,79,92,93,92,-122,95,95,88,23,0.1,0,10,8
42,0.1,0.31,0.5,37,40,32,41,42,45,30,44,72,92,93,91,88,89,95,88,29,0.1,1,10,8
43,0.1,0.31,0.5,44,40,44,37,19,38,33,33,78,92,93,92,92,95,95,88,23,0.1,1,10,8
44,0.1,0.31,0.5,41,30,34,31,50,20,42,36,79,92,93,91,90,95,83,88,22,0.1,1,10,8
