eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-144.16666666666666,151,0.1,0,10,6
1,0.1,0.31,0.5,2.1666666666666665,-85.5,40,0.1,0,10,6
2,0.1,0.31,0.5,15.5,-103.33333333333333,151,0.1,0,10,6
3,0.1,0.31,0.5,25.333333333333332,36.333333333333336,51,0.1,0,10,6
4,0.1,0.31,0.5,29.333333333333332,49.666666666666664,32,0.1,0,10,6
5,0.1,0.31,0.5,29.666666666666668,19.0,26,0.1,0,10,6
6,0.1,0.31,0.5,24.5,51.0,30,0.1,0,10,6
7,0.1,0.31,0.5,30.833333333333332,45.0,48,0.1,0,10,6
8,0.1,0.31,0.5,26.5,43.333333333333336,66,0.1,0,10,6
9,0.1,0.31,0.5,42.0,80.83333333333333,35,0.1,1,10,6
10,0.1,0.31,0.5,30.666666666666668,79.66666666666667,36,0.1,1,10,6
11,0.1,0.31,0.5,37.833333333333336,80.0,35,0.1,1,10,6
12,0.1,0.31,0.5,36.666666666666664,84.33333333333333,33,0.1,1,10,6
13,0.1,0.31,0.5,35.166666666666664,18.0,24,0.1,0,10,6
14,0.1,0.31,0.5,39.166666666666664,82.33333333333333,39,0.1,1,10,6
15,0.1,0.31,0.5,30.333333333333332,84.83333333333333,29,0.1,1,10,6
16,0.1,0.31,0.5,39.166666666666664,85.0,27,0.1,1,10,6
17,0.1,0.31,0.5,31.5,54.833333333333336,18,0.1,0,10,6
18,0.1,0.31,0.5,37.833333333333336,86.33333333333333,24,0.1,1,10,6
19,0.1,0.31,0.5,33.0,86.0,23,0.1,1,10,6
20,0.1,0.31,0.5,38.333333333333336,47.166666666666664,46,0.1,0,10,6
21,0.1,0.31,0.5,37.5,82.16666666666667,25,0.1,1,10,6
22,0.1,0.31,0.5,30.833333333333332,84.5,31,0.1,1,10,6
23,0.1,0.31,0.5,39.5,87.33333333333333,23,0.1,1,10,6
24,0.1,0.31,0.5,38.333333333333336,85.16666666666667,29,0.1,1,10,6
25,0.1,0.31,0.5,29.0,87.16666666666667,24,0.1,1,10,6
26,0.1,0.31,0.5,35.666666666666664,22.5,16,0.1,0,10,6
27,0.1,0.31,0.5,37.833333333333336,85.16666666666667,27,0.1,1,10,6
28,0.1,0.31,0.5,36.0,84.83333333333333,24,0.1,1,10,6
29,0.1,0.31,0.5,34.833333333333336,87.33333333333333,25,0.1,1,10,6
30,0.1,0.31,0.5,35.833333333333336,54.0,23,0.1,0,10,6
31,0.1,0.31,0.5,35.333333333333336,88.33333333333333,23,0.1,1,10,6
32,0.1,0.31,0.5,34.5,85.5,25,0.1,1,10,6
33,0.1,0.31,0.5,36.666666666666664,88.0,24,0.1,1,10,6
34,0.1,0.31,0.5,33.833333333333336,53.5,28,0.1,0,10,6
35,0.1,0.31,0.5,38.666666666666664,20.666666666666668,28,0.1,0,10,6
36,0.1,0.31,0.5,33.166666666666664,87.5,25,0.1,1,10,6
37,0.1,0.31,0.5,28.5,87.0,33,0.1,1,10,6
38,0.1,0.31,0.5,36.666666666666664,57.0,16,0.1,0,10,6
39,0.1,0.31,0.5,34.333333333333336,87.16666666666667,28,0.1,1,10,6
40,0.1,0.31,0.5,30.833333333333332,87.83333333333333,27,0.1,1,10,6
41,0.1,0.31,0.5,37.166666666666664,87.5,23,0.1,1,10,6
42,0.1,0.31,0.5,33.666666666666664,86.66666666666667,25,0.1,1,10,6
43,0.1,0.31,0.5,30.666666666666668,88.16666666666667,26,0.1,1,10,6
44,0.1,0.31,0.5,33.666666666666664,56.666666666666664,15,0.1,0,10,6
45,0.1,0.31,0.5,35.833333333333336,86.16666666666667,25,0.1,1,10,6
46,0.1,0.31,0.5,32.0,88.0,26,0.1,1,10,6
47,0.1,0.31,0.5,33.666666666666664,88.16666666666667,23,0.1,1,10,6
48,0.1,0.31,0.5,36.5,87.0,24,0.1,1,10,6
49,0.1,0.31,0.5,38.666666666666664,-7.0,10,0.1,0,10,6
50,0.1,0.31,0.5,37.166666666666664,-6.166666666666667,9,0.1,0,10,6
51,0.1,0.31,0.5,30.0,22.833333333333332,28,0.1,0,10,6
52,0.1,0.31,0.5,31.0,49.5,40,0.1,0,10,6
53,0.1,0.31,0.5,30.833333333333332,22.333333333333332,23,0.1,0,10,6
54,0.1,0.31,0.5,33.833333333333336,15.666666666666666,34,0.1,0,10,6
55,0.1,0.31,0.5,30.333333333333332,8.666666666666666,93,0.1,0,10,6
56,0.1,0.31,0.5,28.666666666666668,85.66666666666667,28,0.1,1,10,6
57,0.1,0.31,0.5,37.833333333333336,86.83333333333333,24,0.1,1,10,6
58,0.1,0.31,0.5,28.833333333333332,81.0,59,0.1,1,10,6
59,0.1,0.31,0.5,40.5,87.16666666666667,23,0.1,1,10,6
60,0.1,0.31,0.5,38.333333333333336,86.16666666666667,27,0.1,1,10,6
61,0.1,0.31,0.5,32.0,84.33333333333333,40,0.1,1,10,6
62,0.1,0.31,0.5,37.166666666666664,86.5,27,0.1,1,10,6
63,0.1,0.31,0.5,35.833333333333336,67.83333333333333,132,0.1,1,10,6
64,0.1,0.31,0.5,27.666666666666668,77.66666666666667,75,0.1,1,10,6
65,0.1,0.31,0.5,36.333333333333336,76.5,78,0.1,1,10,6
66,0.1,0.31,0.5,37.5,82.16666666666667,39,0.1,1,10,6
67,0.1,0.31,0.5,30.5,73.83333333333333,92,0.1,1,10,6
68,0.1,0.31,0.5,40.333333333333336,75.0,74,0.1,1,10,6
69,0.1,0.31,0.5,38.666666666666664,86.33333333333333,25,0.1,1,10,6
70,0.1,0.31,0.5,31.0,80.66666666666667,56,0.1,1,10,6
71,0.1,0.31,0.5,34.333333333333336,82.66666666666667,48,0.1,1,10,6
72,0.1,0.31,0.5,39.0,51.166666666666664,47,0.1,0,10,6
73,0.1,0.31,0.5,31.5,82.16666666666667,50,0.1,1,10,6
74,0.1,0.31,0.5,37.666666666666664,70.33333333333333,105,0.1,1,10,6
75,0.1,0.31,0.5,41.666666666666664,86.0,28,0.1,1,10,6
76,0.1,0.31,0.5,30.166666666666668,81.0,60,0.1,1,10,6
77,0.1,0.31,0.5,34.166666666666664,80.16666666666667,57,0.1,1,10,6
78,0.1,0.31,0.5,38.833333333333336,84.83333333333333,30,0.1,1,10,6
79,0.1,0.31,0.5,30.833333333333332,84.16666666666667,40,0.1,1,10,6
80,0.1,0.31,0.5,35.833333333333336,82.0,47,0.1,1,10,6
81,0.1,0.31,0.5,39.5,74.0,102,0.1,1,10,6
82,0.1,0.31,0.5,33.166666666666664,55.666666666666664,24,0.1,0,10,6
83,0.1,0.31,0.5,37.666666666666664,50.5,30,0.1,0,10,6
84,0.1,0.31,0.5,35.333333333333336,83.83333333333333,31,0.1,1,10,6
85,0.1,0.31,0.5,33.166666666666664,65.83333333333333,138,0.1,1,10,6
86,0.1,0.31,0.5,39.666666666666664,72.5,113,0.1,1,10,6
87,0.1,0.31,0.5,31.666666666666668,87.66666666666667,23,0.1,1,10,6
88,0.1,0.31,0.5,33.166666666666664,82.66666666666667,50,0.1,1,10,6
89,0.1,0.31,0.5,38.666666666666664,84.83333333333333,28,0.1,1,10,6
90,0.1,0.31,0.5,34.5,83.0,47,0.1,1,10,6
91,0.1,0.31,0.5,35.0,49.166666666666664,45,0.1,0,10,6
92,0.1,0.31,0.5,37.833333333333336,80.83333333333333,54,0.1,1,10,6
93,0.1,0.31,0.5,31.333333333333332,87.83333333333333,21,0.1,1,10,6
94,0.1,0.31,0.5,36.666666666666664,88.0,23,0.1,1,10,6
95,0.1,0.31,0.5,33.166666666666664,88.66666666666667,24,0.1,1,10,6
96,0.1,0.31,0.5,33.5,82.66666666666667,46,0.1,1,10,6
97,0.1,0.31,0.5,37.0,89.16666666666667,21,0.1,1,10,6
98,0.1,0.31,0.5,35.833333333333336,87.33333333333333,22,0.1,1,10,6
99,0.1,0.31,0.5,34.5,25.166666666666668,13,0.1,0,10,6
100,0.1,0.31,0.5,36.166666666666664,24.666666666666668,14,0.1,0,10,6
101,0.1,0.31,0.5,33.666666666666664,25.0,14,0.1,0,10,6
102,0.1,0.31,0.5,24.666666666666668,5.0,127,0.1,0,10,6
103,0.1,0.31,0.5,27.666666666666668,54.833333333333336,23,0.1,0,10,6
104,0.1,0.31,0.5,26.333333333333332,52.5,30,0.1,0,10,6
105,0.1,0.31,0.5,23.166666666666668,56.0,18,0.1,0,10,6
106,0.1,0.31,0.5,31.0,49.5,53,0.1,0,10,6
107,0.1,0.31,0.5,25.833333333333332,56.333333333333336,18,0.1,0,10,6
108,0.1,0.31,0.5,24.833333333333332,49.666666666666664,35,0.1,0,10,6
109,0.1,0.31,0.5,30.833333333333332,46.833333333333336,68,0.1,0,10,6
110,0.1,0.31,0.5,27.333333333333332,21.333333333333332,23,0.1,0,10,6
111,0.1,0.31,0.5,22.666666666666668,48.666666666666664,60,0.1,0,10,6
112,0.1,0.31,0.5,31.166666666666668,53.166666666666664,23,0.1,0,10,6
113,0.1,0.31,0.5,27.5,50.833333333333336,46,0.1,0,10,6
114,0.1,0.31,0.5,23.0,52.166666666666664,39,0.1,0,10,6
115,0.1,0.31,0.5,30.833333333333332,48.0,63,0.1,0,10,6
116,0.1,0.31,0.5,37.0,87.16666666666667,29,0.1,1,10,6
117,0.1,0.31,0.5,23.166666666666668,87.0,30,0.1,1,10,6
118,0.1,0.31,0.5,37.166666666666664,87.5,27,0.1,1,10,6
119,0.1,0.31,0.5,34.666666666666664,86.16666666666667,29,0.1,1,10,6
120,0.1,0.31,0.5,22.833333333333332,56.333333333333336,18,0.1,0,10,6
121,0.1,0.31,0.5,39.666666666666664,86.66666666666667,30,0.1,1,10,6
122,0.1,0.31,0.5,25.833333333333332,87.16666666666667,27,0.1,1,10,6
123,0.1,0.31,0.5,30.833333333333332,85.5,34,0.1,1,10,6
124,0.1,0.31,0.5,38.166666666666664,87.16666666666667,27,0.1,1,10,6
125,0.1,0.31,0.5,27.833333333333332,86.33333333333333,31,0.1,1,10,6
126,0.1,0.31,0.5,30.5,84.33333333333333,34,0.1,1,10,6
127,0.1,0.31,0.5,37.5,86.66666666666667,29,0.1,1,10,6
128,0.1,0.31,0.5,28.0,86.66666666666667,27,0.1,1,10,6
129,0.1,0.31,0.5,32.5,85.66666666666667,29,0.1,1,10,6
130,0.1,0.31,0.5,37.333333333333336,86.66666666666667,31,0.1,1,10,6
131,0.1,0.31,0.5,27.666666666666668,53.833333333333336,31,0.1,0,10,6
132,0.1,0.31,0.5,30.833333333333332,86.16666666666667,31,0.1,1,10,6
133,0.1,0.31,0.5,37.333333333333336,86.0,30,0.1,1,10,6
134,0.1,0.31,0.5,28.0,87.33333333333333,28,0.1,1,10,6
135,0.1,0.31,0.5,32.5,50.0,33,0.1,0,10,6
136,0.1,0.31,0.5,35.666666666666664,55.666666666666664,19,0.1,0,10,6
137,0.1,0.31,0.5,29.666666666666668,86.66666666666667,31,0.1,1,10,6
138,0.1,0.31,0.5,31.5,87.5,27,0.1,1,10,6
139,0.1,0.31,0.5,35.166666666666664,84.66666666666667,37,0.1,1,10,6
140,0.1,0.31,0.5,32.333333333333336,53.5,33,0.1,0,10,6
141,0.1,0.31,0.5,30.833333333333332,85.83333333333333,35,0.1,1,10,6
142,0.1,0.31,0.5,34.333333333333336,86.5,31,0.1,1,10,6
143,0.1,0.31,0.5,30.166666666666668,85.83333333333333,36,0.1,1,10,6
144,0.1,0.31,0.5,30.5,86.83333333333333,29,0.1,1,10,6
145,0.1,0.31,0.5,35.0,86.83333333333333,30,0.1,1,10,6
146,0.1,0.31,0.5,29.833333333333332,87.0,29,0.1,1,10,6
147,0.1,0.31,0.5,31.0,86.16666666666667,35,0.1,1,10,6
148,0.1,0.31,0.5,35.833333333333336,86.16666666666667,29,0.1,1,10,6
