eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-117.25,43,0.1,0,10,8
1,0.1,0.31,0.5,2.5,-95.25,82,0.1,0,10,8
2,0.1,0.31,0.5,10.25,-92.5,36,0.1,0,10,8
3,0.1,0.31,0.5,11.5,-94.75,67,0.1,0,10,8
4,0.1,0.31,0.5,11.875,-43.5,42,0.1,0,10,8
5,0.1,0.31,0.5,19.375,-17.875,52,0.1,0,10,8
6,0.1,0.31,0.5,23.0,-11.125,17,0.1,0,10,8
7,0.1,0.31,0.5,22.625,-23.875,72,0.1,0,10,8
8,0.1,0.31,0.5,19.5,9.5,42,0.1,0,10,8
9,0.1,0.31,0.5,34.25,35.625,33,0.1,0,10,8
10,0.1,0.31,0.5,31.875,36.625,22,0.1,0,10,8
11,0.1,0.31,0.5,33.0,40.75,17,0.1,0,10,8
12,0.1,0.31,0.5,36.25,86.875,47,0.1,1,10,8
13,0.1,0.31,0.5,35.625,16.25,15,0.1,0,10,8
14,0.1,0.31,0.5,29.125,88.125,25,0.1,1,10,8
15,0.1,0.31,0.5,39.5,63.25,21,0.1,0,10,8
16,0.1,0.31,0.5,32.375,90.375,19,0.1,1,10,8
17,0.1,0.31,0.5,37.75,88.75,23,0.1,1,10,8
18,0.1,0.31,0.5,30.875,90.0,17,0.1,1,10,8
19,0.1,0.31,0.5,39.0,90.5,18,0.1,1,10,8
20,0.1,0.31,0.5,33.5,66.5,14,0.1,0,10,8
21,0.1,0.31,0.5,33.875,66.375,14,0.1,0,10,8
22,0.1,0.31,0.5,32.625,91.125,15,0.1,1,10,8
23,0.1,0.31,0.5,33.0,87.0,43,0.1,1,10,8
24,0.1,0.31,0.5,35.125,92.0,14,0.1,1,10,8
25,0.1,0.31,0.5,35.75,61.25,42,0.1,0,10,8
26,0.1,0.31,0.5,34.375,85.25,52,0.1,1,10,8
27,0.1,0.31,0.5,34.125,90.75,16,0.1,1,10,8
28,0.1,0.31,0.5,35.125,62.625,40,0.1,0,10,8
29,0.1,0.31,0.5,29.875,91.125,16,0.1,1,10,8
30,0.1,0.31,0.5,33.75,90.375,16,0.1,1,10,8
31,0.1,0.31,0.5,37.25,40.625,22,0.1,0,10,8
32,0.1,0.31,0.5,28.125,90.75,17,0.1,1,10,8
33,0.1,0.31,0.5,36.125,64.75,22,0.1,0,10,8
34,0.1,0.31,0.5,36.625,66.125,17,0.1,0,10,8
35,0.1,0.31,0.5,28.75,91.625,14,0.1,1,10,8
36,0.1,0.31,0.5,34.875,64.875,22,0.1,0,10,8
37,0.1,0.31,0.5,37.375,88.125,22,0.1,1,10,8
38,0.1,0.31,0.5,27.75,89.0,27,0.1,1,10,8
39,0.1,0.31,0.5,38.75,40.375,22,0.1,0,10,8
40,0.1,0.31,0.5,36.125,90.625,17,0.1,1,10,8
41,0.1,0.31,0.5,32.25,40.0,18,0.1,0,10,8
42,0.1,0.31,0.5,32.75,90.75,15,0.1,1,10,8
43,0.1,0.31,0.5,35.0,91.125,15,0.1,1,10,8
44,0.1,0.31,0.5,32.125,87.5,43,0.1,1,10,8
45,0.1,0.31,0.5,33.875,90.25,17,0.1,1,10,8
46,0.1,0.31,0.5,34.875,91.0,16,0.1,1,10,8
47,0.1,0.31,0.5,31.0,90.25,17,0.1,1,10,8
48,0.1,0.31,0.5,33.25,90.25,19,0.1,1,10,8
49,0.1,0.31,0.5,35.75,65.0,25,0.1,0,10,8
50,0.1,0.31,0.5,34.0,17.625,13,0.1,0,10,8
51,0.1,0.31,0.5,32.5,43.875,9,0.1,0,10,8
52,0.1,0.31,0.5,27.625,65.75,18,0.1,0,10,8
53,0.1,0.31,0.5,31.125,91.125,17,0.1,1,10,8
54,0.1,0.31,0.5,27.125,90.5,17,0.1,1,10,8
55,0.1,0.31,0.5,32.0,91.5,16,0.1,1,10,8
56,0.1,0.31,0.5,36.375,66.75,18,0.1,0,10,8
57,0.1,0.31,0.5,31.375,66.75,14,0.1,0,10,8
58,0.1,0.31,0.5,30.375,91.0,15,0.1,1,10,8
59,0.1,0.31,0.5,35.625,66.25,14,0.1,0,10,8
60,0.1,0.31,0.5,30.75,62.375,38,0.1,0,10,8
61,0.1,0.31,0.5,33.375,64.625,30,0.1,0,10,8
62,0.1,0.31,0.5,33.625,92.375,15,0.1,1,10,8
63,0.1,0.31,0.5,31.625,89.375,30,0.1,1,10,8
64,0.1,0.31,0.5,27.0,68.375,14,0.1,0,10,8
65,0.1,0.31,0.5,36.25,92.0,14,0.1,1,10,8
66,0.1,0.31,0.5,32.5,91.5,14,0.1,1,10,8
67,0.1,0.31,0.5,32.625,39.5,23,0.1,0,10,8
68,0.1,0.31,0.5,31.875,91.5,14,0.1,1,10,8
69,0.1,0.31,0.5,31.625,91.375,17,0.1,1,10,8
70,0.1,0.31,0.5,32.375,91.25,16,0.1,1,10,8
71,0.1,0.31,0.5,33.875,65.0,23,0.1,0,10,8
72,0.1,0.31,0.5,33.375,67.75,15,0.1,0,10,8
73,0.1,0.31,0.5,28.375,92.125,16,0.1,1,10,8
74,0.1,0.31,0.5,32.75,91.0,23,0.1,1,10,8
75,0.1,0.31,0.5,33.625,92.75,13,0.1,1,10,8
76,0.1,0.31,0.5,28.625,91.625,14,0.1,1,10,8
77,0.1,0.31,0.5,34.25,39.75,29,0.1,0,10,8
78,0.1,0.31,0.5,33.125,92.0,14,0.1,1,10,8
79,0.1,0.31,0.5,26.625,66.25,14,0.1,0,10,8
80,0.1,0.31,0.5,32.5,92.25,14,0.1,1,10,8
81,0.1,0.31,0.5,32.375,68.125,14,0.1,0,10,8
82,0.1,0.31,0.5,28.75,67.75,14,0.1,0,10,8
83,0.1,0.31,0.5,34.25,92.5,14,0.1,1,10,8
84,0.1,0.31,0.5,30.75,90.875,20,0.1,1,10,8
85,0.1,0.31,0.5,30.0,90.875,18,0.1,1,10,8
86,0.1,0.31,0.5,36.75,91.875,18,0.1,1,10,8
87,0.1,0.31,0.5,30.25,92.25,16,0.1,1,10,8
88,0.1,0.31,0.5,28.25,91.875,15,0.1,1,10,8
89,0.1,0.31,0.5,34.125,92.5,14,0.1,1,10,8
90,0.1,0.31,0.5,30.0,92.625,14,0.1,1,10,8
91,0.1,0.31,0.5,27.625,92.375,14,0.1,1,10,8
92,0.1,0.31,0.5,35.5,91.875,14,0.1,1,10,8
93,0.1,0.31,0.5,31.125,92.5,14,0.1,1,10,8
94,0.1,0.31,0.5,30.625,16.0,29,0.1,0,10,8
95,0.1,0.31,0.5,34.875,92.375,14,0.1,1,10,8
96,0.1,0.31,0.5,30.625,90.625,22,0.1,1,10,8
97,0.1,0.31,0.5,30.625,92.375,14,0.1,1,10,8
98,0.1,0.31,0.5,35.125,92.5,16,0.1,1,10,8
99,0.1,0.31,0.5,28.75,92.625,14,0.1,1,10,8
100,0.1,0.31,0.5,30.5,92.375,14,0.1,1,10,8
101,0.1,0.31,0.5,35.5,68.25,10,0.1,0,10,8
102,0.1,0.31,0.5,29.875,92.375,15,0.1,1,10,8
103,0.1,0.31,0.5,29.875,92.75,14,0.1,1,10,8
104,0.1,0.31,0.5,34.875,92.375,16,0.1,1,10,8
105,0.1,0.31,0.5,30.125,91.75,16,0.1,1,10,8
106,0.1,0.31,0.5,30.0,92.625,14,0.1,1,10,8
107,0.1,0.31,0.5,35.0,92.5,14,0.1,1,10,8
108,0.1,0.31,0.5,29.5,92.75,14,0.1,1,10,8
109,0.1,0.31,0.5,28.75,92.25,17,0.1,1,10,8
110,0.1,0.31,0.5,34.75,92.5,14,0.1,1,10,8
111,0.1,0.31,0.5,29.0,92.0,15,0.1,1,10,8
112,0.1,0.31,0.5,28.625,68.25,14,0.1,0,10,8
113,0.1,0.31,0.5,36.125,92.0,16,0.1,1,10,8
114,0.1,0.31,0.5,28.875,92.375,14,0.1,1,10,8
115,0.1,0.31,0.5,27.875,92.0,16,0.1,1,10,8
116,0.1,0.31,0.5,36.0,92.25,13,0.1,1,10,8
117,0.1,0.31,0.5,29.375,92.625,14,0.1,1,10,8
118,0.1,0.31,0.5,29.625,90.625,31,0.1,1,10,8
119,0.1,0.31,0.5,35.125,92.625,13,0.1,1,10,8
120,0.1,0.31,0.5,29.75,92.75,12,0.1,1,10,8
121,0.1,0.31,0.5,29.125,92.375,14,0.1,1,10,8
122,0.1,0.31,0.5,33.5,93.0,12,0.1,1,10,8
123,0.1,0.31,0.5,30.25,91.875,14,0.1,1,10,8
124,0.1,0.31,0.5,29.25,92.625,13,0.1,1,10,8
