eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-106,-126,27,0.1,0,10,2
1,0.1,0.31,0.5,0,0,-108,-115,16,0.1,0,10,2
2,0.1,0.31,0.5,0,0,-146,-106,47,0.1,0,10,2
3,0.1,0.31,0.5,0,0,-128,-120,29,0.1,0,10,2
4,0.1,0.31,0.5,0,0,-150,-114,51,0.1,0,10,2
5,0.1,0.31,0.5,0,0,-143,-116,44,0.1,0,10,2
6,0.1,0.31,0.5,0,0,-139,-149,50,0.1,0,10,2
7,0.1,0.31,0.5,0,21,-108,45,56,0.1,0,10,2
8,0.1,0.31,0.5,13,14,-151,87,52,0.1,0,10,2
9,0.1,0.31,0.5,13,13,-110,86,15,0.1,0,10,2
10,0.1,0.31,0.5,13,14,-202,87,103,0.1,0,10,2
11,0.1,0.31,0.5,14,14,-156,88,57,0.1,0,10,2
12,0.1,0.31,0.5,14,13,-113,87,14,0.1,0,10,2
13,0.1,0.31,0.5,14,14,-158,88,59,0.1,0,10,2
14,0.1,0.31,0.5,14,14,-228,88,129,0.1,0,10,2
15,0.1,0.31,0.5,14,16,-126,81,27,0.1,0,10,2
16,0.1,0.31,0.5,14,14,-190,88,91,0.1,0,10,2
17,0.1,0.31,0.5,14,14,-155,88,56,0.1,0,10,2
18,0.1,0.31,0.5,14,15,-116,88,17,0.1,0,10,2
19,0.1,0.31,0.5,14,14,-120,88,21,0.1,0,10,2
20,0.1,0.31,0.5,14,15,-167,83,68,0.1,0,10,2
21,0.1,0.31,0.5,29,14,40,88,61,0.1,1,10,2
22,0.1,0.31,0.5,27,26,76,88,25,0.1,1,10,2
23,0.1,0.31,0.5,27,14,-112,87,14,0.1,0,10,2
24,0.1,0.31,0.5,27,24,73,-116,28,0.1,0,10,2
25,0.1,0.31,0.5,26,25,65,-110,36,0.1,0,10,2
26,0.1,0.31,0.5,39,14,15,87,86,0.1,1,10,2
27,0.1,0.31,0.5,39,22,-118,88,19,0.1,0,10,2
28,0.1,0.31,0.5,26,18,-132,84,33,0.1,0,10,2
29,0.1,0.31,0.5,24,14,-179,88,80,0.1,0,10,2
30,0.1,0.31,0.5,33,15,-31,88,132,0.1,1,10,2
31,0.1,0.31,0.5,36,21,-126,88,27,0.1,0,10,2
32,0.1,0.31,0.5,33,14,49,88,52,0.1,1,10,2
33,0.1,0.31,0.5,22,26,89,80,21,0.1,1,10,2
34,0.1,0.31,0.5,25,15,87,75,26,0.1,1,10,2
35,0.1,0.31,0.5,17,24,88,88,13,0.1,1,10,2
36,0.1,0.31,0.5,25,14,-118,86,19,0.1,0,10,2
37,0.1,0.31,0.5,15,25,89,88,13,0.1,1,10,2
38,0.1,0.31,0.5,24,14,88,87,14,0.1,1,10,2
39,0.1,0.31,0.5,25,28,88,91,13,0.1,1,10,2
40,0.1,0.31,0.5,16,18,85,86,16,0.1,1,10,2
41,0.1,0.31,0.5,24,23,89,88,13,0.1,1,10,2
42,0.1,0.31,0.5,16,24,90,-106,11,0.1,0,10,2
43,0.1,0.31,0.5,19,17,91,88,13,0.1,1,10,2
44,0.1,0.31,0.5,17,19,83,88,18,0.1,1,10,2
45,0.1,0.31,0.5,18,24,89,-115,16,0.1,0,10,2
46,0.1,0.31,0.5,22,19,85,88,16,0.1,1,10,2
47,0.1,0.31,0.5,19,18,91,86,15,0.1,1,10,2
48,0.1,0.31,0.5,16,24,91,86,15,0.1,1,10,2
49,0.1,0.31,0.5,17,17,-105,88,13,0.1,0,10,2
50,0.1,0.31,0.5,17,17,-105,88,13,0.1,0,10,2
51,0.1,0.31,0.5,10,21,-105,84,17,0.1,0,10,2
52,0.1,0.31,0.5,21,14,79,87,22,0.1,1,10,2
53,0.1,0.31,0.5,23,23,91,90,11,0.1,1,10,2
54,0.1,0.31,0.5,24,12,-111,90,12,0.1,0,10,2
55,0.1,0.31,0.5,17,19,86,89,15,0.1,1,10,2
56,0.1,0.31,0.5,22,12,67,90,34,0.1,1,10,2
57,0.1,0.31,0.5,23,21,87,88,14,0.1,1,10,2
58,0.1,0.31,0.5,17,14,88,88,13,0.1,1,10,2
59,0.1,0.31,0.5,16,20,89,86,15,0.1,1,10,2
60,0.1,0.31,0.5,23,17,88,89,13,0.1,1,10,2
61,0.1,0.31,0.5,21,20,89,90,12,0.1,1,10,2
62,0.1,0.31,0.5,18,21,77,88,24,0.1,1,10,2
63,0.1,0.31,0.5,23,18,89,89,12,0.1,1,10,2
64,0.1,0.31,0.5,21,17,85,89,16,0.1,1,10,2
65,0.1,0.31,0.5,17,18,84,90,17,0.1,1,10,2
66,0.1,0.31,0.5,23,21,89,88,13,0.1,1,10,2
67,0.1,0.31,0.5,20,21,87,90,14,0.1,1,10,2
68,0.1,0.31,0.5,16,18,89,90,12,0.1,1,10,2
69,0.1,0.31,0.5,16,20,89,-106,12,0.1,0,10,2
70,0.1,0.31,0.5,20,20,89,89,12,0.1,1,10,2
71,0.1,0.31,0.5,24,19,88,89,13,0.1,1,10,2
72,0.1,0.31,0.5,17,19,87,86,15,0.1,1,10,2
73,0.1,0.31,0.5,21,15,87,90,14,0.1,1,10,2
74,0.1,0.31,0.5,20,20,91,-108,10,0.1,0,10,2
75,0.1,0.31,0.5,14,19,91,87,14,0.1,1,10,2
76,0.1,0.31,0.5,19,13,91,90,11,0.1,1,10,2
77,0.1,0.31,0.5,19,20,90,90,11,0.1,1,10,2
78,0.1,0.31,0.5,16,19,91,90,11,0.1,1,10,2
79,0.1,0.31,0.5,19,15,91,90,11,0.1,1,10,2
80,0.1,0.31,0.5,19,20,91,90,11,0.1,1,10,2
81,0.1,0.31,0.5,16,19,89,89,12,0.1,1,10,2
82,0.1,0.31,0.5,20,15,91,90,11,0.1,1,10,2
83,0.1,0.31,0.5,19,20,91,89,12,0.1,1,10,2
84,0.1,0.31,0.5,15,20,91,90,11,0.1,1,10,2
85,0.1,0.31,0.5,19,14,91,90,11,0.1,1,10,2
86,0.1,0.31,0.5,19,21,91,90,11,0.1,1,10,2
87,0.1,0.31,0.5,15,19,91,90,11,0.1,1,10,2
88,0.1,0.31,0.5,18,12,-107,87,14,0.1,0,10,2
89,0.1,0.31,0.5,19,21,91,90,11,0.1,1,10,2
90,0.1,0.31,0.5,17,22,89,90,12,0.1,1,10,2
91,0.1,0.31,0.5,23,13,77,89,24,0.1,1,10,2
92,0.1,0.31,0.5,25,16,84,90,17,0.1,1,10,2
93,0.1,0.31,0.5,16,20,91,88,13,0.1,1,10,2
94,0.1,0.31,0.5,19,14,89,90,12,0.1,1,10,2
95,0.1,0.31,0.5,18,21,91,88,13,0.1,1,10,2
96,0.1,0.31,0.5,14,21,91,90,11,0.1,1,10,2
97,0.1,0.31,0.5,20,13,91,90,11,0.1,1,10,2
98,0.1,0.31,0.5,17,22,91,90,11,0.1,1,10,2
99,0.1,0.31,0.5,19,20,-105,90,11,0.1,0,10,2
100,0.1,0.31,0.5,19,13,-105,90,11,0.1,0,10,2
101,0.1,0.31,0.5,12,18,-106,90,11,0.1,0,10,2
102,0.1,0.31,0.5,24,12,76,90,25,0.1,1,10,2
103,0.1,0.31,0.5,20,17,86,-105,15,0.1,0,10,2
104,0.1,0.31,0.5,23,18,87,90,14,0.1,1,10,2
105,0.1,0.31,0.5,22,17,87,90,14,0.1,1,10,2
106,0.1,0.31,0.5,21,22,86,90,15,0.1,1,10,2
107,0.1,0.31,0.5,22,14,87,90,14,0.1,1,10,2
108,0.1,0.31,0.5,23,22,85,90,16,0.1,1,10,2
109,0.1,0.31,0.5,21,22,85,90,16,0.1,1,10,2
110,0.1,0.31,0.5,22,14,87,90,14,0.1,1,10,2
111,0.1,0.31,0.5,23,22,87,90,14,0.1,1,10,2
112,0.1,0.31,0.5,21,23,87,89,14,0.1,1,10,2
113,0.1,0.31,0.5,22,15,87,89,14,0.1,1,10,2
114,0.1,0.31,0.5,23,22,86,90,15,0.1,1,10,2
115,0.1,0.31,0.5,21,22,87,90,14,0.1,1,10,2
116,0.1,0.31,0.5,26,13,-108,90,11,0.1,0,10,2
117,0.1,0.31,0.5,22,22,87,90,14,0.1,1,10,2
118,0.1,0.31,0.5,18,23,87,90,14,0.1,1,10,2
119,0.1,0.31,0.5,25,13,86,90,15,0.1,1,10,2
120,0.1,0.31,0.5,23,20,85,90,16,0.1,1,10,2
121,0.1,0.31,0.5,18,22,87,90,14,0.1,1,10,2
122,0.1,0.31,0.5,25,18,90,90,11,0.1,1,10,2
123,0.1,0.31,0.5,23,24,86,88,15,0.1,1,10,2
124,0.1,0.31,0.5,14,25,87,-105,14,0.1,0,10,2
125,0.1,0.31,0.5,26,15,87,90,14,0.1,1,10,2
126,0.1,0.31,0.5,25,21,87,90,14,0.1,1,10,2
127,0.1,0.31,0.5,15,22,87,90,14,0.1,1,10,2
128,0.1,0.31,0.5,24,17,83,87,18,0.1,1,10,2
129,0.1,0.31,0.5,26,20,85,89,16,0.1,1,10,2
130,0.1,0.31,0.5,16,21,86,90,15,0.1,1,10,2
131,0.1,0.31,0.5,25,18,87,88,14,0.1,1,10,2
132,0.1,0.31,0.5,25,24,85,88,16,0.1,1,10,2
133,0.1,0.31,0.5,16,21,85,89,16,0.1,1,10,2
134,0.1,0.31,0.5,25,16,87,90,14,0.1,1,10,2
135,0.1,0.31,0.5,25,24,87,87,14,0.1,1,10,2
136,0.1,0.31,0.5,16,24,87,90,14,0.1,1,10,2
137,0.1,0.31,0.5,24,16,87,90,14,0.1,1,10,2
138,0.1,0.31,0.5,26,25,87,88,14,0.1,1,10,2
139,0.1,0.31,0.5,16,23,86,90,15,0.1,1,10,2
140,0.1,0.31,0.5,24,16,87,90,14,0.1,1,10,2
141,0.1,0.31,0.5,25,21,89,90,12,0.1,1,10,2
142,0.1,0.31,0.5,17,22,87,90,14,0.1,1,10,2
143,0.1,0.31,0.5,24,14,87,90,14,0.1,1,10,2
144,0.1,0.31,0.5,25,23,87,90,14,0.1,1,10,2
145,0.1,0.31,0.5,17,21,85,90,16,0.1,1,10,2
146,0.1,0.31,0.5,24,14,87,90,14,0.1,1,10,2
147,0.1,0.31,0.5,25,22,87,90,14,0.1,1,10,2
148,0.1,0.31,0.5,17,21,87,90,14,0.1,1,10,2
