eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,15,0,-147,-112,55,-115,48,0.1,0,10,4
1,0.1,0.31,0.5,8,8,9,8,-112,-111,91,-116,17,0.1,0,10,4
2,0.1,0.31,0.5,8,8,9,22,-129,-121,93,35,66,0.1,0,10,4
3,0.1,0.31,0.5,18,18,17,18,-121,-130,93,88,31,0.1,0,10,4
4,0.1,0.31,0.5,18,18,9,14,-139,-130,93,87,40,0.1,0,10,4
5,0.1,0.31,0.5,18,18,18,18,-138,-109,92,86,39,0.1,0,10,4
6,0.1,0.31,0.5,18,12,13,18,-125,84,93,84,26,0.1,0,10,4
7,0.1,0.31,0.5,27,24,22,25,-146,92,93,86,47,0.1,0,10,4
8,0.1,0.31,0.5,27,20,26,18,-158,90,-107,85,59,0.1,0,10,4
9,0.1,0.31,0.5,27,18,12,26,-112,92,93,84,17,0.1,0,10,4
10,0.1,0.31,0.5,27,22,24,29,-124,92,75,78,26,0.1,0,10,4
11,0.1,0.31,0.5,27,17,21,18,-160,92,92,78,61,0.1,0,10,4
12,0.1,0.31,0.5,29,23,16,29,-122,91,93,84,23,0.1,0,10,4
13,0.1,0.31,0.5,29,23,26,28,-147,92,92,81,48,0.1,0,10,4
14,0.1,0.31,0.5,29,17,20,19,-178,91,93,81,79,0.1,0,10,4
15,0.1,0.31,0.5,29,20,17,28,-177,89,92,84,78,0.1,0,10,4
16,0.1,0.31,0.5,29,28,24,29,-131,90,92,90,32,0.1,0,10,4
17,0.1,0.31,0.5,29,18,21,19,-114,92,93,82,19,0.1,0,10,4
18,0.1,0.31,0.5,29,21,17,28,-143,92,93,84,44,0.1,0,10,4
19,0.1,0.31,0.5,29,25,20,28,-162,89,93,80,63,0.1,0,10,4
20,0.1,0.31,0.5,16,20,19,18,63,90,93,85,38,0.1,1,10,4
21,0.1,0.31,0.5,38,30,26,38,89,92,93,82,19,0.1,1,10,4
22,0.1,0.31,0.5,40,24,22,27,81,91,93,82,20,0.1,1,10,4
23,0.1,0.31,0.5,15,27,23,30,85,90,93,86,16,0.1,1,10,4
24,0.1,0.31,0.5,35,27,24,33,89,92,93,81,20,0.1,1,10,4
25,0.1,0.31,0.5,32,20,20,25,74,92,93,86,27,0.1,1,10,4
26,0.1,0.31,0.5,24,28,27,29,89,92,93,86,15,0.1,1,10,4
27,0.1,0.31,0.5,37,33,25,38,88,91,93,82,19,0.1,1,10,4
28,0.1,0.31,0.5,25,16,19,24,89,92,93,86,15,0.1,1,10,4
29,0.1,0.31,0.5,27,32,30,30,89,92,93,85,16,0.1,1,10,4
30,0.1,0.31,0.5,34,36,25,35,88,-107,93,84,17,0.1,0,10,4
31,0.1,0.31,0.5,25,36,15,25,89,89,93,86,15,0.1,1,10,4
32,0.1,0.31,0.5,28,14,28,33,89,91,93,88,13,0.1,1,10,4
33,0.1,0.31,0.5,33,34,30,33,89,92,92,88,13,0.1,1,10,4
34,0.1,0.31,0.5,26,15,15,24,71,92,93,84,30,0.1,1,10,4
35,0.1,0.31,0.5,32,29,29,27,91,92,93,87,14,0.1,1,10,4
36,0.1,0.31,0.5,32,36,29,36,89,91,93,84,17,0.1,1,10,4
37,0.1,0.31,0.5,23,14,17,24,86,92,91,88,15,0.1,1,10,4
38,0.1,0.31,0.5,31,30,32,31,89,92,93,88,13,0.1,1,10,4
39,0.1,0.31,0.5,30,29,22,28,87,92,93,88,14,0.1,1,10,4
40,0.1,0.31,0.5,24,22,18,33,89,88,93,71,30,0.1,1,10,4
41,0.1,0.31,0.5,30,27,26,28,89,92,93,88,13,0.1,1,10,4
42,0.1,0.31,0.5,31,33,28,31,89,92,93,87,14,0.1,1,10,4
43,0.1,0.31,0.5,25,19,18,37,88,92,93,-114,15,0.1,0,10,4
44,0.1,0.31,0.5,24,20,21,37,89,92,93,-114,15,0.1,0,10,4
45,0.1,0.31,0.5,32,33,32,27,89,92,91,88,13,0.1,1,10,4
46,0.1,0.31,0.5,31,26,29,24,88,90,88,86,15,0.1,1,10,4
47,0.1,0.31,0.5,31,18,23,33,68,92,93,88,33,0.1,1,10,4
48,0.1,0.31,0.5,31,32,26,26,89,92,93,85,16,0.1,1,10,4
49,0.1,0.31,0.5,31,23,24,23,89,92,91,88,13,0.1,1,10,4
50,0.1,0.31,0.5,25,20,24,33,85,92,93,88,16,0.1,1,10,4
51,0.1,0.31,0.5,31,31,29,32,89,92,91,85,16,0.1,1,10,4
52,0.1,0.31,0.5,32,24,26,22,88,92,91,87,14,0.1,1,10,4
53,0.1,0.31,0.5,24,23,25,33,89,92,93,92,12,0.1,1,10,4
54,0.1,0.31,0.5,29,30,25,25,89,92,93,92,12,0.1,1,10,4
55,0.1,0.31,0.5,24,17,17,22,87,92,93,88,14,0.1,1,10,4
56,0.1,0.31,0.5,26,32,24,27,89,-108,93,92,12,0.1,0,10,4
57,0.1,0.31,0.5,37,29,28,29,74,87,93,92,27,0.1,1,10,4
58,0.1,0.31,0.5,26,18,21,20,87,92,92,90,14,0.1,1,10,4
59,0.1,0.31,0.5,25,30,25,30,88,92,93,90,13,0.1,1,10,4
60,0.1,0.31,0.5,32,28,28,30,89,92,93,91,12,0.1,1,10,4
61,0.1,0.31,0.5,27,22,21,18,89,90,92,92,12,0.1,1,10,4
62,0.1,0.31,0.5,24,30,22,33,89,90,93,88,13,0.1,1,10,4
63,0.1,0.31,0.5,29,28,34,30,89,92,86,92,15,0.1,1,10,4
64,0.1,0.31,0.5,26,21,25,19,89,92,92,92,12,0.1,1,10,4
65,0.1,0.31,0.5,25,24,36,27,85,92,-110,92,16,0.1,0,10,4
66,0.1,0.31,0.5,31,27,22,26,89,92,93,92,12,0.1,1,10,4
67,0.1,0.31,0.5,31,24,16,22,89,92,93,92,12,0.1,1,10,4
68,0.1,0.31,0.5,38,25,36,28,-113,92,88,92,14,0.1,0,10,4
69,0.1,0.31,0.5,24,26,19,23,89,92,93,92,12,0.1,1,10,4
70,0.1,0.31,0.5,24,27,24,27,89,91,92,92,12,0.1,1,10,4
71,0.1,0.31,0.5,30,22,25,20,-133,92,93,92,34,0.1,0,10,4
72,0.1,0.31,0.5,35,22,18,21,79,91,93,92,22,0.1,1,10,4
73,0.1,0.31,0.5,16,27,27,28,89,91,92,92,12,0.1,1,10,4
74,0.1,0.31,0.5,36,24,23,21,85,92,93,90,16,0.1,1,10,4
75,0.1,0.31,0.5,33,26,24,28,85,92,90,90,16,0.1,1,10,4
76,0.1,0.31,0.5,18,29,20,33,87,87,93,76,25,0.1,1,10,4
77,0.1,0.31,0.5,34,27,21,23,83,92,93,92,18,0.1,1,10,4
78,0.1,0.31,0.5,32,28,29,28,89,88,93,92,13,0.1,1,10,4
79,0.1,0.31,0.5,17,25,23,29,89,92,93,92,12,0.1,1,10,4
80,0.1,0.31,0.5,35,26,20,20,89,91,93,92,12,0.1,1,10,4
81,0.1,0.31,0.5,32,29,36,27,89,92,89,92,12,0.1,1,10,4
82,0.1,0.31,0.5,19,27,29,33,89,92,93,87,14,0.1,1,10,4
83,0.1,0.31,0.5,30,22,20,23,89,90,88,85,16,0.1,1,10,4
84,0.1,0.31,0.5,31,30,29,28,89,92,93,92,12,0.1,1,10,4
85,0.1,0.31,0.5,21,28,24,31,89,92,93,90,12,0.1,1,10,4
86,0.1,0.31,0.5,31,21,19,24,84,92,93,90,17,0.1,1,10,4
87,0.1,0.31,0.5,31,28,26,29,87,92,93,92,14,0.1,1,10,4
88,0.1,0.31,0.5,24,22,22,25,80,92,93,92,21,0.1,1,10,4
89,0.1,0.31,0.5,32,24,23,22,89,92,93,92,12,0.1,1,10,4
90,0.1,0.31,0.5,30,31,30,31,89,92,92,92,12,0.1,1,10,4
91,0.1,0.31,0.5,21,26,23,26,89,86,93,91,15,0.1,1,10,4
92,0.1,0.31,0.5,34,27,24,23,89,92,91,92,12,0.1,1,10,4
93,0.1,0.31,0.5,29,31,31,30,87,92,92,91,14,0.1,1,10,4
94,0.1,0.31,0.5,22,22,20,26,89,92,93,91,12,0.1,1,10,4
95,0.1,0.31,0.5,34,24,23,23,89,92,93,91,12,0.1,1,10,4
96,0.1,0.31,0.5,28,31,31,30,89,92,92,92,12,0.1,1,10,4
97,0.1,0.31,0.5,22,23,23,26,89,92,93,92,12,0.1,1,10,4
98,0.1,0.31,0.5,35,21,21,21,84,92,92,92,17,0.1,1,10,4
99,0.1,0.31,0.5,38,31,29,30,-108,92,93,92,9,0.1,0,10,4
100,0.1,0.31,0.5,38,31,23,25,-111,-105,91,92,12,0.1,0,10,4
101,0.1,0.31,0.5,31,25,22,21,-108,92,87,90,14,0.1,0,10,4
102,0.1,0.31,0.5,31,19,20,21,-111,89,93,92,12,0.1,0,10,4
103,0.1,0.31,0.5,30,26,20,21,-127,92,93,92,28,0.1,0,10,4
104,0.1,0.31,0.5,29,16,19,21,-119,92,93,92,20,0.1,0,10,4
105,0.1,0.31,0.5,29,21,18,20,-161,82,93,87,62,0.1,0,10,4
106,0.1,0.31,0.5,29,25,18,18,-153,92,93,92,54,0.1,0,10,4
107,0.1,0.31,0.5,29,16,23,23,-203,92,91,92,104,0.1,0,10,4
108,0.1,0.31,0.5,29,19,18,19,-467,92,93,92,368,0.1,0,10,4
109,0.1,0.31,0.5,29,25,18,18,-129,92,92,92,30,0.1,0,10,4
110,0.1,0.31,0.5,29,16,22,23,-159,92,93,92,60,0.1,0,10,4
111,0.1,0.31,0.5,29,17,17,21,-138,92,93,90,39,0.1,0,10,4
112,0.1,0.31,0.5,29,25,20,18,-355,92,90,92,256,0.1,0,10,4
113,0.1,0.31,0.5,29,17,21,22,-286,92,93,92,187,0.1,0,10,4
114,0.1,0.31,0.5,29,18,18,19,-190,91,93,92,91,0.1,0,10,4
