eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,13,-116,-159,-126,-139,-108,67,60,0.1,0,10,6
1,0.1,0.31,0.5,8,8,8,4,8,8,-270,-201,-116,-104,-239,93,171,0.1,0,10,6
2,0.1,0.31,0.5,8,22,8,8,23,7,-113,57,-127,-133,44,95,57,0.1,0,10,6
3,0.1,0.31,0.5,19,12,26,12,12,16,-140,91,80,-102,91,95,41,0.1,0,10,6
4,0.1,0.31,0.5,24,21,12,24,25,12,-112,92,89,-115,90,94,16,0.1,0,10,6
5,0.1,0.31,0.5,24,12,20,24,25,13,13,91,84,-128,-103,95,88,0.1,0,10,6
6,0.1,0.31,0.5,31,31,29,32,17,22,85,87,86,-118,88,95,19,0.1,0,10,6
7,0.1,0.31,0.5,26,17,14,32,22,14,80,90,89,-155,89,95,56,0.1,0,10,6
8,0.1,0.31,0.5,24,28,32,33,31,27,85,89,85,-136,92,95,37,0.1,0,10,6
9,0.1,0.31,0.5,34,22,18,33,12,20,75,88,88,-150,92,90,51,0.1,0,10,6
10,0.1,0.31,0.5,24,25,26,33,38,17,87,85,88,-107,16,95,85,0.1,0,10,6
11,0.1,0.31,0.5,22,24,31,33,17,23,76,92,87,-159,92,95,60,0.1,0,10,6
12,0.1,0.31,0.5,29,23,20,33,25,23,86,85,89,-115,92,95,16,0.1,0,10,6
13,0.1,0.31,0.5,22,22,24,33,26,16,87,92,89,-110,87,94,14,0.1,0,10,6
14,0.1,0.31,0.5,24,22,22,33,17,22,86,92,88,-176,92,95,77,0.1,0,10,6
15,0.1,0.31,0.5,23,22,24,33,26,19,83,89,89,-115,92,95,18,0.1,0,10,6
16,0.1,0.31,0.5,32,19,29,19,18,19,58,92,-121,47,92,94,54,0.1,0,10,6
17,0.1,0.31,0.5,34,36,32,44,43,32,80,92,88,82,80,95,21,0.1,1,10,6
18,0.1,0.31,0.5,27,19,26,33,19,19,87,92,86,86,94,94,15,0.1,1,10,6
19,0.1,0.31,0.5,39,46,36,28,33,21,82,41,89,84,89,94,60,0.1,1,10,6
20,0.1,0.31,0.5,25,24,27,41,23,25,87,92,82,85,92,95,19,0.1,1,10,6
21,0.1,0.31,0.5,37,32,36,45,35,27,86,90,87,-111,91,95,15,0.1,0,10,6
22,0.1,0.31,0.5,40,34,42,33,34,26,85,92,79,84,92,94,22,0.1,1,10,6
23,0.1,0.31,0.5,28,25,24,25,23,25,85,92,91,84,92,94,17,0.1,1,10,6
24,0.1,0.31,0.5,37,28,33,46,31,26,86,92,89,82,92,95,19,0.1,1,10,6
25,0.1,0.31,0.5,26,23,29,46,23,19,84,92,89,-107,92,95,17,0.1,0,10,6
26,0.1,0.31,0.5,32,28,27,33,27,25,87,92,91,80,92,95,21,0.1,1,10,6
27,0.1,0.31,0.5,38,31,38,28,35,27,87,92,85,81,89,95,20,0.1,1,10,6
28,0.1,0.31,0.5,27,28,38,42,26,33,84,92,87,85,92,86,17,0.1,1,10,6
29,0.1,0.31,0.5,35,23,27,38,26,33,86,92,76,67,92,95,34,0.1,1,10,6
30,0.1,0.31,0.5,37,33,34,34,32,27,82,90,88,82,92,95,19,0.1,1,10,6
31,0.1,0.31,0.5,45,29,38,36,25,22,-113,92,84,86,92,95,17,0.1,0,10,6
32,0.1,0.31,0.5,28,29,29,35,31,32,87,89,89,85,92,91,16,0.1,1,10,6
33,0.1,0.31,0.5,31,32,36,33,38,33,85,92,89,86,86,95,16,0.1,1,10,6
34,0.1,0.31,0.5,37,39,33,29,25,21,-105,85,87,84,91,95,17,0.1,0,10,6
35,0.1,0.31,0.5,42,27,27,45,32,25,84,89,87,-127,92,95,28,0.1,0,10,6
36,0.1,0.31,0.5,17,36,37,31,32,23,89,91,88,84,92,95,17,0.1,1,10,6
37,0.1,0.31,0.5,38,32,27,31,31,20,85,88,89,79,82,95,22,0.1,1,10,6
38,0.1,0.31,0.5,45,22,33,44,34,28,85,92,87,86,92,95,16,0.1,1,10,6
39,0.1,0.31,0.5,22,35,38,28,32,25,79,92,89,86,92,95,22,0.1,1,10,6
40,0.1,0.31,0.5,37,29,27,45,23,21,58,91,88,-115,92,95,43,0.1,0,10,6
41,0.1,0.31,0.5,40,25,35,32,33,31,87,92,86,86,92,94,15,0.1,1,10,6
42,0.1,0.31,0.5,27,36,37,27,33,28,87,90,87,90,91,95,14,0.1,1,10,6
43,0.1,0.31,0.5,34,35,28,42,30,23,86,92,89,86,92,95,15,0.1,1,10,6
44,0.1,0.31,0.5,33,22,27,28,28,26,87,90,88,90,92,95,14,0.1,1,10,6
45,0.1,0.31,0.5,25,33,40,23,29,33,89,89,93,89,92,86,15,0.1,1,10,6
46,0.1,0.31,0.5,40,33,30,42,29,24,87,76,85,89,88,95,25,0.1,1,10,6
47,0.1,0.31,0.5,26,25,30,22,26,28,87,90,89,87,92,93,14,0.1,1,10,6
48,0.1,0.31,0.5,34,26,30,37,30,26,82,92,87,76,88,95,25,0.1,1,10,6
49,0.1,0.31,0.5,37,33,30,47,31,21,85,92,89,-106,91,95,16,0.1,0,10,6
50,0.1,0.31,0.5,25,31,33,48,30,30,86,92,88,-109,92,95,15,0.1,0,10,6
51,0.1,0.31,0.5,29,22,28,41,25,22,87,92,91,-115,92,95,16,0.1,0,10,6
52,0.1,0.31,0.5,32,26,26,40,25,17,86,91,89,-229,94,95,130,0.1,0,10,6
53,0.1,0.31,0.5,22,23,27,39,22,25,87,92,89,-104,92,95,14,0.1,0,10,6
54,0.1,0.31,0.5,28,25,28,39,34,23,89,90,89,-126,-112,95,27,0.1,0,10,6
55,0.1,0.31,0.5,32,28,23,38,29,20,87,92,89,-114,92,95,15,0.1,0,10,6
56,0.1,0.31,0.5,20,20,27,38,14,22,86,91,89,-130,92,91,31,0.1,0,10,6
57,0.1,0.31,0.5,38,22,24,37,28,25,70,92,89,-109,86,95,31,0.1,0,10,6
58,0.1,0.31,0.5,31,28,26,37,26,19,87,90,85,-107,92,95,16,0.1,0,10,6
59,0.1,0.31,0.5,19,21,24,37,31,25,85,91,88,-122,-107,86,23,0.1,0,10,6
60,0.1,0.31,0.5,32,24,26,37,19,24,-114,92,88,-132,90,95,33,0.1,0,10,6
61,0.1,0.31,0.5,27,27,26,36,24,22,85,92,89,-110,92,93,16,0.1,0,10,6
62,0.1,0.31,0.5,21,21,26,36,29,21,86,92,89,-109,92,95,15,0.1,0,10,6
63,0.1,0.31,0.5,36,26,28,42,20,24,83,92,87,85,92,95,18,0.1,1,10,6
64,0.1,0.31,0.5,35,32,30,10,32,23,87,92,87,92,92,95,14,0.1,1,10,6
