eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-107,-113,-119,-120,-107,-117,-142,-113,43,0.1,0,10,8
1,0.1,0.31,0.5,0,0,0,20,0,0,0,0,-121,-106,-110,19,-103,-111,-123,-107,82,0.1,0,10,8
2,0.1,0.31,0.5,12,12,9,13,6,6,12,12,-128,-116,-108,86,-105,-105,-135,-129,36,0.1,0,10,8
3,0.1,0.31,0.5,13,12,12,12,12,6,13,12,-126,-108,-122,88,-166,-103,-113,-108,67,0.1,0,10,8
4,0.1,0.31,0.5,13,13,12,12,12,12,10,11,-130,-112,-128,90,-103,-141,89,87,42,0.1,0,10,8
5,0.1,0.31,0.5,20,20,22,19,19,17,19,19,-151,-124,76,90,-117,-102,93,92,52,0.1,0,10,8
6,0.1,0.31,0.5,26,26,19,20,25,25,20,23,-116,-110,87,88,-116,-107,93,92,17,0.1,0,10,8
7,0.1,0.31,0.5,27,28,25,23,25,27,14,12,-120,-171,87,78,-110,-140,93,92,72,0.1,0,10,8
8,0.1,0.31,0.5,27,16,20,28,25,7,14,19,-132,59,86,-104,-114,94,97,90,42,0.1,0,10,8
9,0.1,0.31,0.5,35,42,27,37,38,24,37,34,68,73,-102,82,-108,95,85,92,33,0.1,0,10,8
10,0.1,0.31,0.5,27,54,33,23,44,31,21,22,87,-121,87,81,-111,94,92,84,22,0.1,0,10,8
11,0.1,0.31,0.5,47,54,29,35,8,25,32,34,-115,-107,84,92,92,94,94,92,17,0.1,0,10,8
12,0.1,0.31,0.5,37,26,42,38,36,36,37,38,87,54,86,90,96,95,95,92,47,0.1,1,10,8
13,0.1,0.31,0.5,30,54,51,27,31,26,18,48,87,-114,-111,86,96,95,95,-104,15,0.1,0,10,8
14,0.1,0.31,0.5,40,28,24,41,16,29,38,17,87,76,79,88,96,95,93,91,25,0.1,1,10,8
15,0.1,0.31,0.5,44,38,44,37,51,27,34,41,84,88,80,85,-113,95,95,92,21,0.1,0,10,8
16,0.1,0.31,0.5,28,43,35,29,30,38,25,31,82,91,86,90,96,91,95,92,19,0.1,1,10,8
17,0.1,0.31,0.5,47,31,38,46,24,39,38,39,81,92,78,90,93,95,95,86,23,0.1,1,10,8
18,0.1,0.31,0.5,31,35,35,26,32,27,28,33,87,89,84,90,96,89,93,92,17,0.1,1,10,8
19,0.1,0.31,0.5,38,43,39,40,35,41,40,36,87,92,83,90,94,95,91,92,18,0.1,1,10,8
20,0.1,0.31,0.5,49,29,29,39,25,32,34,31,-109,92,87,89,96,95,95,87,14,0.1,0,10,8
21,0.1,0.31,0.5,35,34,44,30,42,27,21,38,87,92,87,90,89,93,95,-102,14,0.1,0,10,8
22,0.1,0.31,0.5,29,39,33,35,25,31,32,37,86,89,87,89,96,95,95,92,15,0.1,1,10,8
23,0.1,0.31,0.5,41,29,35,35,26,31,34,33,85,92,85,90,96,95,95,58,43,0.1,1,10,8
24,0.1,0.31,0.5,40,32,42,37,31,35,29,35,87,91,92,88,96,95,95,92,14,0.1,1,10,8
25,0.1,0.31,0.5,32,42,33,33,36,29,32,49,83,92,83,90,93,95,95,-141,42,0.1,0,10,8
26,0.1,0.31,0.5,37,28,38,37,30,41,32,32,87,92,84,89,96,49,95,90,52,0.1,1,10,8
27,0.1,0.31,0.5,36,35,41,38,32,31,33,27,85,92,85,90,96,95,92,91,16,0.1,1,10,8
28,0.1,0.31,0.5,37,38,29,29,40,27,37,44,86,92,61,90,-104,95,89,92,40,0.1,0,10,8
29,0.1,0.31,0.5,32,26,37,35,25,28,27,29,85,91,85,88,96,95,97,92,16,0.1,1,10,8
30,0.1,0.31,0.5,39,36,41,38,22,34,33,27,86,85,87,90,96,95,92,92,16,0.1,1,10,8
31,0.1,0.31,0.5,31,45,44,44,31,29,32,42,86,79,-102,-109,96,92,93,90,22,0.1,0,10,8
32,0.1,0.31,0.5,32,25,31,27,25,25,31,29,85,92,84,90,96,95,92,92,17,0.1,1,10,8
33,0.1,0.31,0.5,44,47,34,33,26,36,38,31,86,-121,87,90,96,95,93,92,22,0.1,0,10,8
34,0.1,0.31,0.5,33,39,41,42,33,31,28,46,87,92,84,90,96,95,93,-108,17,0.1,0,10,8
35,0.1,0.31,0.5,30,18,33,28,26,25,29,41,87,92,89,90,96,94,93,92,14,0.1,1,10,8
36,0.1,0.31,0.5,46,43,33,32,27,37,46,15,79,92,87,90,96,95,-110,90,22,0.1,0,10,8
37,0.1,0.31,0.5,33,33,44,41,34,31,38,45,79,91,85,83,94,92,92,89,22,0.1,1,10,8
38,0.1,0.31,0.5,38,21,31,29,24,23,17,39,74,92,83,88,96,95,93,91,27,0.1,1,10,8
39,0.1,0.31,0.5,42,47,33,33,27,38,45,45,85,-121,87,92,96,95,93,-104,22,0.1,0,10,8
40,0.1,0.31,0.5,32,44,45,42,34,34,37,21,87,90,84,90,96,95,93,90,17,0.1,1,10,8
41,0.1,0.31,0.5,32,47,47,29,24,22,19,38,85,-107,-117,90,96,94,93,86,18,0.1,0,10,8
42,0.1,0.31,0.5,42,12,26,33,28,35,42,44,87,91,86,92,94,95,89,92,15,0.1,1,10,8
43,0.1,0.31,0.5,32,44,35,39,38,33,35,24,87,92,86,90,96,95,93,90,15,0.1,1,10,8
44,0.1,0.31,0.5,41,43,40,34,22,24,22,31,58,92,87,87,96,95,93,92,43,0.1,1,10,8
45,0.1,0.31,0.5,43,18,28,33,30,35,42,42,85,84,87,90,96,95,93,92,17,0.1,1,10,8
46,0.1,0.31,0.5,33,44,38,40,29,33,35,27,85,90,87,90,96,95,93,92,16,0.1,1,10,8
47,0.1,0.31,0.5,32,42,43,29,21,24,24,33,85,91,84,90,96,95,89,92,17,0.1,1,10,8
48,0.1,0.31,0.5,43,17,28,34,30,30,42,42,87,91,82,90,96,95,91,90,19,0.1,1,10,8
49,0.1,0.31,0.5,35,40,39,40,31,36,34,31,85,92,-102,86,96,94,93,76,25,0.1,0,10,8
50,0.1,0.31,0.5,46,38,40,28,24,44,23,29,-109,92,-102,88,96,-109,93,92,13,0.1,0,10,8
51,0.1,0.31,0.5,46,17,36,29,29,27,37,39,-106,92,-102,92,95,95,93,92,9,0.1,0,10,8
52,0.1,0.31,0.5,31,31,44,29,21,23,24,18,86,92,-117,91,96,92,94,92,18,0.1,0,10,8
53,0.1,0.31,0.5,28,34,39,32,25,30,28,33,85,92,84,92,96,95,93,92,17,0.1,1,10,8
54,0.1,0.31,0.5,40,23,18,23,25,32,24,32,84,92,90,92,96,85,95,90,17,0.1,1,10,8
55,0.1,0.31,0.5,33,37,43,35,23,30,30,25,85,90,90,92,96,93,94,92,16,0.1,1,10,8
56,0.1,0.31,0.5,32,36,44,37,34,32,36,40,83,90,-109,92,96,95,95,92,18,0.1,0,10,8
57,0.1,0.31,0.5,35,23,32,44,30,32,24,31,87,92,91,-108,94,94,95,89,14,0.1,0,10,8
58,0.1,0.31,0.5,36,39,24,24,29,29,32,30,86,88,89,92,96,95,95,87,15,0.1,1,10,8
59,0.1,0.31,0.5,31,34,42,28,32,32,40,46,87,92,91,92,96,95,87,-110,14,0.1,0,10,8
60,0.1,0.31,0.5,31,21,32,41,41,26,20,34,87,86,89,92,-137,95,95,92,38,0.1,0,10,8
61,0.1,0.31,0.5,38,43,44,25,35,33,30,19,86,92,-106,92,71,95,95,92,30,0.1,0,10,8
62,0.1,0.31,0.5,33,35,26,32,25,33,41,44,86,92,91,92,96,95,95,92,15,0.1,1,10,8
63,0.1,0.31,0.5,37,21,30,41,37,27,25,35,71,90,91,92,91,95,93,92,30,0.1,1,10,8
64,0.1,0.31,0.5,32,36,39,21,26,26,22,14,87,91,-103,92,96,97,95,92,14,0.1,0,10,8
65,0.1,0.31,0.5,33,35,43,36,26,34,39,44,87,92,90,89,96,95,95,92,14,0.1,1,10,8
66,0.1,0.31,0.5,40,27,18,41,30,33,30,41,87,90,91,92,96,95,91,90,14,0.1,1,10,8
67,0.1,0.31,0.5,32,35,38,20,19,26,44,47,84,92,89,91,96,93,-107,-122,23,0.1,0,10,8
68,0.1,0.31,0.5,33,37,42,36,31,34,26,16,87,87,91,92,96,95,95,89,14,0.1,1,10,8
69,0.1,0.31,0.5,39,29,19,42,34,27,26,37,87,92,90,84,96,95,95,92,17,0.1,1,10,8
70,0.1,0.31,0.5,32,34,39,23,18,27,41,45,85,92,87,91,96,95,95,89,16,0.1,1,10,8
71,0.1,0.31,0.5,33,33,42,36,44,36,27,20,86,92,91,91,-108,95,95,78,23,0.1,0,10,8
