eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,24,-150,-166,-198,-142,-155,48,99,0.1,0,15,6
1,0.1,0.31,0.5,14,14,14,14,14,14,-150,-142,-167,-304,-127,88,205,0.1,0,15,6
2,0.1,0.31,0.5,14,17,20,14,14,14,-124,78,52,-135,-103,88,49,0.1,0,15,6
3,0.1,0.31,0.5,30,30,30,45,30,28,-186,87,84,35,-243,-110,144,0.1,0,15,6
4,0.1,0.31,0.5,44,32,34,28,44,29,-163,87,85,87,-137,88,64,0.1,0,15,6
5,0.1,0.31,0.5,44,29,27,44,27,30,-120,82,84,-127,57,80,44,0.1,0,15,6
6,0.1,0.31,0.5,53,53,51,45,60,63,-164,86,85,87,60,45,65,0.1,0,15,6
7,0.1,0.31,0.5,38,16,21,26,40,34,35,84,80,81,66,56,66,0.1,1,15,6
8,0.1,0.31,0.5,75,69,54,50,58,63,41,75,85,87,78,74,60,0.1,1,15,6
9,0.1,0.31,0.5,52,38,56,56,38,49,67,85,80,87,75,71,34,0.1,1,15,6
10,0.1,0.31,0.5,54,42,42,33,64,57,65,87,70,86,76,57,44,0.1,1,15,6
11,0.1,0.31,0.5,69,57,59,55,52,60,54,87,83,81,78,68,47,0.1,1,15,6
12,0.1,0.31,0.5,41,32,49,40,40,73,66,81,73,87,73,-119,35,0.1,0,15,6
13,0.1,0.31,0.5,65,57,51,46,66,41,62,87,74,87,75,83,39,0.1,1,15,6
14,0.1,0.31,0.5,65,57,65,59,70,55,62,87,82,87,-109,80,39,0.1,0,15,6
15,0.1,0.31,0.5,73,37,45,44,54,67,-140,87,83,87,78,86,41,0.1,0,15,6
16,0.1,0.31,0.5,53,60,47,55,42,69,68,83,83,82,76,-115,33,0.1,0,15,6
17,0.1,0.31,0.5,59,51,57,51,68,42,51,87,79,87,78,63,50,0.1,1,15,6
18,0.1,0.31,0.5,77,33,49,46,41,40,-149,86,70,74,78,80,50,0.1,0,15,6
19,0.1,0.31,0.5,53,57,45,52,52,64,56,83,84,81,76,81,45,0.1,1,15,6
20,0.1,0.31,0.5,65,60,72,55,59,50,-115,85,59,85,78,60,42,0.1,0,15,6
21,0.1,0.31,0.5,77,27,42,40,45,42,-120,85,81,85,75,78,26,0.1,0,15,6
22,0.1,0.31,0.5,53,54,42,53,51,69,48,87,85,84,62,34,67,0.1,1,15,6
23,0.1,0.31,0.5,58,39,54,69,50,31,61,85,65,-128,74,84,40,0.1,0,15,6
24,0.1,0.31,0.5,61,47,44,27,45,54,62,82,85,87,77,78,39,0.1,1,15,6
25,0.1,0.31,0.5,67,45,49,54,60,55,35,87,83,85,56,75,66,0.1,1,15,6
26,0.1,0.31,0.5,61,52,53,70,52,43,62,83,85,75,75,83,39,0.1,1,15,6
27,0.1,0.31,0.5,63,46,62,29,52,53,61,87,48,87,75,81,53,0.1,1,15,6
28,0.1,0.31,0.5,60,49,59,52,54,55,55,87,67,87,78,80,46,0.1,1,15,6
29,0.1,0.31,0.5,55,48,66,66,53,43,53,87,61,84,77,80,48,0.1,1,15,6
30,0.1,0.31,0.5,74,50,62,37,58,67,55,85,69,86,76,61,46,0.1,1,15,6
31,0.1,0.31,0.5,66,61,59,53,56,67,55,73,65,84,68,51,50,0.1,1,15,6
32,0.1,0.31,0.5,69,58,67,64,63,87,53,86,72,85,76,-112,48,0.1,0,15,6
33,0.1,0.31,0.5,67,51,60,45,57,59,59,87,56,84,73,73,45,0.1,1,15,6
34,0.1,0.31,0.5,57,47,57,49,54,40,68,87,65,85,77,84,36,0.1,1,15,6
35,0.1,0.31,0.5,74,54,64,63,59,65,-133,86,68,85,78,82,34,0.1,0,15,6
36,0.1,0.31,0.5,62,52,65,66,59,51,62,80,44,23,75,80,78,0.1,1,15,6
37,0.1,0.31,0.5,47,45,52,42,45,41,65,87,65,87,74,83,36,0.1,1,15,6
38,0.1,0.31,0.5,68,54,70,58,54,58,63,82,-133,86,88,84,38,0.1,0,15,6
39,0.1,0.31,0.5,56,47,59,65,53,46,69,86,65,32,71,84,69,0.1,1,15,6
40,0.1,0.31,0.5,50,40,43,59,52,40,63,87,75,79,71,84,38,0.1,1,15,6
41,0.1,0.31,0.5,68,49,61,37,52,62,-121,87,71,87,74,65,36,0.1,0,15,6
42,0.1,0.31,0.5,55,50,50,68,53,42,71,86,71,-125,71,83,30,0.1,0,15,6
43,0.1,0.31,0.5,49,42,50,47,57,43,68,85,73,83,72,83,33,0.1,1,15,6
44,0.1,0.31,0.5,60,50,54,35,52,53,64,85,73,85,72,80,37,0.1,1,15,6
45,0.1,0.31,0.5,63,46,55,63,57,47,-110,87,48,80,65,83,53,0.1,0,15,6
46,0.1,0.31,0.5,59,45,57,51,67,44,63,84,82,87,-128,82,38,0.1,0,15,6
47,0.1,0.31,0.5,46,60,57,31,48,55,62,78,71,86,73,80,39,0.1,1,15,6
48,0.1,0.31,0.5,66,43,54,57,41,51,-124,87,73,-115,73,67,34,0.1,0,15,6
49,0.1,0.31,0.5,55,37,64,54,57,38,66,86,-107,83,69,84,35,0.1,0,15,6
50,0.1,0.31,0.5,48,53,47,39,57,70,66,87,70,81,74,42,59,0.1,1,15,6
51,0.1,0.31,0.5,68,49,51,57,49,52,57,87,75,87,74,84,44,0.1,1,15,6
