eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-184,-112,85,0.1,0,20,2
1,0.1,0.31,0.5,0,0,-276,-108,177,0.1,0,20,2
2,0.1,0.31,0.5,0,0,-349,-157,250,0.1,0,20,2
3,0.1,0.31,0.5,0,116,-252,-279,380,0.1,0,20,2
4,0.1,0.31,0.5,24,26,-220,75,121,0.1,0,20,2
5,0.1,0.31,0.5,26,26,-178,72,79,0.1,0,20,2
6,0.1,0.31,0.5,26,46,-300,26,201,0.1,0,20,2
7,0.1,0.31,0.5,59,26,0,76,101,0.1,1,20,2
8,0.1,0.31,0.5,44,49,60,78,41,0.1,1,20,2
9,0.1,0.31,0.5,54,32,56,64,45,0.1,1,20,2
10,0.1,0.31,0.5,34,54,60,-137,41,0.1,0,20,2
11,0.1,0.31,0.5,54,39,63,61,40,0.1,1,20,2
12,0.1,0.31,0.5,42,45,34,-112,67,0.1,0,20,2
13,0.1,0.31,0.5,62,26,-150,77,51,0.1,0,20,2
14,0.1,0.31,0.5,40,61,51,35,66,0.1,1,20,2
15,0.1,0.31,0.5,47,62,59,-7,108,0.1,1,20,2
16,0.1,0.31,0.5,46,69,63,-81,182,0.1,1,20,2
17,0.1,0.31,0.5,48,33,54,76,47,0.1,1,20,2
18,0.1,0.31,0.5,55,57,59,-157,58,0.1,0,20,2
19,0.1,0.31,0.5,49,54,64,68,37,0.1,1,20,2
20,0.1,0.31,0.5,52,28,33,78,68,0.1,1,20,2
21,0.1,0.31,0.5,52,43,61,77,40,0.1,1,20,2
22,0.1,0.31,0.5,50,45,51,58,50,0.1,1,20,2
23,0.1,0.31,0.5,57,41,63,77,38,0.1,1,20,2
24,0.1,0.31,0.5,55,36,58,78,43,0.1,1,20,2
25,0.1,0.31,0.5,62,29,-178,75,79,0.1,0,20,2
26,0.1,0.31,0.5,55,67,-143,44,57,0.1,0,20,2
27,0.1,0.31,0.5,48,41,-240,75,141,0.1,0,20,2
28,0.1,0.31,0.5,66,25,2,76,99,0.1,1,20,2
29,0.1,0.31,0.5,57,49,52,76,49,0.1,1,20,2
30,0.1,0.31,0.5,66,26,45,73,56,0.1,1,20,2
31,0.1,0.31,0.5,52,71,56,54,47,0.1,1,20,2
32,0.1,0.31,0.5,54,43,61,78,40,0.1,1,20,2
33,0.1,0.31,0.5,64,40,30,67,71,0.1,1,20,2
34,0.1,0.31,0.5,47,48,52,73,49,0.1,1,20,2
35,0.1,0.31,0.5,50,50,58,51,50,0.1,1,20,2
36,0.1,0.31,0.5,61,52,47,70,54,0.1,1,20,2
37,0.1,0.31,0.5,52,46,47,72,54,0.1,1,20,2
38,0.1,0.31,0.5,62,33,40,74,61,0.1,1,20,2
39,0.1,0.31,0.5,53,57,60,58,43,0.1,1,20,2
40,0.1,0.31,0.5,49,46,61,71,40,0.1,1,20,2
41,0.1,0.31,0.5,49,52,51,-126,50,0.1,0,20,2
42,0.1,0.31,0.5,51,40,57,74,44,0.1,1,20,2
43,0.1,0.31,0.5,70,41,-19,75,120,0.1,1,20,2
44,0.1,0.31,0.5,48,48,50,75,51,0.1,1,20,2
45,0.1,0.31,0.5,52,65,55,10,91,0.1,1,20,2
46,0.1,0.31,0.5,54,49,53,72,48,0.1,1,20,2
47,0.1,0.31,0.5,59,53,33,-136,68,0.1,0,20,2
48,0.1,0.31,0.5,57,46,59,72,42,0.1,1,20,2
49,0.1,0.31,0.5,35,44,69,59,42,0.1,1,20,2
50,0.1,0.31,0.5,43,48,73,61,40,0.1,1,20,2
51,0.1,0.31,0.5,49,52,65,66,36,0.1,1,20,2
52,0.1,0.31,0.5,33,52,73,-116,28,0.1,0,20,2
53,0.1,0.31,0.5,50,37,71,71,30,0.1,1,20,2
54,0.1,0.31,0.5,34,44,76,58,43,0.1,1,20,2
55,0.1,0.31,0.5,48,44,65,71,36,0.1,1,20,2
56,0.1,0.31,0.5,35,44,71,67,34,0.1,1,20,2
57,0.1,0.31,0.5,56,42,61,72,40,0.1,1,20,2
58,0.1,0.31,0.5,40,50,77,63,38,0.1,1,20,2
59,0.1,0.31,0.5,35,42,75,61,40,0.1,1,20,2
60,0.1,0.31,0.5,53,41,60,74,41,0.1,1,20,2
61,0.1,0.31,0.5,39,46,77,72,29,0.1,1,20,2
62,0.1,0.31,0.5,48,39,50,71,51,0.1,1,20,2
63,0.1,0.31,0.5,37,70,73,-15,116,0.1,1,20,2
64,0.1,0.31,0.5,51,41,-230,72,131,0.1,0,20,2
65,0.1,0.31,0.5,40,38,75,72,29,0.1,1,20,2
66,0.1,0.31,0.5,48,53,57,54,47,0.1,1,20,2
67,0.1,0.31,0.5,50,40,76,72,29,0.1,1,20,2
68,0.1,0.31,0.5,40,38,73,72,29,0.1,1,20,2
69,0.1,0.31,0.5,49,45,-120,70,31,0.1,0,20,2
70,0.1,0.31,0.5,36,42,76,72,29,0.1,1,20,2
71,0.1,0.31,0.5,37,42,77,68,33,0.1,1,20,2
72,0.1,0.31,0.5,50,46,69,72,32,0.1,1,20,2
73,0.1,0.31,0.5,39,41,76,67,34,0.1,1,20,2
74,0.1,0.31,0.5,36,50,74,-126,27,0.1,0,20,2
75,0.1,0.31,0.5,45,42,-131,57,44,0.1,0,20,2
76,0.1,0.31,0.5,44,39,75,63,38,0.1,1,20,2
77,0.1,0.31,0.5,29,48,75,63,38,0.1,1,20,2
78,0.1,0.31,0.5,46,42,73,65,36,0.1,1,20,2
79,0.1,0.31,0.5,52,43,63,67,38,0.1,1,20,2
80,0.1,0.31,0.5,32,42,73,71,30,0.1,1,20,2
81,0.1,0.31,0.5,50,42,68,72,33,0.1,1,20,2
82,0.1,0.31,0.5,48,47,70,75,31,0.1,1,20,2
83,0.1,0.31,0.5,51,36,-142,70,43,0.1,0,20,2
84,0.1,0.31,0.5,31,50,77,-131,32,0.1,0,20,2
85,0.1,0.31,0.5,39,45,77,59,42,0.1,1,20,2
86,0.1,0.31,0.5,50,45,64,65,37,0.1,1,20,2
87,0.1,0.31,0.5,31,46,76,62,39,0.1,1,20,2
88,0.1,0.31,0.5,45,45,73,63,38,0.1,1,20,2
89,0.1,0.31,0.5,58,45,26,63,75,0.1,1,20,2
90,0.1,0.31,0.5,37,54,69,61,40,0.1,1,20,2
91,0.1,0.31,0.5,41,44,77,66,35,0.1,1,20,2
92,0.1,0.31,0.5,46,44,72,65,36,0.1,1,20,2
93,0.1,0.31,0.5,34,51,70,51,50,0.1,1,20,2
94,0.1,0.31,0.5,41,43,75,64,37,0.1,1,20,2
95,0.1,0.31,0.5,47,49,77,57,44,0.1,1,20,2
96,0.1,0.31,0.5,33,53,75,48,53,0.1,1,20,2
97,0.1,0.31,0.5,40,48,77,54,47,0.1,1,20,2
98,0.1,0.31,0.5,48,45,72,66,35,0.1,1,20,2
99,0.1,0.31,0.5,51,50,-121,-140,41,0.1,0,20,2
100,0.1,0.31,0.5,49,48,-120,-131,32,0.1,0,20,2
101,0.1,0.31,0.5,30,47,-198,-121,99,0.1,0,20,2
102,0.1,0.31,0.5,37,26,-319,-144,220,0.1,0,20,2
103,0.1,0.31,0.5,37,21,-236,-176,137,0.1,0,20,2
104,0.1,0.31,0.5,37,18,-188,-368,269,0.1,0,20,2
105,0.1,0.31,0.5,37,18,-338,-258,239,0.1,0,20,2
106,0.1,0.31,0.5,33,135,-204,-426,527,0.1,0,20,2
107,0.1,0.31,0.5,44,26,-308,78,209,0.1,0,20,2
108,0.1,0.31,0.5,44,31,-303,55,204,0.1,0,20,2
109,0.1,0.31,0.5,44,24,-151,78,52,0.1,0,20,2
110,0.1,0.31,0.5,44,26,-346,70,247,0.1,0,20,2
111,0.1,0.31,0.5,44,30,-195,64,96,0.1,0,20,2
112,0.1,0.31,0.5,42,24,-505,76,406,0.1,0,20,2
113,0.1,0.31,0.5,41,25,-290,77,191,0.1,0,20,2
114,0.1,0.31,0.5,39,24,-543,76,444,0.1,0,20,2
115,0.1,0.31,0.5,39,24,-491,78,392,0.1,0,20,2
116,0.1,0.31,0.5,112,26,-184,70,285,0.1,1,20,2
117,0.1,0.31,0.5,54,47,64,77,37,0.1,1,20,2
118,0.1,0.31,0.5,61,25,54,76,47,0.1,1,20,2
119,0.1,0.31,0.5,39,40,56,76,45,0.1,1,20,2
120,0.1,0.31,0.5,60,26,54,78,47,0.1,1,20,2
121,0.1,0.31,0.5,64,42,55,78,46,0.1,1,20,2
122,0.1,0.31,0.5,39,78,62,62,39,0.1,1,20,2
123,0.1,0.31,0.5,57,40,62,77,39,0.1,1,20,2
124,0.1,0.31,0.5,50,60,63,-179,80,0.1,0,20,2
125,0.1,0.31,0.5,51,43,57,78,44,0.1,1,20,2
126,0.1,0.31,0.5,64,26,-136,78,37,0.1,0,20,2
127,0.1,0.31,0.5,49,58,64,69,37,0.1,1,20,2
128,0.1,0.31,0.5,42,63,64,-145,46,0.1,0,20,2
129,0.1,0.31,0.5,69,57,33,78,68,0.1,1,20,2
130,0.1,0.31,0.5,67,26,-144,77,45,0.1,0,20,2
131,0.1,0.31,0.5,52,44,60,76,41,0.1,1,20,2
132,0.1,0.31,0.5,49,45,42,77,59,0.1,1,20,2
133,0.1,0.31,0.5,55,28,65,78,36,0.1,1,20,2
