eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-180.125,164,0.1,0,15,8
1,0.1,0.31,0.5,0.0,-194.75,175,0.1,0,15,8
2,0.1,0.31,0.5,0.0,-180.125,263,0.1,0,15,8
3,0.1,0.31,0.5,3.25,-149.0,165,0.1,0,15,8
4,0.1,0.31,0.5,3.625,-101.75,149,0.1,0,15,8
5,0.1,0.31,0.5,4.875,-91.75,151,0.1,0,15,8
6,0.1,0.31,0.5,9.25,-63.25,236,0.1,0,15,8
7,0.1,0.31,0.5,24.0,-21.375,140,0.1,0,15,8
8,0.1,0.31,0.5,17.625,14.375,132,0.1,0,15,8
9,0.1,0.31,0.5,14.75,57.25,32,0.1,0,15,8
10,0.1,0.31,0.5,15.0,28.25,55,0.1,0,15,8
11,0.1,0.31,0.5,16.75,19.75,54,0.1,0,15,8
12,0.1,0.31,0.5,14.25,27.125,56,0.1,0,15,8
13,0.1,0.31,0.5,14.125,51.75,75,0.1,0,15,8
14,0.1,0.31,0.5,17.375,9.375,144,0.1,0,15,8
15,0.1,0.31,0.5,15.125,59.625,34,0.1,0,15,8
16,0.1,0.31,0.5,16.25,18.375,68,0.1,0,15,8
17,0.1,0.31,0.5,14.75,26.125,71,0.1,0,15,8
18,0.1,0.31,0.5,17.0,51.5,57,0.1,0,15,8
19,0.1,0.31,0.5,14.375,49.0,105,0.1,0,15,8
20,0.1,0.31,0.5,18.5,14.0,103,0.1,0,15,8
21,0.1,0.31,0.5,14.5,8.125,120,0.1,0,15,8
22,0.1,0.31,0.5,14.75,45.875,104,0.1,0,15,8
23,0.1,0.31,0.5,14.5,49.5,96,0.1,0,15,8
24,0.1,0.31,0.5,14.875,-8.625,108,0.1,0,15,8
25,0.1,0.31,0.5,17.625,48.875,94,0.1,0,15,8
26,0.1,0.31,0.5,16.25,83.875,30,0.1,1,15,8
27,0.1,0.31,0.5,17.0,7.75,31,0.1,0,15,8
28,0.1,0.31,0.5,19.125,76.875,46,0.1,1,15,8
29,0.1,0.31,0.5,18.625,76.5,51,0.1,1,15,8
30,0.1,0.31,0.5,19.125,53.875,58,0.1,0,15,8
31,0.1,0.31,0.5,19.375,27.375,61,0.1,0,15,8
32,0.1,0.31,0.5,16.875,39.25,173,0.1,0,15,8
33,0.1,0.31,0.5,16.875,27.625,47,0.1,0,15,8
34,0.1,0.31,0.5,19.875,44.375,139,0.1,0,15,8
35,0.1,0.31,0.5,17.375,82.25,38,0.1,1,15,8
36,0.1,0.31,0.5,15.875,84.875,23,0.1,1,15,8
37,0.1,0.31,0.5,15.875,84.375,23,0.1,1,15,8
38,0.1,0.31,0.5,21.625,15.625,180,0.1,0,15,8
39,0.1,0.31,0.5,18.625,79.75,42,0.1,1,15,8
40,0.1,0.31,0.5,16.0,60.625,29,0.1,0,15,8
41,0.1,0.31,0.5,16.25,39.125,182,0.1,0,15,8
42,0.1,0.31,0.5,16.0,84.0,26,0.1,1,15,8
43,0.1,0.31,0.5,15.25,85.125,28,0.1,1,15,8
44,0.1,0.31,0.5,17.75,80.0,40,0.1,1,15,8
45,0.1,0.31,0.5,16.25,33.375,38,0.1,0,15,8
46,0.1,0.31,0.5,15.375,86.0,21,0.1,1,15,8
47,0.1,0.31,0.5,20.875,23.5,175,0.1,0,15,8
48,0.1,0.31,0.5,19.75,61.125,24,0.1,0,15,8
49,0.1,0.31,0.5,23.0,4.125,95,0.1,0,15,8
50,0.1,0.31,0.5,18.875,5.5,59,0.1,0,15,8
51,0.1,0.31,0.5,16.25,30.875,43,0.1,0,15,8
52,0.1,0.31,0.5,16.375,13.625,145,0.1,0,15,8
53,0.1,0.31,0.5,20.125,49.875,64,0.1,0,15,8
54,0.1,0.31,0.5,19.375,37.875,168,0.1,0,15,8
55,0.1,0.31,0.5,18.5,23.125,80,0.1,0,15,8
56,0.1,0.31,0.5,18.75,52.0,51,0.1,0,15,8
57,0.1,0.31,0.5,22.375,42.75,115,0.1,0,15,8
58,0.1,0.31,0.5,17.625,50.375,63,0.1,0,15,8
59,0.1,0.31,0.5,18.0,28.875,45,0.1,0,15,8
60,0.1,0.31,0.5,17.875,49.125,84,0.1,0,15,8
61,0.1,0.31,0.5,26.125,21.5,167,0.1,0,15,8
62,0.1,0.31,0.5,21.125,75.875,53,0.1,1,15,8
63,0.1,0.31,0.5,19.125,53.625,48,0.1,0,15,8
64,0.1,0.31,0.5,19.125,45.125,113,0.1,0,15,8
65,0.1,0.31,0.5,18.125,56.5,36,0.1,0,15,8
66,0.1,0.31,0.5,18.25,58.5,29,0.1,0,15,8
67,0.1,0.31,0.5,22.125,71.75,74,0.1,1,15,8
68,0.1,0.31,0.5,21.875,58.625,26,0.1,0,15,8
69,0.1,0.31,0.5,18.0,82.625,25,0.1,1,15,8
70,0.1,0.31,0.5,19.0,79.75,39,0.1,1,15,8
71,0.1,0.31,0.5,17.375,59.375,25,0.1,0,15,8
72,0.1,0.31,0.5,19.625,78.0,41,0.1,1,15,8
73,0.1,0.31,0.5,18.25,54.25,59,0.1,0,15,8
74,0.1,0.31,0.5,18.625,56.625,32,0.1,0,15,8
75,0.1,0.31,0.5,17.25,83.625,23,0.1,1,15,8
76,0.1,0.31,0.5,18.0,51.25,57,0.1,0,15,8
77,0.1,0.31,0.5,18.125,57.125,41,0.1,0,15,8
78,0.1,0.31,0.5,21.5,73.25,103,0.1,1,15,8
79,0.1,0.31,0.5,23.375,66.875,143,0.1,1,15,8
80,0.1,0.31,0.5,17.75,83.5,29,0.1,1,15,8
81,0.1,0.31,0.5,23.125,52.75,66,0.1,0,15,8
82,0.1,0.31,0.5,18.125,83.125,27,0.1,1,15,8
83,0.1,0.31,0.5,17.875,84.0,27,0.1,1,15,8
84,0.1,0.31,0.5,18.125,57.875,28,0.1,0,15,8
85,0.1,0.31,0.5,18.125,82.875,33,0.1,1,15,8
86,0.1,0.31,0.5,18.25,82.25,30,0.1,1,15,8
87,0.1,0.31,0.5,20.75,75.5,57,0.1,1,15,8
88,0.1,0.31,0.5,18.375,81.875,33,0.1,1,15,8
