eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-123,-127,28,0.1,0,10,2
1,0.1,0.31,0.5,0,0,-124,-114,25,0.1,0,10,2
2,0.1,0.31,0.5,0,0,-113,-112,14,0.1,0,10,2
3,0.1,0.31,0.5,0,0,-108,-114,15,0.1,0,10,2
4,0.1,0.31,0.5,0,0,-127,-119,28,0.1,0,10,2
5,0.1,0.31,0.5,0,0,-134,-129,35,0.1,0,10,2
6,0.1,0.31,0.5,0,12,-123,75,26,0.1,0,10,2
7,0.1,0.31,0.5,0,10,-121,90,22,0.1,0,10,2
8,0.1,0.31,0.5,0,10,-126,-105,27,0.1,0,10,2
9,0.1,0.31,0.5,0,10,-164,89,65,0.1,0,10,2
10,0.1,0.31,0.5,0,10,-126,92,27,0.1,0,10,2
11,0.1,0.31,0.5,0,10,-131,92,32,0.1,0,10,2
12,0.1,0.31,0.5,0,10,-142,91,43,0.1,0,10,2
13,0.1,0.31,0.5,0,10,-127,92,28,0.1,0,10,2
14,0.1,0.31,0.5,0,10,-119,-113,20,0.1,0,10,2
15,0.1,0.31,0.5,0,10,-113,92,14,0.1,0,10,2
16,0.1,0.31,0.5,0,10,-168,92,69,0.1,0,10,2
17,0.1,0.31,0.5,0,10,-115,92,16,0.1,0,10,2
18,0.1,0.31,0.5,20,10,43,91,58,0.1,1,10,2
19,0.1,0.31,0.5,13,17,89,67,34,0.1,1,10,2
20,0.1,0.31,0.5,12,10,88,90,13,0.1,1,10,2
21,0.1,0.31,0.5,15,10,77,92,24,0.1,1,10,2
22,0.1,0.31,0.5,13,10,87,92,14,0.1,1,10,2
23,0.1,0.31,0.5,14,11,89,87,14,0.1,1,10,2
24,0.1,0.31,0.5,13,10,-116,92,17,0.1,0,10,2
25,0.1,0.31,0.5,12,10,86,92,15,0.1,1,10,2
26,0.1,0.31,0.5,13,10,88,-116,17,0.1,0,10,2
27,0.1,0.31,0.5,10,10,-112,92,13,0.1,0,10,2
28,0.1,0.31,0.5,12,10,87,92,14,0.1,1,10,2
29,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
30,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
31,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
32,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
33,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
34,0.1,0.31,0.5,10,10,89,92,12,0.1,1,10,2
35,0.1,0.31,0.5,12,11,89,86,15,0.1,1,10,2
36,0.1,0.31,0.5,10,10,89,92,12,0.1,1,10,2
37,0.1,0.31,0.5,11,9,91,92,10,0.1,1,10,2
38,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
39,0.1,0.31,0.5,11,10,85,92,16,0.1,1,10,2
40,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
41,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
42,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
43,0.1,0.31,0.5,10,10,-107,90,11,0.1,0,10,2
44,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
45,0.1,0.31,0.5,11,10,89,92,12,0.1,1,10,2
46,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
47,0.1,0.31,0.5,8,10,-130,91,31,0.1,0,10,2
48,0.1,0.31,0.5,12,10,82,-120,21,0.1,0,10,2
49,0.1,0.31,0.5,12,10,-102,-103,4,0.1,0,10,2
50,0.1,0.31,0.5,10,9,-106,-103,7,0.1,0,10,2
51,0.1,0.31,0.5,9,6,-104,-103,5,0.1,0,10,2
52,0.1,0.31,0.5,9,6,-102,-117,18,0.1,0,10,2
53,0.1,0.31,0.5,14,6,67,-111,34,0.1,0,10,2
54,0.1,0.31,0.5,13,6,89,-117,18,0.1,0,10,2
55,0.1,0.31,0.5,14,5,83,-107,18,0.1,0,10,2
56,0.1,0.31,0.5,13,5,87,-105,14,0.1,0,10,2
57,0.1,0.31,0.5,13,5,-114,-130,31,0.1,0,10,2
58,0.1,0.31,0.5,14,5,83,-181,82,0.1,0,10,2
59,0.1,0.31,0.5,16,21,75,-42,143,0.1,1,10,2
60,0.1,0.31,0.5,14,11,85,90,16,0.1,1,10,2
61,0.1,0.31,0.5,12,10,89,90,12,0.1,1,10,2
62,0.1,0.31,0.5,12,10,87,-108,14,0.1,0,10,2
63,0.1,0.31,0.5,13,14,89,72,29,0.1,1,10,2
64,0.1,0.31,0.5,12,10,89,92,12,0.1,1,10,2
65,0.1,0.31,0.5,12,10,89,92,12,0.1,1,10,2
66,0.1,0.31,0.5,12,10,89,90,12,0.1,1,10,2
67,0.1,0.31,0.5,13,10,87,92,14,0.1,1,10,2
68,0.1,0.31,0.5,11,10,91,92,10,0.1,1,10,2
69,0.1,0.31,0.5,11,9,91,90,11,0.1,1,10,2
70,0.1,0.31,0.5,11,10,-139,92,40,0.1,0,10,2
71,0.1,0.31,0.5,11,10,91,90,11,0.1,1,10,2
72,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
73,0.1,0.31,0.5,10,9,91,91,10,0.1,1,10,2
74,0.1,0.31,0.5,11,10,88,92,13,0.1,1,10,2
75,0.1,0.31,0.5,10,10,88,92,13,0.1,1,10,2
76,0.1,0.31,0.5,10,10,90,91,11,0.1,1,10,2
77,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
78,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
79,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
80,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
81,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
82,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
83,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
84,0.1,0.31,0.5,10,10,89,91,12,0.1,1,10,2
85,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
86,0.1,0.31,0.5,10,10,90,-107,11,0.1,0,10,2
87,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
88,0.1,0.31,0.5,10,10,89,91,12,0.1,1,10,2
89,0.1,0.31,0.5,11,11,91,87,14,0.1,1,10,2
90,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
91,0.1,0.31,0.5,11,9,91,90,11,0.1,1,10,2
92,0.1,0.31,0.5,11,10,-110,92,11,0.1,0,10,2
93,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
94,0.1,0.31,0.5,10,10,91,-107,10,0.1,0,10,2
95,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
96,0.1,0.31,0.5,10,10,90,92,11,0.1,1,10,2
97,0.1,0.31,0.5,10,10,91,92,10,0.1,1,10,2
98,0.1,0.31,0.5,10,10,91,91,10,0.1,1,10,2
99,0.1,0.31,0.5,10,10,-103,-102,4,0.1,0,10,2
100,0.1,0.31,0.5,10,10,-103,-102,4,0.1,0,10,2
101,0.1,0.31,0.5,6,8,-103,-102,4,0.1,0,10,2
102,0.1,0.31,0.5,6,6,-121,-109,22,0.1,0,10,2
103,0.1,0.31,0.5,6,6,-116,-110,17,0.1,0,10,2
104,0.1,0.31,0.5,6,6,-120,-121,22,0.1,0,10,2
