eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,13,-112,-110,-234,-114,-118,-221,-111,68,135,0.1,0,10,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,5,-133,-139,-110,-106,-102,-101,-138,97,40,0.1,0,10,8
2,0.1,0.31,0.5,0,0,0,0,0,0,0,5,-105,-118,-147,-236,-103,-114,-107,97,137,0.1,0,10,8
3,0.1,0.31,0.5,0,0,18,0,0,0,0,5,-136,-111,53,-106,-113,-186,-109,97,87,0.1,0,10,8
4,0.1,0.31,0.5,0,0,11,0,0,7,0,5,-127,-136,91,-110,-121,87,-103,97,37,0.1,0,10,8
5,0.1,0.31,0.5,0,0,11,0,0,6,0,5,-107,-105,91,-184,-138,95,-140,97,85,0.1,0,10,8
6,0.1,0.31,0.5,0,0,11,0,0,5,14,5,-109,-156,90,-134,-168,97,72,97,69,0.1,0,10,8
7,0.1,0.31,0.5,0,0,11,0,0,5,10,7,-131,-126,90,-141,-108,97,91,95,42,0.1,0,10,8
8,0.1,0.31,0.5,0,0,11,14,0,5,15,5,-143,-124,91,74,-141,97,75,97,44,0.1,0,10,8
9,0.1,0.31,0.5,0,0,11,17,0,5,15,5,-112,-143,91,76,-123,97,79,97,44,0.1,0,10,8
10,0.1,0.31,0.5,0,0,11,10,0,5,14,5,-179,-172,91,92,-125,97,88,97,80,0.1,0,10,8
11,0.1,0.31,0.5,0,0,11,10,0,5,14,5,-113,-128,91,92,-141,97,-107,-106,42,0.1,0,10,8
12,0.1,0.31,0.5,0,0,11,11,0,5,14,5,-153,-129,91,90,-109,97,-111,97,54,0.1,0,10,8
13,0.1,0.31,0.5,0,0,11,10,0,5,16,5,-123,-152,90,92,-109,97,83,97,53,0.1,0,10,8
14,0.1,0.31,0.5,0,0,11,10,0,5,14,5,-140,-162,91,92,-154,97,88,97,63,0.1,0,10,8
15,0.1,0.31,0.5,0,13,21,13,0,5,14,5,-118,81,68,82,-118,97,88,97,33,0.1,0,10,8
16,0.1,0.31,0.5,0,12,11,10,10,5,14,5,-162,85,91,92,81,97,88,97,63,0.1,0,10,8
17,0.1,0.31,0.5,0,10,11,10,6,5,14,5,-186,92,91,90,96,97,-113,97,87,0.1,0,10,8
18,0.1,0.31,0.5,0,21,11,10,6,5,14,5,-189,65,91,92,95,97,88,97,90,0.1,0,10,8
19,0.1,0.31,0.5,0,10,12,10,6,5,14,5,-169,92,88,92,94,97,84,97,70,0.1,0,10,8
20,0.1,0.31,0.5,0,10,11,11,6,5,14,5,-140,91,90,88,96,97,-114,97,41,0.1,0,10,8
21,0.1,0.31,0.5,0,10,11,11,8,5,14,5,-137,90,86,88,91,97,88,97,38,0.1,0,10,8
22,0.1,0.31,0.5,0,10,11,10,6,5,16,5,-113,92,90,91,96,97,81,97,20,0.1,0,10,8
23,0.1,0.31,0.5,0,10,12,10,6,5,13,5,-146,92,88,90,-116,97,87,97,47,0.1,0,10,8
24,0.1,0.31,0.5,29,11,13,10,6,5,15,5,40,86,84,91,96,97,84,97,61,0.1,1,10,8
25,0.1,0.31,0.5,19,10,21,10,6,5,14,5,83,91,71,92,96,97,86,97,30,0.1,1,10,8
26,0.1,0.31,0.5,19,10,15,10,6,5,14,5,81,92,80,92,96,97,88,96,21,0.1,1,10,8
27,0.1,0.31,0.5,19,10,10,12,6,6,14,5,74,92,88,89,-126,94,87,97,27,0.1,0,10,8
28,0.1,0.31,0.5,23,10,13,15,6,5,14,5,66,92,81,81,96,97,88,97,35,0.1,1,10,8
29,0.1,0.31,0.5,23,10,11,12,6,5,14,5,-118,92,91,83,95,97,88,97,19,0.1,0,10,8
30,0.1,0.31,0.5,16,10,11,10,6,5,15,5,81,89,91,92,96,97,81,97,20,0.1,1,10,8
31,0.1,0.31,0.5,16,18,11,10,8,5,15,5,82,85,-109,90,92,97,84,97,19,0.1,0,10,8
32,0.1,0.31,0.5,16,10,11,10,6,5,14,5,-128,91,91,92,96,97,87,97,29,0.1,0,10,8
33,0.1,0.31,0.5,16,10,12,10,7,5,14,5,84,92,93,92,94,97,86,97,17,0.1,1,10,8
34,0.1,0.31,0.5,16,10,11,10,6,5,14,5,83,92,89,92,96,96,-107,97,18,0.1,0,10,8
35,0.1,0.31,0.5,16,11,12,11,6,5,14,6,85,89,86,85,96,97,88,95,16,0.1,1,10,8
36,0.1,0.31,0.5,16,10,9,10,6,10,14,6,84,92,91,92,96,93,86,-101,17,0.1,0,10,8
