eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,-178,-167,-159,-131,79,0.1,0,15,4
1,0.1,0.31,0.5,0,0,0,0,-196,-202,-183,-158,103,0.1,0,15,4
2,0.1,0.31,0.5,0,0,0,0,-137,-219,-405,-194,306,0.1,0,15,4
3,0.1,0.31,0.5,0,0,0,0,-138,-154,-270,-175,171,0.1,0,15,4
4,0.1,0.31,0.5,0,26,0,0,-144,37,-160,-126,64,0.1,0,15,4
5,0.1,0.31,0.5,0,15,0,0,-137,87,-196,-189,97,0.1,0,15,4
6,0.1,0.31,0.5,0,15,31,0,-142,-111,0,-129,101,0.1,0,15,4
7,0.1,0.31,0.5,0,14,15,27,-149,84,85,55,50,0.1,0,15,4
8,0.1,0.31,0.5,0,18,15,27,-153,81,-117,-113,54,0.1,0,15,4
9,0.1,0.31,0.5,0,17,15,21,-129,83,87,-115,30,0.1,0,15,4
10,0.1,0.31,0.5,0,14,20,22,-171,87,73,65,72,0.1,0,15,4
11,0.1,0.31,0.5,0,17,17,17,-122,86,85,84,23,0.1,0,15,4
12,0.1,0.31,0.5,0,15,17,18,-126,86,84,76,27,0.1,0,15,4
13,0.1,0.31,0.5,0,12,17,17,-226,-155,85,85,127,0.1,0,15,4
14,0.1,0.31,0.5,0,12,17,18,-200,-127,80,83,101,0.1,0,15,4
15,0.1,0.31,0.5,0,41,17,31,-185,-42,85,55,143,0.1,0,15,4
16,0.1,0.31,0.5,0,18,17,20,-125,80,85,76,26,0.1,0,15,4
17,0.1,0.31,0.5,0,18,38,19,-174,82,17,80,84,0.1,0,15,4
18,0.1,0.31,0.5,0,17,17,17,-109,85,85,-127,28,0.1,0,15,4
19,0.1,0.31,0.5,0,17,17,22,-218,82,84,72,119,0.1,0,15,4
20,0.1,0.31,0.5,0,17,18,18,-170,85,83,83,71,0.1,0,15,4
21,0.1,0.31,0.5,0,17,18,27,-161,85,-143,58,62,0.1,0,15,4
22,0.1,0.31,0.5,0,19,17,27,-136,78,84,54,47,0.1,0,15,4
23,0.1,0.31,0.5,0,32,18,18,-166,40,80,84,67,0.1,0,15,4
24,0.1,0.31,0.5,0,19,20,18,-318,80,79,80,219,0.1,0,15,4
25,0.1,0.31,0.5,0,33,22,17,-230,44,69,85,131,0.1,0,15,4
26,0.1,0.31,0.5,0,42,17,17,-113,4,84,83,97,0.1,0,15,4
27,0.1,0.31,0.5,0,21,21,17,-155,70,83,82,56,0.1,0,15,4
28,0.1,0.31,0.5,0,19,20,17,-209,80,77,81,110,0.1,0,15,4
29,0.1,0.31,0.5,0,17,20,17,-184,84,74,85,85,0.1,0,15,4
30,0.1,0.31,0.5,39,18,17,19,-18,81,81,76,119,0.1,1,15,4
31,0.1,0.31,0.5,21,17,22,17,78,86,73,85,28,0.1,1,15,4
32,0.1,0.31,0.5,20,17,17,17,81,85,83,84,20,0.1,1,15,4
33,0.1,0.31,0.5,20,17,16,17,81,85,81,-119,20,0.1,0,15,4
34,0.1,0.31,0.5,21,17,17,81,79,85,84,-122,223,0.1,1,15,4
35,0.1,0.31,0.5,21,17,17,78,81,-118,85,-125,26,0.1,0,15,4
36,0.1,0.31,0.5,21,17,22,53,80,84,71,35,66,0.1,1,15,4
37,0.1,0.31,0.5,23,17,17,28,78,85,85,70,31,0.1,1,15,4
38,0.1,0.31,0.5,22,21,17,29,79,75,85,69,32,0.1,1,15,4
39,0.1,0.31,0.5,21,17,17,31,79,83,85,63,38,0.1,1,15,4
40,0.1,0.31,0.5,21,17,17,36,81,83,85,66,35,0.1,1,15,4
41,0.1,0.31,0.5,21,17,17,28,81,84,85,63,38,0.1,1,15,4
42,0.1,0.31,0.5,23,17,17,29,77,85,85,71,30,0.1,1,15,4
43,0.1,0.31,0.5,21,17,24,29,80,85,77,68,33,0.1,1,15,4
44,0.1,0.31,0.5,21,17,14,29,80,85,87,-128,29,0.1,0,15,4
45,0.1,0.31,0.5,23,17,17,30,72,83,76,67,34,0.1,1,15,4
46,0.1,0.31,0.5,21,17,17,30,81,85,77,-132,33,0.1,0,15,4
47,0.1,0.31,0.5,35,18,15,29,47,83,87,79,54,0.1,1,15,4
48,0.1,0.31,0.5,21,17,15,28,81,85,85,69,32,0.1,1,15,4
49,0.1,0.31,0.5,21,20,15,28,-111,76,87,71,30,0.1,0,15,4
50,0.1,0.31,0.5,18,17,15,28,-110,85,87,-119,20,0.1,0,15,4
51,0.1,0.31,0.5,15,17,15,29,-107,83,87,71,30,0.1,0,15,4
52,0.1,0.31,0.5,13,18,15,29,-133,81,86,65,36,0.1,0,15,4
53,0.1,0.31,0.5,11,17,15,29,-155,85,87,72,56,0.1,0,15,4
54,0.1,0.31,0.5,10,20,18,32,-122,75,84,59,42,0.1,0,15,4
55,0.1,0.31,0.5,10,17,15,31,-170,83,84,69,71,0.1,0,15,4
56,0.1,0.31,0.5,10,27,15,29,-118,61,86,71,40,0.1,0,15,4
57,0.1,0.31,0.5,10,17,22,31,-517,85,71,71,418,0.1,0,15,4
58,0.1,0.31,0.5,10,17,20,28,-126,84,79,73,28,0.1,0,15,4
59,0.1,0.31,0.5,9,17,15,28,-200,85,85,-266,167,0.1,0,15,4
60,0.1,0.31,0.5,9,17,18,29,-139,85,78,72,40,0.1,0,15,4
61,0.1,0.31,0.5,9,17,15,30,-302,-114,87,71,203,0.1,0,15,4
62,0.1,0.31,0.5,9,17,15,30,-138,84,87,70,39,0.1,0,15,4
63,0.1,0.31,0.5,5,21,16,31,-128,84,87,69,32,0.1,0,15,4
64,0.1,0.31,0.5,75,35,15,29,-132,44,87,70,233,0.1,1,15,4
65,0.1,0.31,0.5,35,17,15,29,62,83,87,72,39,0.1,1,15,4
66,0.1,0.31,0.5,33,17,15,29,60,-279,87,72,180,0.1,0,15,4
67,0.1,0.31,0.5,36,19,15,29,47,78,86,68,54,0.1,1,15,4
68,0.1,0.31,0.5,36,14,15,29,65,-123,87,71,36,0.1,0,15,4
69,0.1,0.31,0.5,32,22,15,29,66,69,-132,71,35,0.1,0,15,4
70,0.1,0.31,0.5,32,15,15,28,-110,86,87,72,29,0.1,0,15,4
71,0.1,0.31,0.5,32,15,15,29,68,-120,87,71,33,0.1,0,15,4
72,0.1,0.31,0.5,39,15,17,29,45,87,79,72,56,0.1,1,15,4
73,0.1,0.31,0.5,35,15,15,29,57,-152,85,71,53,0.1,0,15,4
74,0.1,0.31,0.5,32,15,16,29,68,87,85,73,33,0.1,1,15,4
