eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,93,-263,-105,-268,-185,-392,-174,293,0.1,0,20,6
1,0.1,0.31,0.5,0,0,0,0,0,12,-377,-166,-153,-144,-130,90,278,0.1,0,20,6
2,0.1,0.31,0.5,0,0,0,0,0,13,-191,-233,-117,-224,-270,86,171,0.1,0,20,6
3,0.1,0.31,0.5,0,0,49,0,0,12,-311,-251,-33,-124,-163,90,212,0.1,0,20,6
4,0.1,0.31,0.5,0,0,27,0,0,13,-187,-488,73,-193,-249,84,389,0.1,0,20,6
5,0.1,0.31,0.5,0,0,32,0,0,12,-265,-176,59,-224,-293,90,194,0.1,0,20,6
6,0.1,0.31,0.5,0,0,29,0,0,16,-243,-199,61,-184,-527,80,428,0.1,0,20,6
7,0.1,0.31,0.5,0,0,37,0,0,15,-245,-462,53,-127,-150,81,363,0.1,0,20,6
8,0.1,0.31,0.5,0,0,25,0,0,12,-219,-227,73,-137,-152,86,128,0.1,0,20,6
9,0.1,0.31,0.5,0,0,25,0,0,12,-383,-292,76,-174,-210,90,284,0.1,0,20,6
10,0.1,0.31,0.5,0,0,25,0,0,12,-392,-115,77,-162,-255,90,293,0.1,0,20,6
11,0.1,0.31,0.5,0,27,25,0,0,12,-217,63,77,-251,-257,90,158,0.1,0,20,6
12,0.1,0.31,0.5,0,26,25,0,0,13,-257,69,74,-251,-190,90,158,0.1,0,20,6
13,0.1,0.31,0.5,0,24,25,0,0,12,-228,78,-107,-232,-272,88,173,0.1,0,20,6
14,0.1,0.31,0.5,0,24,38,0,0,13,-319,-144,49,-177,-237,87,220,0.1,0,20,6
15,0.1,0.31,0.5,0,25,33,0,0,20,-209,76,58,-128,-351,73,252,0.1,0,20,6
16,0.1,0.31,0.5,0,27,25,44,0,12,-306,68,75,3,-144,90,207,0.1,0,20,6
17,0.1,0.31,0.5,0,24,25,34,0,12,-508,78,75,60,-464,90,409,0.1,0,20,6
18,0.1,0.31,0.5,0,33,36,29,42,19,-159,52,48,69,1,81,100,0.1,0,20,6
19,0.1,0.31,0.5,0,31,25,39,30,23,-172,63,77,58,70,64,73,0.1,0,20,6
20,0.1,0.31,0.5,0,24,27,30,24,14,-466,76,69,69,76,88,367,0.1,0,20,6
21,0.1,0.31,0.5,0,25,26,41,26,14,-302,74,67,43,71,88,203,0.1,0,20,6
22,0.1,0.31,0.5,0,24,35,33,25,32,-315,68,47,66,73,47,216,0.1,0,20,6
23,0.1,0.31,0.5,0,22,25,30,30,14,-287,77,79,70,69,88,188,0.1,0,20,6
24,0.1,0.31,0.5,0,22,26,30,27,14,-298,72,75,-143,74,-141,199,0.1,0,20,6
25,0.1,0.31,0.5,76,22,25,32,25,41,-151,79,77,64,73,25,252,0.1,1,20,6
26,0.1,0.31,0.5,33,22,26,30,26,15,62,77,73,72,72,85,39,0.1,1,20,6
27,0.1,0.31,0.5,31,50,32,31,26,14,62,31,65,68,73,86,70,0.1,1,20,6
28,0.1,0.31,0.5,54,22,46,29,25,14,2,75,28,71,74,86,99,0.1,1,20,6
29,0.1,0.31,0.5,37,22,33,50,31,14,48,80,58,28,57,88,73,0.1,1,20,6
30,0.1,0.31,0.5,31,23,33,44,25,14,71,72,-104,-135,74,88,36,0.1,0,20,6
31,0.1,0.31,0.5,34,22,34,38,29,14,56,78,63,53,63,88,48,0.1,1,20,6
32,0.1,0.31,0.5,35,22,33,38,47,18,58,80,-199,58,21,77,100,0.1,0,20,6
33,0.1,0.31,0.5,31,22,33,38,46,16,71,78,63,-118,45,81,56,0.1,0,20,6
34,0.1,0.31,0.5,56,22,33,42,46,14,21,79,-169,52,-174,88,80,0.1,0,20,6
35,0.1,0.31,0.5,75,28,33,39,41,14,-48,64,45,49,57,88,149,0.1,1,20,6
36,0.1,0.31,0.5,34,25,31,39,41,14,60,73,-161,46,58,88,62,0.1,0,20,6
37,0.1,0.31,0.5,34,22,27,37,41,14,-284,80,71,53,61,88,185,0.1,0,20,6
38,0.1,0.31,0.5,33,22,19,45,43,14,-133,79,-115,-9,45,88,110,0.1,0,20,6
39,0.1,0.31,0.5,36,33,39,34,76,14,59,54,22,44,24,87,79,0.1,1,20,6
40,0.1,0.31,0.5,35,25,27,31,56,15,62,69,75,74,-173,85,74,0.1,0,20,6
41,0.1,0.31,0.5,38,22,27,44,45,15,63,78,74,47,12,85,89,0.1,1,20,6
42,0.1,0.31,0.5,44,22,30,40,46,17,47,80,62,-9,40,80,110,0.1,1,20,6
43,0.1,0.31,0.5,35,23,31,25,31,18,67,75,66,-5,69,76,106,0.1,1,20,6
44,0.1,0.31,0.5,34,22,27,27,31,15,67,78,75,-47,70,87,148,0.1,1,20,6
45,0.1,0.31,0.5,33,22,27,31,44,15,64,78,-125,-187,39,82,288,0.1,0,20,6
46,0.1,0.31,0.5,34,22,28,27,31,14,71,75,69,35,71,87,66,0.1,1,20,6
47,0.1,0.31,0.5,33,34,27,24,41,14,69,52,74,46,55,88,55,0.1,1,20,6
48,0.1,0.31,0.5,35,23,27,25,31,14,65,76,69,-3,71,88,104,0.1,1,20,6
49,0.1,0.31,0.5,33,22,27,25,31,16,69,80,73,-105,-141,83,42,0.1,0,20,6
50,0.1,0.31,0.5,40,23,27,25,23,14,53,74,75,-109,-162,88,63,0.1,0,20,6
51,0.1,0.31,0.5,33,22,36,18,17,14,68,80,53,-105,-198,-179,99,0.1,0,20,6
52,0.1,0.31,0.5,35,28,28,18,66,49,63,69,63,-122,-35,-26,136,0.1,0,20,6
53,0.1,0.31,0.5,40,28,29,28,28,14,48,-331,68,-75,71,88,232,0.1,0,20,6
54,0.1,0.31,0.5,43,22,28,23,28,15,45,77,73,32,67,85,69,0.1,1,20,6
55,0.1,0.31,0.5,42,22,31,36,29,14,44,80,60,-7,70,88,108,0.1,1,20,6
56,0.1,0.31,0.5,42,22,29,31,28,14,-131,80,68,-8,72,88,109,0.1,0,20,6
57,0.1,0.31,0.5,55,22,27,24,29,14,25,-119,74,61,69,86,76,0.1,0,20,6
58,0.1,0.31,0.5,33,20,27,26,35,14,67,-396,75,-6,46,87,297,0.1,0,20,6
59,0.1,0.31,0.5,38,24,27,25,34,14,55,70,73,-67,56,86,168,0.1,1,20,6
60,0.1,0.31,0.5,33,22,29,23,27,14,69,78,68,13,74,87,88,0.1,1,20,6
61,0.1,0.31,0.5,39,22,29,23,29,14,61,-126,68,-155,67,88,56,0.1,0,20,6
62,0.1,0.31,0.5,34,19,28,23,27,14,66,-214,70,-116,75,88,115,0.1,0,20,6
63,0.1,0.31,0.5,33,20,32,25,27,16,69,79,55,36,-304,81,205,0.1,0,20,6
64,0.1,0.31,0.5,39,20,27,23,27,16,60,82,75,39,72,-184,85,0.1,0,20,6
65,0.1,0.31,0.5,39,20,30,25,27,14,-119,82,64,72,75,88,37,0.1,0,20,6
66,0.1,0.31,0.5,37,36,27,25,27,14,58,38,75,-18,-224,86,125,0.1,0,20,6
67,0.1,0.31,0.5,37,20,30,26,27,14,-159,82,63,-57,75,88,158,0.1,0,20,6
68,0.1,0.31,0.5,33,21,28,23,27,18,69,82,69,70,73,79,32,0.1,1,20,6
69,0.1,0.31,0.5,38,21,26,23,27,14,52,81,72,78,74,88,49,0.1,1,20,6
70,0.1,0.31,0.5,33,37,26,23,26,14,67,41,-268,-193,69,88,169,0.1,0,20,6
71,0.1,0.31,0.5,32,20,27,23,26,15,65,82,73,-110,-128,86,36,0.1,0,20,6
72,0.1,0.31,0.5,33,20,25,23,28,14,65,82,73,75,67,88,36,0.1,1,20,6
73,0.1,0.31,0.5,33,20,31,51,31,19,69,82,59,-15,72,76,116,0.1,1,20,6
74,0.1,0.31,0.5,33,20,25,50,25,14,65,-146,77,-159,77,88,60,0.1,0,20,6
75,0.1,0.31,0.5,34,20,25,22,34,14,67,82,-123,78,60,-249,150,0.1,0,20,6
76,0.1,0.31,0.5,38,20,25,37,25,14,63,81,77,60,75,85,41,0.1,1,20,6
77,0.1,0.31,0.5,36,20,24,22,25,14,61,81,78,77,73,88,40,0.1,1,20,6
78,0.1,0.31,0.5,31,20,31,23,25,14,64,82,67,75,75,88,37,0.1,1,20,6
79,0.1,0.31,0.5,31,20,23,25,28,14,69,77,76,72,66,88,35,0.1,1,20,6
80,0.1,0.31,0.5,39,20,26,22,27,14,54,78,75,79,69,88,47,0.1,1,20,6
81,0.1,0.31,0.5,82,20,23,22,25,14,-31,82,78,78,74,88,132,0.1,1,20,6
82,0.1,0.31,0.5,31,20,23,22,32,28,69,80,79,-126,52,48,53,0.1,0,20,6
83,0.1,0.31,0.5,30,21,23,22,27,14,71,78,79,78,74,88,30,0.1,1,20,6
84,0.1,0.31,0.5,30,20,67,22,25,16,-242,82,-21,80,77,81,143,0.1,0,20,6
85,0.1,0.31,0.5,31,20,26,22,24,13,71,80,68,79,77,88,33,0.1,1,20,6
86,0.1,0.31,0.5,31,20,23,22,27,13,71,-125,79,80,74,-301,202,0.1,0,20,6
87,0.1,0.31,0.5,32,20,23,22,25,14,69,82,77,80,77,86,32,0.1,1,20,6
88,0.1,0.31,0.5,32,20,25,22,25,14,70,-121,74,-120,76,88,31,0.1,0,20,6
89,0.1,0.31,0.5,30,21,23,22,25,14,68,77,79,80,77,87,33,0.1,1,20,6
90,0.1,0.31,0.5,31,20,23,22,25,14,71,82,77,82,77,-200,101,0.1,0,20,6
91,0.1,0.31,0.5,30,21,23,23,28,14,69,81,78,78,72,88,32,0.1,1,20,6
92,0.1,0.31,0.5,33,20,23,23,25,14,61,82,77,76,77,88,40,0.1,1,20,6
93,0.1,0.31,0.5,32,20,23,22,45,14,68,82,79,78,38,88,63,0.1,1,20,6
94,0.1,0.31,0.5,32,31,29,26,25,14,-213,53,68,72,77,88,114,0.1,0,20,6
95,0.1,0.31,0.5,30,27,23,22,26,14,71,75,78,80,77,88,30,0.1,1,20,6
96,0.1,0.31,0.5,33,20,23,22,34,14,67,82,77,80,57,88,44,0.1,1,20,6
97,0.1,0.31,0.5,32,20,24,22,25,14,68,80,72,80,75,88,33,0.1,1,20,6
98,0.1,0.31,0.5,31,20,33,22,25,15,70,82,63,76,75,84,38,0.1,1,20,6
99,0.1,0.31,0.5,31,20,23,22,26,15,-129,82,78,78,70,-114,31,0.1,0,20,6
100,0.1,0.31,0.5,26,20,24,23,25,15,-128,81,75,76,77,-109,29,0.1,0,20,6
101,0.1,0.31,0.5,5,20,23,23,31,4,-151,80,79,76,56,-111,52,0.1,0,20,6
102,0.1,0.31,0.5,5,20,23,22,25,4,-231,-116,78,80,75,-240,141,0.1,0,20,6
103,0.1,0.31,0.5,5,25,23,32,26,4,-244,77,79,48,74,-474,375,0.1,0,20,6
104,0.1,0.31,0.5,5,25,23,22,28,4,-171,73,78,80,79,-137,72,0.1,0,20,6
105,0.1,0.31,0.5,5,20,36,24,39,4,-310,80,49,74,51,-162,211,0.1,0,20,6
106,0.1,0.31,0.5,5,31,23,22,27,20,-304,51,79,81,73,65,205,0.1,0,20,6
107,0.1,0.31,0.5,5,20,23,22,25,16,-258,82,79,80,77,86,159,0.1,0,20,6
108,0.1,0.31,0.5,4,20,23,22,26,16,-439,80,79,80,73,86,340,0.1,0,20,6
109,0.1,0.31,0.5,4,20,23,22,27,18,-140,82,78,80,69,80,41,0.1,0,20,6
110,0.1,0.31,0.5,4,21,23,22,25,16,-221,77,79,80,76,86,122,0.1,0,20,6
111,0.1,0.31,0.5,4,20,23,22,25,23,-373,82,-102,79,75,60,274,0.1,0,20,6
112,0.1,0.31,0.5,4,20,23,22,25,16,-410,82,79,79,77,86,311,0.1,0,20,6
113,0.1,0.31,0.5,4,20,23,22,25,16,-279,82,79,78,-125,85,180,0.1,0,20,6
114,0.1,0.31,0.5,175,20,23,22,25,16,-578,-105,-180,79,-301,86,679,0.1,0,20,6
115,0.1,0.31,0.5,71,20,24,22,26,16,24,81,77,80,74,85,77,0.1,1,20,6
116,0.1,0.31,0.5,64,20,23,22,26,16,31,81,79,80,-161,86,70,0.1,0,20,6
117,0.1,0.31,0.5,64,20,28,22,25,26,36,82,64,-120,77,71,65,0.1,0,20,6
118,0.1,0.31,0.5,60,20,26,22,28,19,34,82,75,79,58,78,67,0.1,1,20,6
119,0.1,0.31,0.5,61,20,23,31,25,16,37,82,76,69,67,86,64,0.1,1,20,6
120,0.1,0.31,0.5,61,20,23,25,25,16,34,82,77,70,-170,86,71,0.1,0,20,6
121,0.1,0.31,0.5,72,20,26,22,21,21,3,-118,77,80,79,84,98,0.1,0,20,6
122,0.1,0.31,0.5,71,20,23,22,21,17,24,-355,79,78,81,83,256,0.1,0,20,6
123,0.1,0.31,0.5,61,20,23,22,20,16,33,82,78,79,-116,86,68,0.1,0,20,6
124,0.1,0.31,0.5,60,20,23,22,21,16,37,82,79,80,79,88,64,0.1,1,20,6
125,0.1,0.31,0.5,60,20,23,23,21,16,40,82,79,72,81,85,61,0.1,1,20,6
126,0.1,0.31,0.5,55,26,23,23,21,16,45,71,79,-107,80,84,56,0.1,0,20,6
127,0.1,0.31,0.5,54,20,23,22,21,16,47,81,79,79,78,85,54,0.1,1,20,6
128,0.1,0.31,0.5,55,20,23,22,23,16,43,81,77,78,76,86,58,0.1,1,20,6
129,0.1,0.31,0.5,51,20,23,22,21,16,51,80,79,80,79,86,50,0.1,1,20,6
130,0.1,0.31,0.5,47,21,23,22,21,16,50,81,77,78,81,86,51,0.1,1,20,6
131,0.1,0.31,0.5,49,20,28,22,21,16,38,81,69,79,81,86,63,0.1,1,20,6
132,0.1,0.31,0.5,46,20,23,22,21,17,53,82,79,-106,81,83,48,0.1,0,20,6
133,0.1,0.31,0.5,53,21,23,22,22,19,34,80,79,80,78,84,67,0.1,1,20,6
134,0.1,0.31,0.5,61,21,23,22,30,16,26,82,79,80,59,86,75,0.1,1,20,6
135,0.1,0.31,0.5,46,20,23,22,21,16,54,82,79,80,79,83,47,0.1,1,20,6
136,0.1,0.31,0.5,50,29,26,22,21,29,45,66,72,80,77,60,56,0.1,1,20,6
137,0.1,0.31,0.5,49,21,23,22,21,16,36,81,79,80,80,86,65,0.1,1,20,6
138,0.1,0.31,0.5,49,21,23,22,21,16,50,82,79,80,81,-116,51,0.1,0,20,6
139,0.1,0.31,0.5,55,20,23,22,21,16,34,82,79,80,81,-191,92,0.1,0,20,6
140,0.1,0.31,0.5,57,20,23,22,21,16,32,82,79,79,81,86,69,0.1,1,20,6
141,0.1,0.31,0.5,63,20,23,23,23,16,16,80,77,76,78,84,85,0.1,1,20,6
142,0.1,0.31,0.5,43,22,25,22,23,16,55,82,77,80,79,86,46,0.1,1,20,6
143,0.1,0.31,0.5,43,20,24,22,21,16,51,81,75,80,80,86,50,0.1,1,20,6
144,0.1,0.31,0.5,44,20,25,28,21,16,55,82,74,66,81,86,46,0.1,1,20,6
145,0.1,0.31,0.5,44,20,23,22,21,16,-169,81,79,80,81,86,70,0.1,0,20,6
146,0.1,0.31,0.5,43,21,23,22,21,16,56,82,79,79,80,86,45,0.1,1,20,6
147,0.1,0.31,0.5,42,20,23,22,23,16,57,82,79,80,80,86,44,0.1,1,20,6
148,0.1,0.31,0.5,42,23,23,22,21,16,58,79,79,78,79,86,43,0.1,1,20,6
