eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-120,-145,-501,-129,-110,-128,-131,-153,402,0.1,0,15,8
1,0.1,0.31,0.5,0,0,0,0,0,0,13,0,-118,-206,-293,-131,-168,-126,84,-111,194,0.1,0,15,8
2,0.1,0.31,0.5,0,0,0,0,0,0,16,0,-111,-189,-595,-114,-145,-332,78,-108,496,0.1,0,15,8
3,0.1,0.31,0.5,0,0,0,0,0,0,12,0,-132,-128,-201,-125,-219,-164,89,-194,120,0.1,0,15,8
4,0.1,0.31,0.5,0,0,0,43,0,0,12,0,-203,-148,-186,-12,-134,-205,90,-116,113,0.1,0,15,8
5,0.1,0.31,0.5,0,0,0,16,0,54,14,30,-105,-169,-211,84,-137,-43,86,55,144,0.1,0,15,8
6,0.1,0.31,0.5,0,54,0,16,0,31,17,39,-120,-51,-166,-119,-105,59,80,46,152,0.1,0,15,8
7,0.1,0.31,0.5,0,40,0,19,0,46,16,22,-171,60,-190,75,-114,33,79,77,91,0.1,0,15,8
8,0.1,0.31,0.5,0,61,0,17,90,34,13,58,-131,-8,-151,85,-303,65,87,-16,404,0.1,0,15,8
9,0.1,0.31,0.5,0,30,0,17,28,26,12,58,-148,52,-194,85,65,-240,90,-113,141,0.1,0,15,8
10,0.1,0.31,0.5,0,30,37,19,28,16,12,22,-205,-115,-30,82,-134,84,90,77,131,0.1,0,15,8
11,0.1,0.31,0.5,0,26,19,22,21,10,12,22,-118,74,83,68,78,92,90,77,33,0.1,0,15,8
12,0.1,0.31,0.5,0,17,19,20,20,10,12,25,-160,81,80,81,77,91,92,76,61,0.1,0,15,8
13,0.1,0.31,0.5,0,18,19,20,20,15,12,24,-235,75,82,-159,82,90,89,74,136,0.1,0,15,8
14,0.1,0.31,0.5,0,17,20,22,42,10,12,22,-189,84,78,67,43,90,90,78,90,0.1,0,15,8
