eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-480,-112,381,0.1,0,20,2
1,0.1,0.31,0.5,0,0,-198,-164,99,0.1,0,20,2
2,0.1,0.31,0.5,0,0,-138,-169,70,0.1,0,20,2
3,0.1,0.31,0.5,0,0,-329,-114,230,0.1,0,20,2
4,0.1,0.31,0.5,0,0,-218,-177,119,0.1,0,20,2
5,0.1,0.31,0.5,0,0,-242,-389,290,0.1,0,20,2
6,0.1,0.31,0.5,0,0,-181,-350,251,0.1,0,20,2
7,0.1,0.31,0.5,0,0,-310,-535,436,0.1,0,20,2
8,0.1,0.31,0.5,0,0,-201,-155,102,0.1,0,20,2
9,0.1,0.31,0.5,0,0,-354,-578,479,0.1,0,20,2
10,0.1,0.31,0.5,0,70,-240,-124,225,0.1,0,20,2
11,0.1,0.31,0.5,0,24,-225,76,126,0.1,0,20,2
12,0.1,0.31,0.5,0,24,-244,75,145,0.1,0,20,2
13,0.1,0.31,0.5,0,31,-151,60,52,0.1,0,20,2
14,0.1,0.31,0.5,0,26,-228,70,129,0.1,0,20,2
15,0.1,0.31,0.5,95,38,-271,47,372,0.1,1,20,2
16,0.1,0.31,0.5,35,28,66,61,40,0.1,1,20,2
17,0.1,0.31,0.5,36,28,62,-256,157,0.1,0,20,2
18,0.1,0.31,0.5,34,20,64,82,37,0.1,1,20,2
19,0.1,0.31,0.5,34,20,-176,78,77,0.1,0,20,2
20,0.1,0.31,0.5,35,20,63,-147,48,0.1,0,20,2
21,0.1,0.31,0.5,37,20,59,82,42,0.1,1,20,2
22,0.1,0.31,0.5,35,20,62,82,39,0.1,1,20,2
23,0.1,0.31,0.5,36,20,48,-128,53,0.1,0,20,2
24,0.1,0.31,0.5,36,21,53,78,48,0.1,1,20,2
25,0.1,0.31,0.5,42,20,40,79,61,0.1,1,20,2
26,0.1,0.31,0.5,39,19,57,81,44,0.1,1,20,2
27,0.1,0.31,0.5,38,33,58,49,52,0.1,1,20,2
28,0.1,0.31,0.5,55,25,17,67,84,0.1,1,20,2
