eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,119,0,-484,-136,-283,-239,385,0.1,0,25,4
1,0.1,0.31,0.5,0,0,29,0,-334,-212,71,-230,235,0.1,0,25,4
2,0.1,0.31,0.5,0,0,29,0,-221,-157,-115,-181,122,0.1,0,25,4
3,0.1,0.31,0.5,0,0,29,0,-375,-357,71,-249,276,0.1,0,25,4
4,0.1,0.31,0.5,0,0,32,0,-339,-328,59,-226,240,0.1,0,25,4
5,0.1,0.31,0.5,0,0,28,0,-292,-364,67,-389,290,0.1,0,25,4
6,0.1,0.31,0.5,0,0,29,0,-123,-321,67,-317,222,0.1,0,25,4
7,0.1,0.31,0.5,0,0,29,0,-302,-380,-166,-221,281,0.1,0,25,4
8,0.1,0.31,0.5,0,0,27,0,-250,-132,75,-161,151,0.1,0,25,4
9,0.1,0.31,0.5,0,0,30,0,-442,-135,68,-263,343,0.1,0,25,4
10,0.1,0.31,0.5,0,0,30,0,-225,-882,-113,-429,783,0.1,0,25,4
11,0.1,0.31,0.5,0,0,27,0,-262,-539,72,-229,440,0.1,0,25,4
12,0.1,0.31,0.5,0,0,27,0,-228,-395,67,-220,296,0.1,0,25,4
13,0.1,0.31,0.5,0,86,32,0,-483,-212,59,-777,678,0.1,0,25,4
14,0.1,0.31,0.5,0,37,27,0,-356,59,73,-193,257,0.1,0,25,4
15,0.1,0.31,0.5,0,39,27,0,-238,56,-113,-507,408,0.1,0,25,4
16,0.1,0.31,0.5,0,53,32,0,-212,34,58,-323,224,0.1,0,25,4
17,0.1,0.31,0.5,0,36,27,0,-417,63,68,-218,318,0.1,0,25,4
18,0.1,0.31,0.5,0,37,29,0,-238,60,70,-252,153,0.1,0,25,4
19,0.1,0.31,0.5,0,39,30,0,-501,52,71,-290,402,0.1,0,25,4
20,0.1,0.31,0.5,0,38,29,0,-145,53,74,-187,88,0.1,0,25,4
21,0.1,0.31,0.5,0,35,26,0,-408,61,-411,-550,451,0.1,0,25,4
22,0.1,0.31,0.5,0,35,34,0,-357,62,50,-539,440,0.1,0,25,4
23,0.1,0.31,0.5,98,39,31,0,-242,57,66,-293,343,0.1,0,25,4
24,0.1,0.31,0.5,35,37,31,0,67,64,71,-297,198,0.1,0,25,4
25,0.1,0.31,0.5,38,40,31,0,41,52,70,-433,334,0.1,0,25,4
26,0.1,0.31,0.5,36,36,32,0,59,64,68,-318,219,0.1,0,25,4
27,0.1,0.31,0.5,70,168,31,55,17,-436,69,-50,537,0.1,1,25,4
28,0.1,0.31,0.5,36,168,37,25,58,-265,65,75,166,0.1,0,25,4
29,0.1,0.31,0.5,35,35,33,26,60,67,69,72,41,0.1,1,25,4
30,0.1,0.31,0.5,35,43,34,26,67,24,68,75,77,0.1,1,25,4
31,0.1,0.31,0.5,40,52,88,25,53,19,-112,77,213,0.1,1,25,4
32,0.1,0.31,0.5,40,41,33,25,-140,66,64,75,41,0.1,0,25,4
33,0.1,0.31,0.5,35,34,33,25,66,-332,65,72,233,0.1,0,25,4
34,0.1,0.31,0.5,32,68,33,25,69,-67,66,-160,168,0.1,0,25,4
35,0.1,0.31,0.5,32,45,54,25,-249,38,25,75,150,0.1,0,25,4
36,0.1,0.31,0.5,33,37,54,25,69,53,-115,74,48,0.1,0,25,4
37,0.1,0.31,0.5,33,41,34,25,68,52,64,77,49,0.1,1,25,4
38,0.1,0.31,0.5,38,41,70,28,53,-171,-109,72,210,0.1,0,25,4
39,0.1,0.31,0.5,38,37,70,25,-137,62,-170,76,71,0.1,0,25,4
40,0.1,0.31,0.5,29,40,34,43,70,54,68,34,67,0.1,1,25,4
41,0.1,0.31,0.5,44,37,35,28,38,64,61,72,63,0.1,1,25,4
42,0.1,0.31,0.5,51,52,33,25,10,26,68,74,91,0.1,1,25,4
43,0.1,0.31,0.5,39,39,33,30,51,64,67,73,50,0.1,1,25,4
44,0.1,0.31,0.5,39,37,33,28,-404,64,69,-131,305,0.1,0,25,4
45,0.1,0.31,0.5,22,37,39,36,-141,63,56,54,47,0.1,0,25,4
46,0.1,0.31,0.5,72,75,50,30,-57,-16,42,69,158,0.1,1,25,4
47,0.1,0.31,0.5,54,37,48,30,-152,61,-168,69,253,0.1,0,25,4
48,0.1,0.31,0.5,53,36,36,29,-225,65,-526,67,427,0.1,0,25,4
49,0.1,0.31,0.5,53,60,33,29,-382,8,-119,-126,283,0.1,0,25,4
50,0.1,0.31,0.5,18,37,29,56,-288,63,-131,-7,189,0.1,0,25,4
51,0.1,0.31,0.5,12,51,29,30,-493,40,-191,60,394,0.1,0,25,4
52,0.1,0.31,0.5,12,55,60,32,-248,-4,-39,67,149,0.1,0,25,4
