eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,1.8333333333333333,-96.66666666666667,86,0.1,0,10,6
1,0.1,0.31,0.5,6.833333333333333,-80.33333333333333,158,0.1,0,10,6
2,0.1,0.31,0.5,3.1666666666666665,-65.5,75,0.1,0,10,6
3,0.1,0.31,0.5,9.666666666666666,8.666666666666666,80,0.1,0,10,6
4,0.1,0.31,0.5,7.0,14.333333333333334,40,0.1,0,10,6
5,0.1,0.31,0.5,6.666666666666667,19.833333333333332,36,0.1,0,10,6
6,0.1,0.31,0.5,9.166666666666666,11.0,46,0.1,0,10,6
7,0.1,0.31,0.5,9.833333333333334,46.166666666666664,70,0.1,0,10,6
8,0.1,0.31,0.5,14.333333333333334,76.5,92,0.1,1,10,6
9,0.1,0.31,0.5,12.5,53.833333333333336,20,0.1,0,10,6
10,0.1,0.31,0.5,12.5,47.5,59,0.1,0,10,6
11,0.1,0.31,0.5,11.666666666666666,55.166666666666664,24,0.1,0,10,6
12,0.1,0.31,0.5,11.666666666666666,91.33333333333333,13,0.1,1,10,6
13,0.1,0.31,0.5,9.833333333333334,22.5,23,0.1,0,10,6
14,0.1,0.31,0.5,10.166666666666666,90.16666666666667,18,0.1,1,10,6
15,0.1,0.31,0.5,10.333333333333334,57.833333333333336,15,0.1,0,10,6
16,0.1,0.31,0.5,12.166666666666666,52.5,44,0.1,0,10,6
17,0.1,0.31,0.5,9.833333333333334,58.0,13,0.1,0,10,6
18,0.1,0.31,0.5,10.5,90.33333333333333,18,0.1,1,10,6
19,0.1,0.31,0.5,10.166666666666666,90.0,18,0.1,1,10,6
20,0.1,0.31,0.5,9.833333333333334,91.5,12,0.1,1,10,6
21,0.1,0.31,0.5,10.0,90.0,17,0.1,1,10,6
22,0.1,0.31,0.5,9.666666666666666,58.166666666666664,13,0.1,0,10,6
23,0.1,0.31,0.5,9.666666666666666,92.16666666666667,11,0.1,1,10,6
24,0.1,0.31,0.5,9.666666666666666,57.666666666666664,18,0.1,0,10,6
25,0.1,0.31,0.5,11.833333333333334,53.166666666666664,33,0.1,0,10,6
26,0.1,0.31,0.5,10.0,91.0,15,0.1,1,10,6
27,0.1,0.31,0.5,10.333333333333334,90.33333333333333,14,0.1,1,10,6
28,0.1,0.31,0.5,9.666666666666666,91.83333333333333,11,0.1,1,10,6
29,0.1,0.31,0.5,9.666666666666666,91.5,12,0.1,1,10,6
30,0.1,0.31,0.5,10.333333333333334,90.66666666666667,16,0.1,1,10,6
31,0.1,0.31,0.5,10.5,89.33333333333333,24,0.1,1,10,6
32,0.1,0.31,0.5,10.5,91.16666666666667,15,0.1,1,10,6
33,0.1,0.31,0.5,10.166666666666666,90.83333333333333,18,0.1,1,10,6
34,0.1,0.31,0.5,12.833333333333334,78.66666666666667,75,0.1,1,10,6
35,0.1,0.31,0.5,10.166666666666666,90.5,17,0.1,1,10,6
36,0.1,0.31,0.5,9.666666666666666,91.66666666666667,11,0.1,1,10,6
37,0.1,0.31,0.5,9.666666666666666,92.16666666666667,11,0.1,1,10,6
38,0.1,0.31,0.5,9.666666666666666,91.5,12,0.1,1,10,6
39,0.1,0.31,0.5,9.666666666666666,24.833333333333332,13,0.1,0,10,6
40,0.1,0.31,0.5,10.333333333333334,90.33333333333333,17,0.1,1,10,6
41,0.1,0.31,0.5,9.833333333333334,91.16666666666667,13,0.1,1,10,6
42,0.1,0.31,0.5,9.666666666666666,91.66666666666667,12,0.1,1,10,6
43,0.1,0.31,0.5,9.833333333333334,91.5,15,0.1,1,10,6
44,0.1,0.31,0.5,10.5,91.0,17,0.1,1,10,6
45,0.1,0.31,0.5,10.166666666666666,90.16666666666667,22,0.1,1,10,6
46,0.1,0.31,0.5,10.166666666666666,54.166666666666664,28,0.1,0,10,6
47,0.1,0.31,0.5,10.333333333333334,91.5,13,0.1,1,10,6
48,0.1,0.31,0.5,9.666666666666666,91.33333333333333,12,0.1,1,10,6
49,0.1,0.31,0.5,11.166666666666666,23.5,18,0.1,0,10,6
50,0.1,0.31,0.5,14.333333333333334,10.833333333333334,93,0.1,0,10,6
51,0.1,0.31,0.5,8.0,18.666666666666668,31,0.1,0,10,6
52,0.1,0.31,0.5,8.0,20.333333333333332,21,0.1,0,10,6
53,0.1,0.31,0.5,12.166666666666666,47.333333333333336,75,0.1,0,10,6
54,0.1,0.31,0.5,10.0,58.5,12,0.1,0,10,6
55,0.1,0.31,0.5,10.666666666666666,57.333333333333336,19,0.1,0,10,6
56,0.1,0.31,0.5,10.333333333333334,90.5,18,0.1,1,10,6
57,0.1,0.31,0.5,10.0,58.833333333333336,12,0.1,0,10,6
58,0.1,0.31,0.5,10.5,91.0,16,0.1,1,10,6
59,0.1,0.31,0.5,10.0,91.16666666666667,13,0.1,1,10,6
60,0.1,0.31,0.5,10.333333333333334,58.666666666666664,12,0.1,0,10,6
61,0.1,0.31,0.5,9.5,91.66666666666667,12,0.1,1,10,6
62,0.1,0.31,0.5,9.666666666666666,91.66666666666667,14,0.1,1,10,6
63,0.1,0.31,0.5,10.333333333333334,91.5,13,0.1,1,10,6
64,0.1,0.31,0.5,10.666666666666666,57.5,22,0.1,0,10,6
65,0.1,0.31,0.5,10.166666666666666,52.166666666666664,51,0.1,0,10,6
66,0.1,0.31,0.5,9.666666666666666,92.0,12,0.1,1,10,6
67,0.1,0.31,0.5,10.833333333333334,87.5,37,0.1,1,10,6
68,0.1,0.31,0.5,9.666666666666666,91.83333333333333,12,0.1,1,10,6
69,0.1,0.31,0.5,9.833333333333334,55.5,27,0.1,0,10,6
70,0.1,0.31,0.5,9.666666666666666,91.33333333333333,14,0.1,1,10,6
71,0.1,0.31,0.5,9.666666666666666,25.333333333333332,12,0.1,0,10,6
72,0.1,0.31,0.5,9.666666666666666,91.66666666666667,14,0.1,1,10,6
73,0.1,0.31,0.5,9.666666666666666,91.33333333333333,14,0.1,1,10,6
74,0.1,0.31,0.5,11.166666666666666,39.666666666666664,109,0.1,0,10,6
75,0.1,0.31,0.5,9.666666666666666,92.0,13,0.1,1,10,6
76,0.1,0.31,0.5,10.5,91.0,15,0.1,1,10,6
77,0.1,0.31,0.5,9.833333333333334,23.666666666666668,17,0.1,0,10,6
78,0.1,0.31,0.5,10.166666666666666,51.0,56,0.1,0,10,6
79,0.1,0.31,0.5,9.833333333333334,92.0,13,0.1,1,10,6
80,0.1,0.31,0.5,12.666666666666666,82.5,55,0.1,1,10,6
81,0.1,0.31,0.5,9.666666666666666,91.5,13,0.1,1,10,6
82,0.1,0.31,0.5,10.166666666666666,90.33333333333333,19,0.1,1,10,6
83,0.1,0.31,0.5,10.0,91.83333333333333,14,0.1,1,10,6
84,0.1,0.31,0.5,10.0,91.0,19,0.1,1,10,6
85,0.1,0.31,0.5,11.0,90.33333333333333,18,0.1,1,10,6
86,0.1,0.31,0.5,9.666666666666666,92.0,13,0.1,1,10,6
87,0.1,0.31,0.5,10.333333333333334,90.33333333333333,17,0.1,1,10,6
88,0.1,0.31,0.5,9.666666666666666,91.5,14,0.1,1,10,6
89,0.1,0.31,0.5,9.666666666666666,92.0,12,0.1,1,10,6
90,0.1,0.31,0.5,10.833333333333334,52.666666666666664,34,0.1,0,10,6
91,0.1,0.31,0.5,10.333333333333334,90.16666666666667,18,0.1,1,10,6
92,0.1,0.31,0.5,9.833333333333334,91.66666666666667,13,0.1,1,10,6
93,0.1,0.31,0.5,9.833333333333334,91.83333333333333,13,0.1,1,10,6
94,0.1,0.31,0.5,10.0,91.5,15,0.1,1,10,6
95,0.1,0.31,0.5,10.333333333333334,89.5,22,0.1,1,10,6
96,0.1,0.31,0.5,10.0,56.833333333333336,22,0.1,0,10,6
97,0.1,0.31,0.5,10.333333333333334,91.0,19,0.1,1,10,6
98,0.1,0.31,0.5,9.666666666666666,92.16666666666667,12,0.1,1,10,6
99,0.1,0.31,0.5,9.666666666666666,-7.333333333333333,15,0.1,0,10,6
100,0.1,0.31,0.5,9.833333333333334,-7.0,11,0.1,0,10,6
101,0.1,0.31,0.5,6.666666666666667,-9.5,17,0.1,0,10,6
102,0.1,0.31,0.5,8.5,17.166666666666668,38,0.1,0,10,6
103,0.1,0.31,0.5,7.666666666666667,16.5,39,0.1,0,10,6
104,0.1,0.31,0.5,7.833333333333333,-15.0,229,0.1,0,10,6
105,0.1,0.31,0.5,8.166666666666666,-7.0,162,0.1,0,10,6
106,0.1,0.31,0.5,7.666666666666667,-36.833333333333336,238,0.1,0,10,6
107,0.1,0.31,0.5,14.333333333333334,28.833333333333332,155,0.1,0,10,6
108,0.1,0.31,0.5,11.0,7.5,75,0.1,0,10,6
109,0.1,0.31,0.5,10.833333333333334,-25.333333333333332,498,0.1,0,10,6
110,0.1,0.31,0.5,11.333333333333334,-15.333333333333334,433,0.1,0,10,6
111,0.1,0.31,0.5,11.166666666666666,29.666666666666668,171,0.1,0,10,6
112,0.1,0.31,0.5,11.666666666666666,-27.833333333333332,209,0.1,0,10,6
113,0.1,0.31,0.5,11.0,45.5,76,0.1,0,10,6
114,0.1,0.31,0.5,11.0,51.833333333333336,34,0.1,0,10,6
115,0.1,0.31,0.5,11.666666666666666,39.0,97,0.1,0,10,6
116,0.1,0.31,0.5,10.666666666666666,5.0,113,0.1,0,10,6
117,0.1,0.31,0.5,11.833333333333334,50.333333333333336,31,0.1,0,10,6
118,0.1,0.31,0.5,10.5,30.166666666666668,170,0.1,0,10,6
119,0.1,0.31,0.5,10.666666666666666,40.0,111,0.1,0,10,6
120,0.1,0.31,0.5,10.666666666666666,35.0,138,0.1,0,10,6
121,0.1,0.31,0.5,11.166666666666666,46.166666666666664,64,0.1,0,10,6
122,0.1,0.31,0.5,10.666666666666666,51.0,46,0.1,0,10,6
123,0.1,0.31,0.5,11.166666666666666,47.5,58,0.1,0,10,6
124,0.1,0.31,0.5,10.666666666666666,55.166666666666664,20,0.1,0,10,6
125,0.1,0.31,0.5,10.666666666666666,37.833333333333336,125,0.1,0,10,6
126,0.1,0.31,0.5,10.666666666666666,46.333333333333336,74,0.1,0,10,6
127,0.1,0.31,0.5,10.833333333333334,-38.166666666666664,583,0.1,0,10,6
128,0.1,0.31,0.5,10.833333333333334,49.0,52,0.1,0,10,6
129,0.1,0.31,0.5,11.666666666666666,54.0,31,0.1,0,10,6
130,0.1,0.31,0.5,12.166666666666666,29.5,140,0.1,0,10,6
131,0.1,0.31,0.5,10.666666666666666,50.833333333333336,47,0.1,0,10,6
132,0.1,0.31,0.5,12.833333333333334,58.666666666666664,194,0.1,1,10,6
133,0.1,0.31,0.5,11.333333333333334,90.5,20,0.1,1,10,6
134,0.1,0.31,0.5,11.666666666666666,89.16666666666667,27,0.1,1,10,6
135,0.1,0.31,0.5,11.333333333333334,90.16666666666667,22,0.1,1,10,6
136,0.1,0.31,0.5,12.0,90.16666666666667,22,0.1,1,10,6
137,0.1,0.31,0.5,11.333333333333334,90.5,20,0.1,1,10,6
138,0.1,0.31,0.5,11.333333333333334,90.33333333333333,21,0.1,1,10,6
139,0.1,0.31,0.5,11.333333333333334,90.16666666666667,20,0.1,1,10,6
140,0.1,0.31,0.5,11.5,89.83333333333333,20,0.1,1,10,6
141,0.1,0.31,0.5,11.666666666666666,48.5,61,0.1,0,10,6
142,0.1,0.31,0.5,11.333333333333334,90.0,21,0.1,1,10,6
143,0.1,0.31,0.5,11.333333333333334,90.33333333333333,21,0.1,1,10,6
144,0.1,0.31,0.5,11.666666666666666,90.33333333333333,21,0.1,1,10,6
145,0.1,0.31,0.5,11.333333333333334,90.16666666666667,20,0.1,1,10,6
146,0.1,0.31,0.5,11.333333333333334,90.5,20,0.1,1,10,6
147,0.1,0.31,0.5,11.333333333333334,90.5,20,0.1,1,10,6
148,0.1,0.31,0.5,11.833333333333334,88.83333333333333,20,0.1,1,10,6
