eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-204.0,164,0.1,0,20,4
1,0.1,0.31,0.5,0.0,-145.25,84,0.1,0,20,4
2,0.1,0.31,0.5,0.0,-178.0,169,0.1,0,20,4
3,0.1,0.31,0.5,0.0,-227.25,359,0.1,0,20,4
4,0.1,0.31,0.5,0.0,-193.5,274,0.1,0,20,4
5,0.1,0.31,0.5,0.0,-202.5,181,0.1,0,20,4
6,0.1,0.31,0.5,0.0,-284.5,394,0.1,0,20,4
7,0.1,0.31,0.5,0.0,-287.0,596,0.1,0,20,4
8,0.1,0.31,0.5,0.0,-221.25,215,0.1,0,20,4
9,0.1,0.31,0.5,7.5,-198.75,336,0.1,0,20,4
10,0.1,0.31,0.5,4.5,-210.5,251,0.1,0,20,4
11,0.1,0.31,0.5,4.5,-242.75,287,0.1,0,20,4
12,0.1,0.31,0.5,4.75,-215.5,344,0.1,0,20,4
13,0.1,0.31,0.5,4.75,-176.5,308,0.1,0,20,4
14,0.1,0.31,0.5,5.25,-176.25,281,0.1,0,20,4
15,0.1,0.31,0.5,4.75,-136.75,263,0.1,0,20,4
16,0.1,0.31,0.5,4.75,-163.0,197,0.1,0,20,4
17,0.1,0.31,0.5,6.0,-277.0,378,0.1,0,20,4
18,0.1,0.31,0.5,4.75,-225.0,287,0.1,0,20,4
19,0.1,0.31,0.5,6.0,-132.25,148,0.1,0,20,4
20,0.1,0.31,0.5,4.75,-117.75,102,0.1,0,20,4
21,0.1,0.31,0.5,31.5,-50.5,179,0.1,0,20,4
22,0.1,0.31,0.5,24.0,-74.75,218,0.1,0,20,4
23,0.1,0.31,0.5,18.5,15.25,52,0.1,0,20,4
24,0.1,0.31,0.5,20.0,18.75,43,0.1,0,20,4
25,0.1,0.31,0.5,28.75,14.5,59,0.1,0,20,4
26,0.1,0.31,0.5,28.25,65.0,55,0.1,1,20,4
27,0.1,0.31,0.5,26.0,70.5,49,0.1,1,20,4
28,0.1,0.31,0.5,26.75,71.0,34,0.1,1,20,4
29,0.1,0.31,0.5,26.0,72.75,43,0.1,1,20,4
30,0.1,0.31,0.5,41.5,33.0,192,0.1,1,20,4
31,0.1,0.31,0.5,35.75,60.25,55,0.1,1,20,4
32,0.1,0.31,0.5,33.5,23.25,34,0.1,0,20,4
33,0.1,0.31,0.5,27.75,69.5,38,0.1,1,20,4
34,0.1,0.31,0.5,25.0,76.25,30,0.1,1,20,4
35,0.1,0.31,0.5,26.25,72.25,35,0.1,1,20,4
36,0.1,0.31,0.5,22.75,78.0,28,0.1,1,20,4
37,0.1,0.31,0.5,27.0,67.5,46,0.1,1,20,4
38,0.1,0.31,0.5,22.75,77.75,26,0.1,1,20,4
39,0.1,0.31,0.5,23.75,74.75,33,0.1,1,20,4
40,0.1,0.31,0.5,28.75,62.0,58,0.1,1,20,4
41,0.1,0.31,0.5,39.0,46.75,90,0.1,1,20,4
42,0.1,0.31,0.5,23.75,75.5,29,0.1,1,20,4
43,0.1,0.31,0.5,26.25,-38.25,267,0.1,0,20,4
44,0.1,0.31,0.5,26.0,68.0,56,0.1,1,20,4
45,0.1,0.31,0.5,25.5,70.5,52,0.1,1,20,4
46,0.1,0.31,0.5,26.25,73.0,42,0.1,1,20,4
47,0.1,0.31,0.5,24.75,73.5,40,0.1,1,20,4
48,0.1,0.31,0.5,24.75,-53.75,128,0.1,0,20,4
49,0.1,0.31,0.5,22.5,-21.75,24,0.1,0,20,4
50,0.1,0.31,0.5,22.25,-12.75,161,0.1,0,20,4
51,0.1,0.31,0.5,19.5,-67.0,115,0.1,0,20,4
52,0.1,0.31,0.5,20.75,16.5,56,0.1,0,20,4
53,0.1,0.31,0.5,19.0,-6.25,161,0.1,0,20,4
54,0.1,0.31,0.5,18.25,-49.5,142,0.1,0,20,4
55,0.1,0.31,0.5,18.5,-53.5,346,0.1,0,20,4
56,0.1,0.31,0.5,18.5,-99.75,333,0.1,0,20,4
57,0.1,0.31,0.5,22.0,-28.75,209,0.1,0,20,4
58,0.1,0.31,0.5,29.5,-34.75,171,0.1,0,20,4
59,0.1,0.31,0.5,21.5,-69.0,193,0.1,0,20,4
60,0.1,0.31,0.5,19.75,4.75,102,0.1,0,20,4
61,0.1,0.31,0.5,17.75,-41.25,300,0.1,0,20,4
62,0.1,0.31,0.5,18.75,-20.0,208,0.1,0,20,4
63,0.1,0.31,0.5,32.75,47.5,145,0.1,1,20,4
64,0.1,0.31,0.5,24.5,75.75,28,0.1,1,20,4
65,0.1,0.31,0.5,25.5,-24.25,33,0.1,0,20,4
66,0.1,0.31,0.5,28.25,-61.25,323,0.1,0,20,4
67,0.1,0.31,0.5,26.5,66.25,66,0.1,1,20,4
68,0.1,0.31,0.5,24.0,-74.0,223,0.1,0,20,4
69,0.1,0.31,0.5,23.75,76.75,32,0.1,1,20,4
70,0.1,0.31,0.5,25.5,75.25,36,0.1,1,20,4
71,0.1,0.31,0.5,24.0,75.25,33,0.1,1,20,4
72,0.1,0.31,0.5,26.25,73.25,47,0.1,1,20,4
73,0.1,0.31,0.5,26.5,71.25,42,0.1,1,20,4
74,0.1,0.31,0.5,24.5,74.5,35,0.1,1,20,4
75,0.1,0.31,0.5,24.5,77.5,28,0.1,1,20,4
76,0.1,0.31,0.5,25.0,74.75,34,0.1,1,20,4
77,0.1,0.31,0.5,25.0,73.5,33,0.1,1,20,4
78,0.1,0.31,0.5,25.25,73.5,38,0.1,1,20,4
79,0.1,0.31,0.5,25.0,76.25,28,0.1,1,20,4
80,0.1,0.31,0.5,24.75,10.25,86,0.1,0,20,4
81,0.1,0.31,0.5,26.75,28.75,40,0.1,0,20,4
82,0.1,0.31,0.5,24.5,76.0,31,0.1,1,20,4
83,0.1,0.31,0.5,24.25,76.5,30,0.1,1,20,4
84,0.1,0.31,0.5,25.5,72.75,32,0.1,1,20,4
85,0.1,0.31,0.5,25.5,25.5,42,0.1,0,20,4
86,0.1,0.31,0.5,25.5,5.25,108,0.1,0,20,4
87,0.1,0.31,0.5,26.0,71.5,43,0.1,1,20,4
88,0.1,0.31,0.5,25.25,5.75,117,0.1,0,20,4
89,0.1,0.31,0.5,25.75,72.25,36,0.1,1,20,4
90,0.1,0.31,0.5,24.5,12.75,73,0.1,0,20,4
91,0.1,0.31,0.5,28.0,14.5,73,0.1,0,20,4
92,0.1,0.31,0.5,24.0,76.75,28,0.1,1,20,4
93,0.1,0.31,0.5,23.25,27.0,29,0.1,0,20,4
94,0.1,0.31,0.5,23.75,77.0,30,0.1,1,20,4
95,0.1,0.31,0.5,24.25,11.5,73,0.1,0,20,4
96,0.1,0.31,0.5,24.0,76.5,29,0.1,1,20,4
97,0.1,0.31,0.5,24.0,76.0,34,0.1,1,20,4
98,0.1,0.31,0.5,24.25,77.0,30,0.1,1,20,4
99,0.1,0.31,0.5,25.0,29.25,30,0.1,0,20,4
100,0.1,0.31,0.5,24.0,30.25,31,0.1,0,20,4
101,0.1,0.31,0.5,26.0,23.0,48,0.1,0,20,4
102,0.1,0.31,0.5,23.25,30.5,28,0.1,0,20,4
103,0.1,0.31,0.5,23.25,23.0,37,0.1,0,20,4
104,0.1,0.31,0.5,24.5,-27.25,41,0.1,0,20,4
105,0.1,0.31,0.5,23.0,28.75,30,0.1,0,20,4
106,0.1,0.31,0.5,31.25,54.75,111,0.1,1,20,4
107,0.1,0.31,0.5,29.75,66.0,61,0.1,1,20,4
108,0.1,0.31,0.5,26.0,73.25,32,0.1,1,20,4
109,0.1,0.31,0.5,26.0,73.75,37,0.1,1,20,4
110,0.1,0.31,0.5,27.0,21.75,40,0.1,0,20,4
111,0.1,0.31,0.5,25.75,26.5,29,0.1,0,20,4
112,0.1,0.31,0.5,26.0,74.75,33,0.1,1,20,4
113,0.1,0.31,0.5,27.75,69.25,53,0.1,1,20,4
114,0.1,0.31,0.5,34.5,-51.75,260,0.1,0,20,4
115,0.1,0.31,0.5,26.5,24.5,29,0.1,0,20,4
116,0.1,0.31,0.5,24.5,76.0,31,0.1,1,20,4
117,0.1,0.31,0.5,24.5,-45.0,116,0.1,0,20,4
118,0.1,0.31,0.5,25.0,76.25,33,0.1,1,20,4
119,0.1,0.31,0.5,27.75,71.75,42,0.1,1,20,4
120,0.1,0.31,0.5,31.75,55.75,111,0.1,1,20,4
121,0.1,0.31,0.5,24.5,77.75,27,0.1,1,20,4
122,0.1,0.31,0.5,25.25,73.25,37,0.1,1,20,4
123,0.1,0.31,0.5,24.0,77.5,26,0.1,1,20,4
124,0.1,0.31,0.5,24.0,25.0,34,0.1,0,20,4
125,0.1,0.31,0.5,23.75,77.75,26,0.1,1,20,4
126,0.1,0.31,0.5,23.75,77.25,26,0.1,1,20,4
127,0.1,0.31,0.5,24.0,77.0,27,0.1,1,20,4
128,0.1,0.31,0.5,25.25,74.75,36,0.1,1,20,4
129,0.1,0.31,0.5,25.5,-93.25,260,0.1,0,20,4
130,0.1,0.31,0.5,25.75,74.0,38,0.1,1,20,4
131,0.1,0.31,0.5,25.75,75.25,29,0.1,1,20,4
132,0.1,0.31,0.5,25.25,77.25,31,0.1,1,20,4
133,0.1,0.31,0.5,26.5,71.25,37,0.1,1,20,4
134,0.1,0.31,0.5,25.25,74.75,34,0.1,1,20,4
135,0.1,0.31,0.5,25.75,75.5,28,0.1,1,20,4
136,0.1,0.31,0.5,24.75,75.0,29,0.1,1,20,4
137,0.1,0.31,0.5,27.25,67.75,45,0.1,1,20,4
138,0.1,0.31,0.5,24.75,76.5,28,0.1,1,20,4
139,0.1,0.31,0.5,25.25,75.25,34,0.1,1,20,4
