eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,-274,-373,-242,-166,-287,-578,479,0.1,0,25,6
1,0.1,0.31,0.5,0,0,0,0,0,0,-205,-121,-157,-163,-527,-426,428,0.1,0,25,6
2,0.1,0.31,0.5,0,0,0,0,154,0,-707,-518,-212,-371,-335,-281,608,0.1,0,25,6
3,0.1,0.31,0.5,0,0,0,0,63,91,-191,-518,-382,-287,29,-151,419,0.1,0,25,6
4,0.1,0.31,0.5,0,0,0,0,63,21,-188,-286,-569,-202,-130,80,470,0.1,0,25,6
5,0.1,0.31,0.5,0,0,0,0,64,21,-275,-469,-279,-201,22,79,370,0.1,0,25,6
6,0.1,0.31,0.5,0,0,0,0,59,21,-384,-172,-555,-157,-134,-185,456,0.1,0,25,6
7,0.1,0.31,0.5,0,0,0,0,57,23,-178,-439,-401,-167,33,75,340,0.1,0,25,6
8,0.1,0.31,0.5,0,0,0,0,52,27,-286,-227,-469,-371,44,61,370,0.1,0,25,6
9,0.1,0.31,0.5,0,0,0,0,51,21,-483,-201,-771,-314,39,81,672,0.1,0,25,6
10,0.1,0.31,0.5,0,0,0,0,50,19,-292,-720,-238,-404,46,-124,621,0.1,0,25,6
11,0.1,0.31,0.5,0,0,0,0,50,16,-182,-481,-793,-453,48,-158,694,0.1,0,25,6
12,0.1,0.31,0.5,0,0,0,0,55,28,-427,-491,-263,-244,38,60,392,0.1,0,25,6
13,0.1,0.31,0.5,0,0,91,0,55,28,-392,-599,-133,-388,-204,-218,500,0.1,0,25,6
14,0.1,0.31,0.5,0,0,32,0,49,23,-353,-391,64,-555,46,76,456,0.1,0,25,6
15,0.1,0.31,0.5,132,85,41,0,51,21,-261,-117,54,-143,44,75,362,0.1,0,25,6
16,0.1,0.31,0.5,67,30,36,0,50,20,-9,68,65,-441,47,81,342,0.1,0,25,6
17,0.1,0.31,0.5,67,51,30,0,56,19,-273,17,-176,-218,38,80,174,0.1,0,25,6
18,0.1,0.31,0.5,38,31,36,0,49,16,-154,69,38,-775,46,85,676,0.1,0,25,6
19,0.1,0.31,0.5,36,31,32,0,47,16,-231,71,66,-142,49,-235,136,0.1,0,25,6
20,0.1,0.31,0.5,35,33,31,0,57,17,-174,63,66,-487,32,82,388,0.1,0,25,6
21,0.1,0.31,0.5,35,31,32,0,48,21,-432,59,67,-230,50,74,333,0.1,0,25,6
22,0.1,0.31,0.5,34,55,31,86,47,17,-278,-1,74,-177,53,85,278,0.1,0,25,6
23,0.1,0.31,0.5,29,33,39,39,47,18,-230,66,52,61,-196,83,131,0.1,0,25,6
24,0.1,0.31,0.5,29,31,40,40,47,39,-252,69,57,46,52,38,153,0.1,0,25,6
25,0.1,0.31,0.5,27,31,36,40,48,28,-1238,-146,51,-149,43,58,1139,0.1,0,25,6
26,0.1,0.31,0.5,27,35,51,38,55,21,-234,60,27,47,38,-143,135,0.1,0,25,6
27,0.1,0.31,0.5,121,32,33,38,50,21,-204,67,65,-201,47,-243,305,0.1,0,25,6
28,0.1,0.31,0.5,120,70,34,29,47,21,-168,-106,63,68,54,-171,207,0.1,0,25,6
29,0.1,0.31,0.5,47,31,34,36,47,20,52,73,64,54,-163,-186,87,0.1,0,25,6
30,0.1,0.31,0.5,46,35,34,32,50,60,49,61,66,67,39,-23,124,0.1,1,25,6
31,0.1,0.31,0.5,52,31,33,32,54,24,26,68,69,-166,33,77,75,0.1,0,25,6
32,0.1,0.31,0.5,47,31,33,37,59,106,44,69,67,51,19,-202,303,0.1,1,25,6
33,0.1,0.31,0.5,90,31,34,169,59,25,-51,70,64,-506,-290,75,607,0.1,0,25,6
34,0.1,0.31,0.5,89,53,46,58,59,27,-88,-1,40,-11,-227,68,189,0.1,0,25,6
35,0.1,0.31,0.5,48,33,33,62,47,25,55,67,69,-251,51,75,352,0.1,1,25,6
36,0.1,0.31,0.5,48,31,32,68,74,23,49,70,-189,-73,-41,-267,174,0.1,0,25,6
37,0.1,0.31,0.5,54,43,48,73,66,32,50,35,23,-237,-50,43,338,0.1,1,25,6
38,0.1,0.31,0.5,54,80,37,77,64,25,-151,-84,60,-142,-345,74,246,0.1,0,25,6
39,0.1,0.31,0.5,49,71,37,65,52,34,45,-25,-735,39,-18,50,636,0.1,0,25,6
40,0.1,0.31,0.5,54,40,41,69,56,29,48,56,43,-122,18,67,223,0.1,1,25,6
41,0.1,0.31,0.5,75,33,42,67,49,27,-24,62,33,-497,34,73,398,0.1,0,25,6
42,0.1,0.31,0.5,35,31,33,44,54,27,65,71,69,14,32,75,87,0.1,1,25,6
43,0.1,0.31,0.5,131,31,59,42,55,49,-361,-402,37,27,-127,45,462,0.1,0,25,6
