eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,-164,-105,-159,-129,65,0.1,0,10,4
1,0.1,0.31,0.5,0,0,0,0,-137,-117,-147,-107,48,0.1,0,10,4
2,0.1,0.31,0.5,0,0,10,15,-114,-141,80,80,42,0.1,0,10,4
3,0.1,0.31,0.5,0,0,9,14,-121,-110,92,88,22,0.1,0,10,4
4,0.1,0.31,0.5,0,0,9,14,-121,-131,93,88,32,0.1,0,10,4
5,0.1,0.31,0.5,0,0,9,14,-107,-138,93,85,39,0.1,0,10,4
6,0.1,0.31,0.5,0,0,9,14,-131,-115,93,88,32,0.1,0,10,4
7,0.1,0.31,0.5,0,0,9,15,-118,-129,91,87,30,0.1,0,10,4
8,0.1,0.31,0.5,0,0,9,15,-189,-106,92,86,90,0.1,0,10,4
9,0.1,0.31,0.5,0,0,9,14,-114,-189,91,88,90,0.1,0,10,4
10,0.1,0.31,0.5,0,15,12,14,-164,56,93,85,65,0.1,0,10,4
11,0.1,0.31,0.5,0,12,9,14,-115,90,93,88,16,0.1,0,10,4
12,0.1,0.31,0.5,0,12,9,14,-142,90,93,88,43,0.1,0,10,4
13,0.1,0.31,0.5,0,12,9,14,-132,90,93,-190,91,0.1,0,10,4
14,0.1,0.31,0.5,0,12,9,12,-118,89,92,90,19,0.1,0,10,4
15,0.1,0.31,0.5,0,12,9,23,-187,88,93,45,88,0.1,0,10,4
16,0.1,0.31,0.5,0,12,9,14,-145,90,93,88,46,0.1,0,10,4
17,0.1,0.31,0.5,0,12,9,15,-154,88,-113,86,55,0.1,0,10,4
18,0.1,0.31,0.5,0,12,11,14,-118,90,88,87,19,0.1,0,10,4
19,0.1,0.31,0.5,26,12,14,14,-33,88,82,87,134,0.1,1,10,4
20,0.1,0.31,0.5,13,12,9,16,86,90,93,83,18,0.1,1,10,4
21,0.1,0.31,0.5,12,13,10,12,87,88,89,90,14,0.1,1,10,4
22,0.1,0.31,0.5,12,9,11,12,-121,92,86,90,22,0.1,0,10,4
23,0.1,0.31,0.5,12,10,11,12,89,90,91,90,12,0.1,1,10,4
24,0.1,0.31,0.5,13,10,11,12,84,91,91,90,17,0.1,1,10,4
25,0.1,0.31,0.5,12,11,11,13,86,89,91,86,15,0.1,1,10,4
26,0.1,0.31,0.5,12,10,11,12,89,90,91,90,12,0.1,1,10,4
27,0.1,0.31,0.5,12,10,11,12,89,92,91,-102,12,0.1,0,10,4
28,0.1,0.31,0.5,13,10,20,14,89,92,61,83,40,0.1,1,10,4
29,0.1,0.31,0.5,12,10,11,12,89,92,91,90,12,0.1,1,10,4
30,0.1,0.31,0.5,12,10,11,12,88,-108,91,90,13,0.1,0,10,4
31,0.1,0.31,0.5,12,10,12,12,88,92,89,90,13,0.1,1,10,4
32,0.1,0.31,0.5,13,11,11,12,88,86,90,90,15,0.1,1,10,4
33,0.1,0.31,0.5,12,10,11,12,87,91,91,90,14,0.1,1,10,4
34,0.1,0.31,0.5,12,10,11,12,-110,90,91,87,14,0.1,0,10,4
35,0.1,0.31,0.5,12,10,11,12,89,90,93,90,12,0.1,1,10,4
36,0.1,0.31,0.5,12,10,11,12,85,92,90,90,16,0.1,1,10,4
37,0.1,0.31,0.5,15,10,11,12,89,91,91,90,12,0.1,1,10,4
38,0.1,0.31,0.5,10,10,11,12,89,92,90,90,12,0.1,1,10,4
39,0.1,0.31,0.5,12,10,11,12,88,92,91,86,15,0.1,1,10,4
40,0.1,0.31,0.5,11,10,11,12,89,90,90,88,13,0.1,1,10,4
41,0.1,0.31,0.5,11,10,14,12,89,91,77,90,24,0.1,1,10,4
42,0.1,0.31,0.5,11,10,10,12,91,-111,86,89,15,0.1,0,10,4
43,0.1,0.31,0.5,11,10,11,13,91,92,90,85,16,0.1,1,10,4
44,0.1,0.31,0.5,11,15,11,12,90,65,88,89,36,0.1,1,10,4
45,0.1,0.31,0.5,13,10,11,13,90,92,89,85,16,0.1,1,10,4
46,0.1,0.31,0.5,11,10,11,12,89,-112,93,90,13,0.1,0,10,4
47,0.1,0.31,0.5,11,10,11,12,91,92,91,83,18,0.1,1,10,4
48,0.1,0.31,0.5,11,10,11,11,91,90,91,90,11,0.1,1,10,4
49,0.1,0.31,0.5,14,10,11,11,67,92,89,-104,34,0.1,0,10,4
50,0.1,0.31,0.5,11,10,11,12,90,92,87,90,14,0.1,1,10,4
