eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,23,0,0,0,0,-190,33,-109,-127,-122,-121,91,0.1,0,10,6
1,0.1,0.31,0.5,0,10,0,0,0,0,-114,90,-149,-106,-126,-221,122,0.1,0,10,6
2,0.1,0.31,0.5,0,10,0,0,26,0,-152,91,-128,-112,42,-152,59,0.1,0,10,6
3,0.1,0.31,0.5,0,17,0,14,11,15,-108,71,-130,73,89,64,37,0.1,0,10,6
4,0.1,0.31,0.5,0,10,0,12,11,11,-157,92,-114,90,-116,91,58,0.1,0,10,6
5,0.1,0.31,0.5,0,17,0,15,7,11,-121,73,-199,78,-118,91,100,0.1,0,10,6
6,0.1,0.31,0.5,0,10,0,12,14,11,-143,92,-168,89,78,-106,69,0.1,0,10,6
7,0.1,0.31,0.5,0,18,14,12,12,15,-225,68,58,90,90,84,126,0.1,0,10,6
8,0.1,0.31,0.5,0,12,12,12,12,11,-117,90,85,90,-137,91,38,0.1,0,10,6
9,0.1,0.31,0.5,0,12,9,12,8,11,-198,80,92,90,-109,91,99,0.1,0,10,6
10,0.1,0.31,0.5,0,10,13,12,17,11,-225,92,82,90,71,91,126,0.1,0,10,6
11,0.1,0.31,0.5,0,10,13,12,12,32,-187,-108,-197,89,90,43,98,0.1,0,10,6
12,0.1,0.31,0.5,0,14,9,12,11,11,-151,82,93,89,90,89,52,0.1,0,10,6
13,0.1,0.31,0.5,0,10,13,12,12,10,-193,92,81,90,88,89,94,0.1,0,10,6
14,0.1,0.31,0.5,0,10,13,12,12,10,-130,90,-115,88,87,-111,31,0.1,0,10,6
15,0.1,0.31,0.5,36,10,10,12,13,10,-44,-117,89,90,85,91,145,0.1,0,10,6
16,0.1,0.31,0.5,14,11,9,12,12,9,86,90,93,-110,90,91,15,0.1,0,10,6
17,0.1,0.31,0.5,15,11,9,12,13,9,85,84,93,-106,84,93,17,0.1,0,10,6
18,0.1,0.31,0.5,15,10,9,12,20,12,85,92,93,90,75,83,26,0.1,1,10,6
19,0.1,0.31,0.5,14,10,9,12,14,9,86,92,92,90,87,93,15,0.1,1,10,6
20,0.1,0.31,0.5,14,10,9,13,13,9,87,90,93,88,87,93,14,0.1,1,10,6
21,0.1,0.31,0.5,15,10,9,12,14,10,85,90,93,90,88,91,16,0.1,1,10,6
22,0.1,0.31,0.5,14,12,9,11,14,9,87,88,93,90,88,90,14,0.1,1,10,6
23,0.1,0.31,0.5,14,10,11,11,14,9,87,92,88,-111,88,91,14,0.1,0,10,6
24,0.1,0.31,0.5,16,10,9,9,14,9,80,-144,93,-113,83,93,45,0.1,0,10,6
25,0.1,0.31,0.5,18,10,11,17,14,9,79,92,91,-39,86,93,140,0.1,1,10,6
26,0.1,0.31,0.5,14,10,9,12,14,9,87,92,91,89,88,93,14,0.1,1,10,6
27,0.1,0.31,0.5,14,10,9,12,14,11,86,91,92,90,88,93,15,0.1,1,10,6
28,0.1,0.31,0.5,15,10,9,12,15,9,82,91,93,90,84,93,19,0.1,1,10,6
29,0.1,0.31,0.5,15,10,9,12,14,16,87,92,92,-109,88,70,31,0.1,0,10,6
30,0.1,0.31,0.5,15,10,12,12,23,9,87,91,93,88,61,87,40,0.1,1,10,6
31,0.1,0.31,0.5,14,10,9,12,14,9,87,90,91,-111,88,93,14,0.1,0,10,6
32,0.1,0.31,0.5,16,10,11,12,14,9,81,91,85,90,88,93,20,0.1,1,10,6
33,0.1,0.31,0.5,14,10,9,12,14,9,86,92,93,89,88,91,15,0.1,1,10,6
34,0.1,0.31,0.5,14,10,10,12,14,9,85,92,91,90,87,93,16,0.1,1,10,6
35,0.1,0.31,0.5,15,10,9,12,14,9,82,89,93,87,86,93,19,0.1,1,10,6
36,0.1,0.31,0.5,14,10,9,12,14,9,87,-109,93,90,88,93,14,0.1,0,10,6
37,0.1,0.31,0.5,14,10,9,12,14,9,85,92,93,90,-114,93,16,0.1,0,10,6
38,0.1,0.31,0.5,14,10,9,12,14,9,86,91,93,88,88,93,15,0.1,1,10,6
39,0.1,0.31,0.5,15,25,9,12,14,10,87,54,93,89,86,95,47,0.1,1,10,6
40,0.1,0.31,0.5,15,10,15,14,17,9,84,92,73,89,78,92,28,0.1,1,10,6
41,0.1,0.31,0.5,15,10,9,12,16,11,87,92,93,90,84,87,17,0.1,1,10,6
42,0.1,0.31,0.5,15,10,9,13,13,9,87,92,93,87,86,93,15,0.1,1,10,6
43,0.1,0.31,0.5,16,10,9,12,19,9,84,90,93,90,73,-140,41,0.1,0,10,6
44,0.1,0.31,0.5,15,10,9,13,14,9,87,92,93,87,86,92,15,0.1,1,10,6
45,0.1,0.31,0.5,15,10,9,12,14,9,87,87,93,90,88,91,14,0.1,1,10,6
46,0.1,0.31,0.5,15,11,9,12,14,9,84,91,93,90,88,93,17,0.1,1,10,6
47,0.1,0.31,0.5,14,10,9,13,14,9,86,92,91,90,88,93,15,0.1,1,10,6
48,0.1,0.31,0.5,15,10,9,12,14,9,84,92,92,89,88,93,17,0.1,1,10,6
49,0.1,0.31,0.5,24,11,9,12,14,9,70,89,93,90,88,93,31,0.1,1,10,6
50,0.1,0.31,0.5,14,11,9,12,14,9,87,92,93,90,88,93,14,0.1,1,10,6
51,0.1,0.31,0.5,14,10,9,12,14,10,87,91,93,-109,88,91,14,0.1,0,10,6
52,0.1,0.31,0.5,15,10,9,12,14,9,87,92,92,90,85,93,16,0.1,1,10,6
53,0.1,0.31,0.5,15,10,9,12,15,9,87,90,93,90,85,93,16,0.1,1,10,6
54,0.1,0.31,0.5,15,10,9,12,28,9,-121,-135,93,90,60,93,41,0.1,0,10,6
55,0.1,0.31,0.5,15,10,15,12,14,12,85,92,74,-110,88,83,27,0.1,0,10,6
56,0.1,0.31,0.5,20,10,9,12,16,9,78,90,93,90,84,93,23,0.1,1,10,6
57,0.1,0.31,0.5,15,10,9,12,14,9,87,-148,93,89,85,92,49,0.1,0,10,6
58,0.1,0.31,0.5,14,10,9,12,13,9,87,91,91,87,87,91,14,0.1,1,10,6
59,0.1,0.31,0.5,14,11,9,12,14,9,86,92,93,87,88,93,15,0.1,1,10,6
60,0.1,0.31,0.5,15,12,9,12,14,9,87,86,92,90,87,93,15,0.1,1,10,6
61,0.1,0.31,0.5,14,10,9,12,14,9,87,92,93,87,88,93,14,0.1,1,10,6
62,0.1,0.31,0.5,15,10,9,13,14,9,83,92,93,85,85,93,18,0.1,1,10,6
63,0.1,0.31,0.5,15,10,9,12,17,11,84,91,93,87,79,91,22,0.1,1,10,6
64,0.1,0.31,0.5,14,10,9,12,13,9,87,92,93,90,87,93,14,0.1,1,10,6
65,0.1,0.31,0.5,15,10,9,12,13,9,87,92,93,90,-127,93,28,0.1,0,10,6
66,0.1,0.31,0.5,20,10,11,12,14,9,75,92,91,90,88,93,26,0.1,1,10,6
67,0.1,0.31,0.5,14,10,9,12,14,9,85,92,93,-110,88,93,16,0.1,0,10,6
68,0.1,0.31,0.5,18,10,9,12,14,9,76,92,93,90,-102,93,25,0.1,0,10,6
69,0.1,0.31,0.5,21,10,9,14,14,9,73,92,92,84,88,93,28,0.1,1,10,6
70,0.1,0.31,0.5,14,10,9,12,14,9,87,92,93,90,88,93,14,0.1,1,10,6
