eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,14,-150,-114,-135,-110,-113,-103,-168,80,69,0.1,0,10,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,10,-104,-104,-127,-104,-111,-112,-105,92,28,0.1,0,10,8
2,0.1,0.31,0.5,0,0,0,0,0,9,0,11,-122,-121,-160,-123,-125,91,-112,85,61,0.1,0,10,8
3,0.1,0.31,0.5,0,0,0,0,0,9,0,11,-149,-136,-110,-131,-116,90,-123,92,50,0.1,0,10,8
4,0.1,0.31,0.5,0,0,0,0,0,9,0,16,-141,-108,-107,-197,-109,93,-104,82,98,0.1,0,10,8
5,0.1,0.31,0.5,0,0,0,0,0,12,0,10,-107,-133,-111,-106,-115,85,-112,92,34,0.1,0,10,8
6,0.1,0.31,0.5,0,0,0,0,0,9,0,13,-149,-140,-124,-139,-128,91,-114,84,50,0.1,0,10,8
7,0.1,0.31,0.5,0,0,0,0,0,9,14,10,-119,-147,-126,-131,-132,93,84,92,48,0.1,0,10,8
8,0.1,0.31,0.5,0,0,15,0,0,9,18,10,-134,-133,26,-151,-149,93,70,92,75,0.1,0,10,8
9,0.1,0.31,0.5,0,0,9,0,0,9,17,11,-150,-126,93,-125,-111,93,80,90,51,0.1,0,10,8
10,0.1,0.31,0.5,0,0,9,0,0,9,17,10,-126,-145,93,-130,-109,-101,83,92,46,0.1,0,10,8
11,0.1,0.31,0.5,0,0,9,26,0,9,17,9,-130,-120,93,10,-165,93,81,-107,91,0.1,0,10,8
12,0.1,0.31,0.5,0,0,9,14,0,9,17,9,-164,-109,92,88,-122,93,83,-110,65,0.1,0,10,8
13,0.1,0.31,0.5,0,0,9,14,0,9,17,10,-102,-164,93,85,-113,93,84,92,65,0.1,0,10,8
14,0.1,0.31,0.5,0,0,12,14,0,9,19,10,-133,-117,89,87,-147,93,77,92,48,0.1,0,10,8
15,0.1,0.31,0.5,0,0,9,16,0,9,17,10,-149,-139,93,84,-121,95,85,92,50,0.1,0,10,8
16,0.1,0.31,0.5,0,0,9,14,0,9,17,10,-134,-163,92,83,-165,93,85,92,66,0.1,0,10,8
17,0.1,0.31,0.5,25,0,10,14,0,9,17,10,42,-145,90,90,-149,92,77,92,59,0.1,0,10,8
18,0.1,0.31,0.5,15,0,9,22,11,9,17,10,87,-129,93,57,85,91,83,-109,44,0.1,0,10,8
19,0.1,0.31,0.5,15,0,9,14,11,9,17,10,87,-142,93,82,-106,-105,85,92,43,0.1,0,10,8
20,0.1,0.31,0.5,15,16,9,14,9,9,17,10,87,49,93,88,91,92,82,90,52,0.1,1,10,8
21,0.1,0.31,0.5,15,16,9,14,15,9,17,10,86,-111,93,88,76,91,83,92,25,0.1,0,10,8
22,0.1,0.31,0.5,19,10,9,12,10,9,17,11,64,92,93,85,92,93,83,89,37,0.1,1,10,8
23,0.1,0.31,0.5,20,10,9,12,10,9,17,10,65,92,93,-149,92,93,85,90,50,0.1,0,10,8
24,0.1,0.31,0.5,13,10,9,12,10,9,17,10,89,92,-131,90,92,93,89,90,32,0.1,0,10,8
25,0.1,0.31,0.5,13,10,9,12,10,9,17,10,89,92,93,90,92,93,85,92,16,0.1,1,10,8
26,0.1,0.31,0.5,13,10,9,12,11,9,17,10,89,90,92,90,90,93,77,91,24,0.1,1,10,8
27,0.1,0.31,0.5,13,10,9,19,10,10,17,10,89,92,93,68,92,91,84,92,33,0.1,1,10,8
28,0.1,0.31,0.5,13,10,9,12,10,9,17,10,-129,92,92,88,92,95,85,92,30,0.1,0,10,8
29,0.1,0.31,0.5,13,11,9,13,10,9,16,11,89,89,91,86,90,93,81,94,20,0.1,1,10,8
30,0.1,0.31,0.5,13,10,9,13,10,9,16,10,-108,92,91,87,92,-105,85,91,16,0.1,0,10,8
31,0.1,0.31,0.5,13,10,9,12,10,7,19,10,89,92,91,90,92,95,77,90,24,0.1,1,10,8
32,0.1,0.31,0.5,13,10,9,12,10,7,17,10,89,92,92,90,92,-108,89,91,12,0.1,0,10,8
