eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-132,-197,98,0.1,0,15,2
1,0.1,0.31,0.5,0,28,-134,30,71,0.1,0,15,2
2,0.1,0.31,0.5,0,23,-128,76,29,0.1,0,15,2
3,0.1,0.31,0.5,0,20,-148,80,49,0.1,0,15,2
4,0.1,0.31,0.5,0,26,-135,70,36,0.1,0,15,2
5,0.1,0.31,0.5,0,49,-144,29,72,0.1,0,15,2
6,0.1,0.31,0.5,0,20,-222,81,123,0.1,0,15,2
7,0.1,0.31,0.5,0,23,-179,75,80,0.1,0,15,2
8,0.1,0.31,0.5,0,20,-155,76,56,0.1,0,15,2
9,0.1,0.31,0.5,0,17,-114,81,20,0.1,0,15,2
10,0.1,0.31,0.5,0,17,-131,83,32,0.1,0,15,2
11,0.1,0.31,0.5,0,17,-159,-149,60,0.1,0,15,2
12,0.1,0.31,0.5,51,20,-28,79,129,0.1,1,15,2
13,0.1,0.31,0.5,32,17,66,85,35,0.1,1,15,2
14,0.1,0.31,0.5,33,17,58,-140,43,0.1,0,15,2
15,0.1,0.31,0.5,33,17,60,84,41,0.1,1,15,2
16,0.1,0.31,0.5,32,17,65,84,36,0.1,1,15,2
17,0.1,0.31,0.5,42,17,32,81,69,0.1,1,15,2
18,0.1,0.31,0.5,39,17,-128,79,29,0.1,0,15,2
19,0.1,0.31,0.5,33,18,58,82,43,0.1,1,15,2
20,0.1,0.31,0.5,33,17,60,83,41,0.1,1,15,2
21,0.1,0.31,0.5,36,18,60,82,41,0.1,1,15,2
22,0.1,0.31,0.5,34,17,61,85,40,0.1,1,15,2
23,0.1,0.31,0.5,32,17,64,85,37,0.1,1,15,2
24,0.1,0.31,0.5,56,22,-26,71,127,0.1,1,15,2
25,0.1,0.31,0.5,32,22,65,75,36,0.1,1,15,2
26,0.1,0.31,0.5,37,17,56,83,45,0.1,1,15,2
27,0.1,0.31,0.5,30,19,68,79,33,0.1,1,15,2
28,0.1,0.31,0.5,47,21,32,81,69,0.1,1,15,2
29,0.1,0.31,0.5,28,17,69,84,32,0.1,1,15,2
30,0.1,0.31,0.5,36,17,45,85,56,0.1,1,15,2
31,0.1,0.31,0.5,28,17,70,83,31,0.1,1,15,2
32,0.1,0.31,0.5,29,17,66,83,35,0.1,1,15,2
33,0.1,0.31,0.5,29,17,-125,85,26,0.1,0,15,2
34,0.1,0.31,0.5,28,20,72,77,29,0.1,1,15,2
35,0.1,0.31,0.5,28,17,70,83,31,0.1,1,15,2
36,0.1,0.31,0.5,29,17,69,82,32,0.1,1,15,2
37,0.1,0.31,0.5,31,17,71,82,30,0.1,1,15,2
38,0.1,0.31,0.5,28,17,71,84,30,0.1,1,15,2
39,0.1,0.31,0.5,28,17,70,84,31,0.1,1,15,2
40,0.1,0.31,0.5,30,21,65,81,36,0.1,1,15,2
41,0.1,0.31,0.5,63,17,-9,83,110,0.1,1,15,2
42,0.1,0.31,0.5,29,17,73,-130,31,0.1,0,15,2
43,0.1,0.31,0.5,38,23,54,60,47,0.1,1,15,2
44,0.1,0.31,0.5,28,20,70,84,31,0.1,1,15,2
45,0.1,0.31,0.5,30,35,69,29,72,0.1,1,15,2
46,0.1,0.31,0.5,28,17,74,82,27,0.1,1,15,2
47,0.1,0.31,0.5,29,17,69,84,32,0.1,1,15,2
48,0.1,0.31,0.5,30,17,70,-169,70,0.1,0,15,2
49,0.1,0.31,0.5,28,17,71,85,30,0.1,1,15,2
50,0.1,0.31,0.5,37,17,56,85,45,0.1,1,15,2
51,0.1,0.31,0.5,29,17,71,85,30,0.1,1,15,2
52,0.1,0.31,0.5,28,17,71,85,30,0.1,1,15,2
53,0.1,0.31,0.5,28,18,69,78,32,0.1,1,15,2
54,0.1,0.31,0.5,28,17,-136,85,37,0.1,0,15,2
55,0.1,0.31,0.5,29,21,69,72,32,0.1,1,15,2
56,0.1,0.31,0.5,28,18,72,83,29,0.1,1,15,2
57,0.1,0.31,0.5,33,18,60,86,41,0.1,1,15,2
58,0.1,0.31,0.5,33,18,-124,80,25,0.1,0,15,2
59,0.1,0.31,0.5,28,17,73,85,28,0.1,1,15,2
60,0.1,0.31,0.5,28,18,73,87,28,0.1,1,15,2
61,0.1,0.31,0.5,29,17,71,-160,61,0.1,0,15,2
62,0.1,0.31,0.5,29,15,-115,87,16,0.1,0,15,2
63,0.1,0.31,0.5,38,15,51,86,50,0.1,1,15,2
64,0.1,0.31,0.5,29,15,67,86,34,0.1,1,15,2
65,0.1,0.31,0.5,30,17,75,81,26,0.1,1,15,2
66,0.1,0.31,0.5,30,15,-124,87,25,0.1,0,15,2
67,0.1,0.31,0.5,26,15,73,87,28,0.1,1,15,2
68,0.1,0.31,0.5,29,16,65,85,36,0.1,1,15,2
69,0.1,0.31,0.5,32,15,64,87,37,0.1,1,15,2
70,0.1,0.31,0.5,26,15,74,85,27,0.1,1,15,2
71,0.1,0.31,0.5,28,24,73,73,28,0.1,1,15,2
72,0.1,0.31,0.5,27,15,71,85,30,0.1,1,15,2
73,0.1,0.31,0.5,26,15,71,87,30,0.1,1,15,2
74,0.1,0.31,0.5,26,15,-118,-182,83,0.1,0,15,2
75,0.1,0.31,0.5,26,15,75,85,26,0.1,1,15,2
76,0.1,0.31,0.5,28,15,71,85,30,0.1,1,15,2
77,0.1,0.31,0.5,26,15,74,85,27,0.1,1,15,2
78,0.1,0.31,0.5,26,15,74,-124,27,0.1,0,15,2
79,0.1,0.31,0.5,26,15,73,87,28,0.1,1,15,2
80,0.1,0.31,0.5,26,15,74,87,27,0.1,1,15,2
81,0.1,0.31,0.5,26,15,75,87,26,0.1,1,15,2
82,0.1,0.31,0.5,26,15,-116,87,17,0.1,0,15,2
83,0.1,0.31,0.5,26,15,74,87,27,0.1,1,15,2
84,0.1,0.31,0.5,26,17,75,84,26,0.1,1,15,2
85,0.1,0.31,0.5,26,18,72,80,29,0.1,1,15,2
86,0.1,0.31,0.5,31,15,63,87,38,0.1,1,15,2
87,0.1,0.31,0.5,26,15,71,87,30,0.1,1,15,2
88,0.1,0.31,0.5,26,15,73,87,28,0.1,1,15,2
89,0.1,0.31,0.5,26,15,74,86,27,0.1,1,15,2
90,0.1,0.31,0.5,26,15,74,87,27,0.1,1,15,2
91,0.1,0.31,0.5,26,15,-109,87,14,0.1,0,15,2
92,0.1,0.31,0.5,31,17,55,83,46,0.1,1,15,2
93,0.1,0.31,0.5,26,15,74,87,27,0.1,1,15,2
94,0.1,0.31,0.5,26,15,-116,87,17,0.1,0,15,2
95,0.1,0.31,0.5,27,49,75,-46,147,0.1,1,15,2
96,0.1,0.31,0.5,26,16,75,85,26,0.1,1,15,2
97,0.1,0.31,0.5,32,15,61,87,40,0.1,1,15,2
98,0.1,0.31,0.5,29,15,66,87,35,0.1,1,15,2
