eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-193,-230,131,0.1,0,15,2
1,0.1,0.31,0.5,0,0,-137,-182,83,0.1,0,15,2
2,0.1,0.31,0.5,0,0,-146,-136,47,0.1,0,15,2
3,0.1,0.31,0.5,0,42,-131,-13,114,0.1,0,15,2
4,0.1,0.31,0.5,15,17,-183,82,84,0.1,0,15,2
5,0.1,0.31,0.5,17,15,-155,86,56,0.1,0,15,2
6,0.1,0.31,0.5,17,15,-123,87,24,0.1,0,15,2
7,0.1,0.31,0.5,17,15,-148,87,49,0.1,0,15,2
8,0.1,0.31,0.5,17,15,-166,87,67,0.1,0,15,2
9,0.1,0.31,0.5,17,15,-118,86,19,0.1,0,15,2
10,0.1,0.31,0.5,17,19,-163,74,64,0.1,0,15,2
11,0.1,0.31,0.5,17,15,-131,87,32,0.1,0,15,2
12,0.1,0.31,0.5,17,15,-157,86,58,0.1,0,15,2
13,0.1,0.31,0.5,17,15,-171,86,72,0.1,0,15,2
14,0.1,0.31,0.5,17,15,-162,85,63,0.1,0,15,2
15,0.1,0.31,0.5,17,19,-117,74,27,0.1,0,15,2
16,0.1,0.31,0.5,17,18,-161,76,62,0.1,0,15,2
17,0.1,0.31,0.5,17,15,-133,87,34,0.1,0,15,2
18,0.1,0.31,0.5,17,15,-194,87,95,0.1,0,15,2
19,0.1,0.31,0.5,17,15,-182,87,83,0.1,0,15,2
20,0.1,0.31,0.5,17,15,-189,87,90,0.1,0,15,2
21,0.1,0.31,0.5,17,16,-137,85,38,0.1,0,15,2
22,0.1,0.31,0.5,17,30,-148,44,57,0.1,0,15,2
23,0.1,0.31,0.5,38,17,-20,84,121,0.1,1,15,2
24,0.1,0.31,0.5,32,29,77,87,24,0.1,1,15,2
25,0.1,0.31,0.5,32,15,-137,87,38,0.1,0,15,2
26,0.1,0.31,0.5,30,32,77,85,24,0.1,1,15,2
27,0.1,0.31,0.5,25,16,74,87,27,0.1,1,15,2
28,0.1,0.31,0.5,35,31,71,85,30,0.1,1,15,2
29,0.1,0.31,0.5,29,17,77,87,24,0.1,1,15,2
30,0.1,0.31,0.5,29,30,72,81,29,0.1,1,15,2
31,0.1,0.31,0.5,32,21,74,86,27,0.1,1,15,2
32,0.1,0.31,0.5,32,34,72,70,31,0.1,1,15,2
33,0.1,0.31,0.5,30,31,77,81,24,0.1,1,15,2
34,0.1,0.31,0.5,36,22,-115,87,16,0.1,0,15,2
35,0.1,0.31,0.5,30,27,77,85,24,0.1,1,15,2
36,0.1,0.31,0.5,26,27,75,86,26,0.1,1,15,2
37,0.1,0.31,0.5,31,37,77,63,38,0.1,1,15,2
38,0.1,0.31,0.5,32,22,75,85,26,0.1,1,15,2
39,0.1,0.31,0.5,42,23,57,87,44,0.1,1,15,2
40,0.1,0.31,0.5,25,27,75,-111,26,0.1,0,15,2
41,0.1,0.31,0.5,31,20,75,87,26,0.1,1,15,2
42,0.1,0.31,0.5,56,24,20,87,81,0.1,1,15,2
43,0.1,0.31,0.5,26,43,77,48,53,0.1,1,15,2
44,0.1,0.31,0.5,30,23,73,86,28,0.1,1,15,2
45,0.1,0.31,0.5,27,21,77,87,24,0.1,1,15,2
46,0.1,0.31,0.5,30,34,77,76,25,0.1,1,15,2
47,0.1,0.31,0.5,26,26,77,85,24,0.1,1,15,2
48,0.1,0.31,0.5,32,22,77,85,24,0.1,1,15,2
49,0.1,0.31,0.5,30,27,73,87,28,0.1,1,15,2
50,0.1,0.31,0.5,29,22,73,87,28,0.1,1,15,2
51,0.1,0.31,0.5,30,26,75,83,26,0.1,1,15,2
52,0.1,0.31,0.5,31,27,72,87,29,0.1,1,15,2
53,0.1,0.31,0.5,37,20,62,87,39,0.1,1,15,2
54,0.1,0.31,0.5,30,25,77,87,24,0.1,1,15,2
55,0.1,0.31,0.5,29,28,77,87,24,0.1,1,15,2
56,0.1,0.31,0.5,29,21,77,86,24,0.1,1,15,2
57,0.1,0.31,0.5,30,24,75,87,26,0.1,1,15,2
58,0.1,0.31,0.5,30,38,76,57,44,0.1,1,15,2
59,0.1,0.31,0.5,28,24,77,87,24,0.1,1,15,2
60,0.1,0.31,0.5,31,18,74,87,27,0.1,1,15,2
61,0.1,0.31,0.5,33,22,-132,83,33,0.1,0,15,2
62,0.1,0.31,0.5,29,28,76,85,25,0.1,1,15,2
63,0.1,0.31,0.5,41,26,59,86,42,0.1,1,15,2
64,0.1,0.31,0.5,46,34,48,68,53,0.1,1,15,2
65,0.1,0.31,0.5,43,26,58,85,43,0.1,1,15,2
66,0.1,0.31,0.5,37,28,66,81,35,0.1,1,15,2
67,0.1,0.31,0.5,41,26,67,87,34,0.1,1,15,2
68,0.1,0.31,0.5,42,21,-118,86,19,0.1,0,15,2
69,0.1,0.31,0.5,40,25,67,87,34,0.1,1,15,2
70,0.1,0.31,0.5,35,28,67,87,34,0.1,1,15,2
71,0.1,0.31,0.5,46,23,54,86,47,0.1,1,15,2
72,0.1,0.31,0.5,37,24,67,86,34,0.1,1,15,2
73,0.1,0.31,0.5,39,29,70,-113,31,0.1,0,15,2
74,0.1,0.31,0.5,41,25,67,87,34,0.1,1,15,2
75,0.1,0.31,0.5,40,19,69,85,32,0.1,1,15,2
76,0.1,0.31,0.5,36,28,59,87,42,0.1,1,15,2
77,0.1,0.31,0.5,41,30,-188,82,89,0.1,0,15,2
78,0.1,0.31,0.5,42,21,63,87,38,0.1,1,15,2
79,0.1,0.31,0.5,33,28,68,85,33,0.1,1,15,2
80,0.1,0.31,0.5,42,23,67,87,34,0.1,1,15,2
81,0.1,0.31,0.5,43,30,59,79,42,0.1,1,15,2
82,0.1,0.31,0.5,44,28,-172,87,73,0.1,0,15,2
83,0.1,0.31,0.5,33,23,67,87,34,0.1,1,15,2
84,0.1,0.31,0.5,41,21,66,87,35,0.1,1,15,2
85,0.1,0.31,0.5,55,19,28,87,73,0.1,1,15,2
86,0.1,0.31,0.5,33,23,67,87,34,0.1,1,15,2
87,0.1,0.31,0.5,41,25,65,87,36,0.1,1,15,2
88,0.1,0.31,0.5,42,24,69,86,32,0.1,1,15,2
89,0.1,0.31,0.5,34,22,74,87,27,0.1,1,15,2
90,0.1,0.31,0.5,35,28,69,87,32,0.1,1,15,2
91,0.1,0.31,0.5,36,23,-120,86,21,0.1,0,15,2
92,0.1,0.31,0.5,37,18,66,85,35,0.1,1,15,2
93,0.1,0.31,0.5,27,33,73,-134,35,0.1,0,15,2
94,0.1,0.31,0.5,33,32,75,87,26,0.1,1,15,2
95,0.1,0.31,0.5,36,16,67,87,34,0.1,1,15,2
96,0.1,0.31,0.5,27,30,75,85,26,0.1,1,15,2
97,0.1,0.31,0.5,34,31,68,87,33,0.1,1,15,2
98,0.1,0.31,0.5,36,17,70,86,31,0.1,1,15,2
99,0.1,0.31,0.5,31,25,67,87,34,0.1,1,15,2
100,0.1,0.31,0.5,33,27,70,86,31,0.1,1,15,2
101,0.1,0.31,0.5,34,18,74,87,27,0.1,1,15,2
102,0.1,0.31,0.5,27,26,71,87,30,0.1,1,15,2
103,0.1,0.31,0.5,33,32,75,83,26,0.1,1,15,2
104,0.1,0.31,0.5,34,23,75,87,26,0.1,1,15,2
105,0.1,0.31,0.5,32,26,66,87,35,0.1,1,15,2
106,0.1,0.31,0.5,32,28,75,87,26,0.1,1,15,2
107,0.1,0.31,0.5,33,28,-123,-112,24,0.1,0,15,2
108,0.1,0.31,0.5,44,31,53,-310,211,0.1,0,15,2
109,0.1,0.31,0.5,31,22,75,87,26,0.1,1,15,2
110,0.1,0.31,0.5,29,28,74,84,27,0.1,1,15,2
111,0.1,0.31,0.5,37,31,75,85,26,0.1,1,15,2
112,0.1,0.31,0.5,28,16,77,87,24,0.1,1,15,2
113,0.1,0.31,0.5,38,22,71,87,30,0.1,1,15,2
114,0.1,0.31,0.5,40,29,64,87,37,0.1,1,15,2
115,0.1,0.31,0.5,30,20,71,87,30,0.1,1,15,2
116,0.1,0.31,0.5,38,23,75,87,26,0.1,1,15,2
