eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,32,-169,-149,-152,8,93,0.1,0,15,4
1,0.1,0.31,0.5,10,10,10,15,-209,-253,-445,83,346,0.1,0,15,4
2,0.1,0.31,0.5,13,13,10,15,-130,-199,-108,83,100,0.1,0,15,4
3,0.1,0.31,0.5,15,15,15,20,-130,-134,-162,76,63,0.1,0,15,4
4,0.1,0.31,0.5,15,50,15,15,-165,-79,-356,84,257,0.1,0,15,4
5,0.1,0.31,0.5,31,31,27,24,-173,76,-116,87,74,0.1,0,15,4
6,0.1,0.31,0.5,31,27,27,20,-139,81,40,87,61,0.1,0,15,4
7,0.1,0.31,0.5,45,49,35,28,-149,47,75,87,54,0.1,0,15,4
8,0.1,0.31,0.5,45,28,28,22,-169,58,79,85,70,0.1,0,15,4
9,0.1,0.31,0.5,50,46,31,36,-115,76,85,82,25,0.1,0,15,4
10,0.1,0.31,0.5,52,34,28,31,-175,77,84,83,76,0.1,0,15,4
11,0.1,0.31,0.5,52,40,35,26,-118,70,84,85,31,0.1,0,15,4
12,0.1,0.31,0.5,52,46,25,33,-170,69,83,85,71,0.1,0,15,4
13,0.1,0.31,0.5,32,43,39,37,10,79,85,87,91,0.1,1,15,4
14,0.1,0.31,0.5,58,50,57,40,82,80,65,82,36,0.1,1,15,4
15,0.1,0.31,0.5,59,32,33,40,-112,78,80,84,23,0.1,0,15,4
16,0.1,0.31,0.5,56,49,40,37,-141,69,84,86,42,0.1,0,15,4
17,0.1,0.31,0.5,54,23,23,20,49,74,85,87,52,0.1,1,15,4
18,0.1,0.31,0.5,38,57,54,53,81,80,83,85,21,0.1,1,15,4
19,0.1,0.31,0.5,60,40,43,59,-128,80,76,-130,31,0.1,0,15,4
20,0.1,0.31,0.5,38,61,38,39,81,-153,81,84,54,0.1,0,15,4
21,0.1,0.31,0.5,35,22,33,81,83,83,84,-28,129,0.1,1,15,4
22,0.1,0.31,0.5,39,51,34,27,77,-118,85,70,31,0.1,0,15,4
