eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-124,-222,-214,-140,-129,-229,-106,-323,224,0.1,0,15,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-218,-386,-133,-139,-111,-183,-197,-207,287,0.1,0,15,8
2,0.1,0.31,0.5,0,56,31,0,0,0,0,0,-145,-41,27,-137,-115,-188,-106,-189,142,0.1,0,15,8
3,0.1,0.31,0.5,30,27,23,30,30,30,30,30,-169,73,87,-177,-219,-319,-149,-215,220,0.1,0,15,8
4,0.1,0.31,0.5,32,34,15,41,33,40,32,26,-134,-130,87,-9,45,29,-138,55,110,0.1,0,15,8
5,0.1,0.31,0.5,77,74,61,86,81,64,47,70,-130,50,87,-122,14,82,-105,79,87,0.1,0,15,8
6,0.1,0.31,0.5,81,38,17,37,40,41,65,45,-147,71,85,67,71,77,11,18,90,0.1,0,15,8
7,0.1,0.31,0.5,36,70,67,74,71,60,62,87,72,79,87,-152,68,76,55,-116,53,0.1,0,15,8
8,0.1,0.31,0.5,63,85,54,84,54,53,63,56,82,-163,82,-150,78,80,64,43,64,0.1,0,15,8
9,0.1,0.31,0.5,47,42,44,52,49,48,47,44,82,77,60,-21,80,86,74,79,122,0.1,1,15,8
10,0.1,0.31,0.5,65,78,76,79,78,69,78,89,83,63,85,71,76,84,61,62,40,0.1,1,15,8
11,0.1,0.31,0.5,57,55,58,88,75,50,66,57,83,79,79,54,50,84,72,70,51,0.1,1,15,8
12,0.1,0.31,0.5,51,52,38,38,50,43,49,84,81,79,85,81,66,88,83,-126,35,0.1,0,15,8
13,0.1,0.31,0.5,58,58,67,73,65,70,71,43,83,85,84,78,77,82,62,78,39,0.1,1,15,8
14,0.1,0.31,0.5,62,56,68,64,62,51,69,74,72,84,75,81,75,85,70,75,31,0.1,1,15,8
15,0.1,0.31,0.5,90,53,44,51,62,46,55,63,-126,84,85,83,75,88,71,72,30,0.1,0,15,8
16,0.1,0.31,0.5,43,56,69,58,57,74,66,56,83,83,81,85,86,59,73,74,42,0.1,1,15,8
17,0.1,0.31,0.5,60,56,53,68,60,43,61,59,72,85,83,63,76,88,71,78,38,0.1,1,15,8
18,0.1,0.31,0.5,59,52,67,50,47,47,53,71,81,85,43,64,86,88,73,78,58,0.1,1,15,8
19,0.1,0.31,0.5,70,86,66,76,74,69,78,61,78,-130,83,80,79,88,73,73,31,0.1,0,15,8
