eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,72,-154,-234,-109,-184,-205,-103,204,0.1,0,20,6
1,0.1,0.31,0.5,13,13,88,13,13,14,-400,-159,-92,-144,-264,85,301,0.1,0,20,6
2,0.1,0.31,0.5,32,45,29,32,32,22,-223,39,69,-208,-286,88,187,0.1,0,20,6
3,0.1,0.31,0.5,42,27,39,42,42,41,-157,60,71,-147,-196,-207,108,0.1,0,20,6
4,0.1,0.31,0.5,84,31,42,44,70,14,-80,75,-114,-168,-74,88,181,0.1,0,20,6
5,0.1,0.31,0.5,85,78,82,93,77,78,40,75,63,-159,63,78,61,0.1,0,20,6
6,0.1,0.31,0.5,75,33,43,93,71,29,40,75,68,-164,46,87,65,0.1,0,20,6
7,0.1,0.31,0.5,74,75,77,93,72,76,36,73,74,-120,37,70,65,0.1,0,20,6
8,0.1,0.31,0.5,91,52,53,97,92,85,-254,72,62,-144,-123,-120,155,0.1,0,20,6
9,0.1,0.31,0.5,85,74,73,107,84,46,38,69,73,-145,54,85,63,0.1,0,20,6
10,0.1,0.31,0.5,86,49,60,108,61,33,-27,78,61,-184,52,86,128,0.1,0,20,6
11,0.1,0.31,0.5,99,62,56,53,82,87,28,73,75,-13,57,-134,114,0.1,0,20,6
12,0.1,0.31,0.5,137,84,97,107,117,71,-158,78,71,68,37,86,64,0.1,0,20,6
13,0.1,0.31,0.5,91,62,106,114,73,28,24,74,-111,59,42,85,77,0.1,0,20,6
14,0.1,0.31,0.5,104,84,73,132,116,127,25,77,75,-149,59,-167,76,0.1,0,20,6
15,0.1,0.31,0.5,130,83,77,46,125,80,-134,74,72,65,-184,84,85,0.1,0,20,6
16,0.1,0.31,0.5,123,87,44,76,113,29,-258,-110,75,-124,-13,83,159,0.1,0,20,6
17,0.1,0.31,0.5,136,62,78,114,53,53,-197,75,70,-156,58,86,98,0.1,0,20,6
18,0.1,0.31,0.5,109,73,80,123,89,44,38,-109,49,-224,58,86,125,0.1,0,20,6
19,0.1,0.31,0.5,71,55,86,122,91,54,56,77,62,-320,46,82,221,0.1,0,20,6
20,0.1,0.31,0.5,107,84,69,121,70,60,-152,65,68,-238,42,86,139,0.1,0,20,6
21,0.1,0.31,0.5,102,68,59,121,88,49,-139,78,59,-167,29,86,72,0.1,0,20,6
22,0.1,0.31,0.5,105,48,58,81,73,42,18,72,77,39,59,85,83,0.1,1,20,6
23,0.1,0.31,0.5,82,94,95,76,119,116,51,78,77,72,34,69,67,0.1,1,20,6
24,0.1,0.31,0.5,104,95,73,95,86,62,42,30,68,67,35,75,71,0.1,1,20,6
25,0.1,0.31,0.5,113,94,77,100,132,70,52,65,76,62,-129,80,49,0.1,0,20,6
26,0.1,0.31,0.5,87,93,98,81,97,95,43,76,75,72,50,78,58,0.1,1,20,6
27,0.1,0.31,0.5,88,65,48,71,88,47,53,69,72,70,-1,77,102,0.1,1,20,6
28,0.1,0.31,0.5,119,100,101,79,107,75,42,56,69,75,48,78,59,0.1,1,20,6
29,0.1,0.31,0.5,94,103,94,104,121,87,17,-22,73,-130,16,82,123,0.1,0,20,6
30,0.1,0.31,0.5,89,70,62,123,70,42,-8,50,66,-7,53,82,109,0.1,1,20,6
