eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-140,-158,59,0.1,0,20,2
1,0.1,0.31,0.5,0,0,-277,-224,178,0.1,0,20,2
2,0.1,0.31,0.5,0,0,-184,-142,85,0.1,0,20,2
3,0.1,0.31,0.5,0,0,-160,-142,61,0.1,0,20,2
4,0.1,0.31,0.5,0,0,-186,-157,87,0.1,0,20,2
5,0.1,0.31,0.5,0,0,-160,-380,281,0.1,0,20,2
6,0.1,0.31,0.5,0,0,-127,-234,135,0.1,0,20,2
7,0.1,0.31,0.5,0,0,-194,-123,95,0.1,0,20,2
8,0.1,0.31,0.5,0,0,-130,-265,166,0.1,0,20,2
9,0.1,0.31,0.5,0,0,-240,-149,141,0.1,0,20,2
10,0.1,0.31,0.5,103,0,-228,-257,329,0.1,0,20,2
11,0.1,0.31,0.5,42,40,55,-279,180,0.1,0,20,2
12,0.1,0.31,0.5,39,54,61,-10,111,0.1,1,20,2
13,0.1,0.31,0.5,67,63,51,60,50,0.1,1,20,2
14,0.1,0.31,0.5,46,69,52,-6,107,0.1,1,20,2
15,0.1,0.31,0.5,69,66,41,34,67,0.1,1,20,2
16,0.1,0.31,0.5,63,39,30,67,71,0.1,1,20,2
17,0.1,0.31,0.5,58,64,56,61,45,0.1,1,20,2
18,0.1,0.31,0.5,61,57,57,68,44,0.1,1,20,2
19,0.1,0.31,0.5,54,66,49,-129,52,0.1,0,20,2
20,0.1,0.31,0.5,78,66,-51,-108,152,0.1,0,20,2
21,0.1,0.31,0.5,81,35,39,57,62,0.1,1,20,2
22,0.1,0.31,0.5,59,57,41,70,60,0.1,1,20,2
23,0.1,0.31,0.5,74,70,43,57,58,0.1,1,20,2
24,0.1,0.31,0.5,80,39,25,51,76,0.1,1,20,2
25,0.1,0.31,0.5,85,54,-18,67,119,0.1,1,20,2
26,0.1,0.31,0.5,64,74,44,55,57,0.1,1,20,2
27,0.1,0.31,0.5,87,38,7,75,94,0.1,1,20,2
28,0.1,0.31,0.5,72,122,31,-97,198,0.1,1,20,2
29,0.1,0.31,0.5,68,62,53,54,48,0.1,1,20,2
30,0.1,0.31,0.5,80,40,23,60,78,0.1,1,20,2
31,0.1,0.31,0.5,62,56,46,72,55,0.1,1,20,2
32,0.1,0.31,0.5,70,56,35,63,66,0.1,1,20,2
33,0.1,0.31,0.5,117,45,-68,67,169,0.1,1,20,2
34,0.1,0.31,0.5,78,56,27,74,74,0.1,1,20,2
35,0.1,0.31,0.5,96,51,14,68,87,0.1,1,20,2
36,0.1,0.31,0.5,80,43,48,72,53,0.1,1,20,2
37,0.1,0.31,0.5,59,56,56,71,45,0.1,1,20,2
38,0.1,0.31,0.5,60,56,44,-139,57,0.1,0,20,2
39,0.1,0.31,0.5,75,50,32,72,69,0.1,1,20,2
40,0.1,0.31,0.5,70,39,38,71,63,0.1,1,20,2
41,0.1,0.31,0.5,69,52,0,72,101,0.1,1,20,2
42,0.1,0.31,0.5,89,48,-124,69,32,0.1,0,20,2
43,0.1,0.31,0.5,89,31,-116,68,33,0.1,0,20,2
44,0.1,0.31,0.5,92,63,-4,-246,147,0.1,0,20,2
45,0.1,0.31,0.5,46,64,57,71,44,0.1,1,20,2
46,0.1,0.31,0.5,67,33,56,71,45,0.1,1,20,2
47,0.1,0.31,0.5,63,49,51,72,50,0.1,1,20,2
48,0.1,0.31,0.5,61,51,48,68,53,0.1,1,20,2
49,0.1,0.31,0.5,55,52,60,62,41,0.1,1,20,2
50,0.1,0.31,0.5,65,75,55,-171,72,0.1,0,20,2
51,0.1,0.31,0.5,74,55,-4,45,105,0.1,1,20,2
52,0.1,0.31,0.5,69,50,25,70,76,0.1,1,20,2
53,0.1,0.31,0.5,67,64,54,61,47,0.1,1,20,2
54,0.1,0.31,0.5,77,45,6,62,95,0.1,1,20,2
55,0.1,0.31,0.5,62,48,53,69,48,0.1,1,20,2
56,0.1,0.31,0.5,63,50,56,72,45,0.1,1,20,2
57,0.1,0.31,0.5,60,41,58,70,43,0.1,1,20,2
58,0.1,0.31,0.5,64,38,-113,70,31,0.1,0,20,2
59,0.1,0.31,0.5,63,55,55,70,46,0.1,1,20,2
60,0.1,0.31,0.5,77,51,22,72,79,0.1,1,20,2
61,0.1,0.31,0.5,70,42,-14,66,115,0.1,1,20,2
62,0.1,0.31,0.5,78,52,44,67,57,0.1,1,20,2
63,0.1,0.31,0.5,60,79,41,-183,84,0.1,0,20,2
64,0.1,0.31,0.5,64,73,49,-127,52,0.1,0,20,2
65,0.1,0.31,0.5,71,73,11,-124,90,0.1,0,20,2
66,0.1,0.31,0.5,55,69,47,-119,54,0.1,0,20,2
67,0.1,0.31,0.5,52,69,49,-178,79,0.1,0,20,2
68,0.1,0.31,0.5,57,69,31,-179,80,0.1,0,20,2
69,0.1,0.31,0.5,54,62,40,1,100,0.1,1,20,2
70,0.1,0.31,0.5,78,41,44,70,57,0.1,1,20,2
71,0.1,0.31,0.5,66,56,36,-129,65,0.1,0,20,2
72,0.1,0.31,0.5,73,54,44,76,57,0.1,1,20,2
73,0.1,0.31,0.5,55,26,42,74,59,0.1,1,20,2
74,0.1,0.31,0.5,76,51,50,74,51,0.1,1,20,2
75,0.1,0.31,0.5,76,63,-167,58,68,0.1,0,20,2
76,0.1,0.31,0.5,70,30,48,69,53,0.1,1,20,2
77,0.1,0.31,0.5,58,50,43,74,58,0.1,1,20,2
78,0.1,0.31,0.5,85,51,20,75,81,0.1,1,20,2
79,0.1,0.31,0.5,72,46,40,56,61,0.1,1,20,2
80,0.1,0.31,0.5,57,55,50,75,51,0.1,1,20,2
81,0.1,0.31,0.5,80,50,38,76,63,0.1,1,20,2
82,0.1,0.31,0.5,68,30,45,75,56,0.1,1,20,2
83,0.1,0.31,0.5,54,81,51,40,61,0.1,1,20,2
84,0.1,0.31,0.5,75,73,44,74,57,0.1,1,20,2
85,0.1,0.31,0.5,73,39,51,61,50,0.1,1,20,2
86,0.1,0.31,0.5,59,42,34,72,67,0.1,1,20,2
87,0.1,0.31,0.5,67,77,23,-904,805,0.1,0,20,2
88,0.1,0.31,0.5,67,65,49,64,52,0.1,1,20,2
89,0.1,0.31,0.5,76,26,41,76,60,0.1,1,20,2
90,0.1,0.31,0.5,55,53,50,74,51,0.1,1,20,2
