eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-203,-115,104,0.1,0,15,2
1,0.1,0.31,0.5,0,0,-116,-121,22,0.1,0,15,2
2,0.1,0.31,0.5,0,0,-215,-140,116,0.1,0,15,2
3,0.1,0.31,0.5,0,0,-112,-154,55,0.1,0,15,2
4,0.1,0.31,0.5,0,0,-126,-211,112,0.1,0,15,2
5,0.1,0.31,0.5,0,0,-147,-113,48,0.1,0,15,2
6,0.1,0.31,0.5,0,0,-134,-139,40,0.1,0,15,2
7,0.1,0.31,0.5,0,0,-406,-145,307,0.1,0,15,2
8,0.1,0.31,0.5,0,0,-149,-119,50,0.1,0,15,2
9,0.1,0.31,0.5,0,29,-270,-3,171,0.1,0,15,2
10,0.1,0.31,0.5,15,15,-207,83,108,0.1,0,15,2
11,0.1,0.31,0.5,23,18,56,79,45,0.1,1,15,2
12,0.1,0.31,0.5,32,20,68,-110,33,0.1,0,15,2
13,0.1,0.31,0.5,21,27,81,84,20,0.1,1,15,2
14,0.1,0.31,0.5,28,17,79,86,22,0.1,1,15,2
15,0.1,0.31,0.5,21,29,79,-132,33,0.1,0,15,2
16,0.1,0.31,0.5,29,19,-124,84,25,0.1,0,15,2
17,0.1,0.31,0.5,20,26,81,86,20,0.1,1,15,2
18,0.1,0.31,0.5,28,29,81,-115,20,0.1,0,15,2
19,0.1,0.31,0.5,23,30,81,76,25,0.1,1,15,2
20,0.1,0.31,0.5,25,19,79,82,22,0.1,1,15,2
21,0.1,0.31,0.5,29,27,67,87,34,0.1,1,15,2
22,0.1,0.31,0.5,27,25,81,87,20,0.1,1,15,2
23,0.1,0.31,0.5,33,17,62,87,39,0.1,1,15,2
24,0.1,0.31,0.5,28,31,77,71,30,0.1,1,15,2
25,0.1,0.31,0.5,40,27,40,85,61,0.1,1,15,2
26,0.1,0.31,0.5,20,20,79,84,22,0.1,1,15,2
27,0.1,0.31,0.5,28,33,79,77,24,0.1,1,15,2
28,0.1,0.31,0.5,27,26,81,87,20,0.1,1,15,2
29,0.1,0.31,0.5,24,16,74,87,27,0.1,1,15,2
30,0.1,0.31,0.5,28,29,81,87,20,0.1,1,15,2
31,0.1,0.31,0.5,28,28,77,87,24,0.1,1,15,2
32,0.1,0.31,0.5,24,16,81,87,20,0.1,1,15,2
33,0.1,0.31,0.5,26,29,79,86,22,0.1,1,15,2
34,0.1,0.31,0.5,26,36,79,71,30,0.1,1,15,2
35,0.1,0.31,0.5,28,16,80,86,21,0.1,1,15,2
36,0.1,0.31,0.5,28,27,78,87,23,0.1,1,15,2
37,0.1,0.31,0.5,25,27,81,86,20,0.1,1,15,2
38,0.1,0.31,0.5,29,15,-151,84,52,0.1,0,15,2
39,0.1,0.31,0.5,24,20,79,-105,22,0.1,0,15,2
40,0.1,0.31,0.5,26,31,80,78,23,0.1,1,15,2
41,0.1,0.31,0.5,29,32,81,54,47,0.1,1,15,2
42,0.1,0.31,0.5,25,24,76,87,25,0.1,1,15,2
43,0.1,0.31,0.5,25,25,79,87,22,0.1,1,15,2
44,0.1,0.31,0.5,28,27,81,-111,20,0.1,0,15,2
45,0.1,0.31,0.5,28,19,67,83,34,0.1,1,15,2
46,0.1,0.31,0.5,24,26,81,87,20,0.1,1,15,2
47,0.1,0.31,0.5,35,29,57,87,44,0.1,1,15,2
48,0.1,0.31,0.5,24,18,76,87,25,0.1,1,15,2
49,0.1,0.31,0.5,28,28,-118,-112,19,0.1,0,15,2
50,0.1,0.31,0.5,28,28,-122,-114,23,0.1,0,15,2
51,0.1,0.31,0.5,9,14,-123,-112,24,0.1,0,15,2
52,0.1,0.31,0.5,9,14,-138,-118,39,0.1,0,15,2
53,0.1,0.31,0.5,9,14,-132,-143,44,0.1,0,15,2
54,0.1,0.31,0.5,9,14,-151,-131,52,0.1,0,15,2
55,0.1,0.31,0.5,9,14,-169,-147,70,0.1,0,15,2
56,0.1,0.31,0.5,10,14,-138,-164,65,0.1,0,15,2
57,0.1,0.31,0.5,10,14,-169,-195,96,0.1,0,15,2
58,0.1,0.31,0.5,10,14,-142,-159,60,0.1,0,15,2
59,0.1,0.31,0.5,73,14,-47,-139,148,0.1,0,15,2
60,0.1,0.31,0.5,26,67,64,-61,162,0.1,1,15,2
61,0.1,0.31,0.5,35,23,80,68,33,0.1,1,15,2
62,0.1,0.31,0.5,23,37,79,81,22,0.1,1,15,2
63,0.1,0.31,0.5,35,22,79,77,24,0.1,1,15,2
64,0.1,0.31,0.5,21,33,77,80,24,0.1,1,15,2
65,0.1,0.31,0.5,36,24,76,75,26,0.1,1,15,2
66,0.1,0.31,0.5,37,32,76,83,25,0.1,1,15,2
67,0.1,0.31,0.5,21,34,81,-111,20,0.1,0,15,2
68,0.1,0.31,0.5,35,36,81,-401,302,0.1,0,15,2
69,0.1,0.31,0.5,25,28,80,83,21,0.1,1,15,2
70,0.1,0.31,0.5,32,28,81,81,20,0.1,1,15,2
71,0.1,0.31,0.5,24,37,81,78,23,0.1,1,15,2
72,0.1,0.31,0.5,34,28,83,82,19,0.1,1,15,2
73,0.1,0.31,0.5,21,28,81,83,20,0.1,1,15,2
74,0.1,0.31,0.5,32,29,82,83,19,0.1,1,15,2
75,0.1,0.31,0.5,19,31,83,66,35,0.1,1,15,2
76,0.1,0.31,0.5,35,36,81,80,21,0.1,1,15,2
77,0.1,0.31,0.5,35,28,83,83,18,0.1,1,15,2
78,0.1,0.31,0.5,18,26,79,81,22,0.1,1,15,2
79,0.1,0.31,0.5,35,28,82,81,20,0.1,1,15,2
80,0.1,0.31,0.5,18,28,82,83,19,0.1,1,15,2
81,0.1,0.31,0.5,36,32,81,83,20,0.1,1,15,2
82,0.1,0.31,0.5,61,29,17,81,84,0.1,1,15,2
83,0.1,0.31,0.5,19,28,83,82,19,0.1,1,15,2
84,0.1,0.31,0.5,34,32,81,83,20,0.1,1,15,2
85,0.1,0.31,0.5,34,28,83,83,18,0.1,1,15,2
86,0.1,0.31,0.5,22,27,75,80,26,0.1,1,15,2
87,0.1,0.31,0.5,36,34,77,-124,25,0.1,0,15,2
88,0.1,0.31,0.5,32,32,80,81,21,0.1,1,15,2
89,0.1,0.31,0.5,22,23,81,75,26,0.1,1,15,2
90,0.1,0.31,0.5,27,37,82,-162,63,0.1,0,15,2
91,0.1,0.31,0.5,35,35,-196,82,97,0.1,0,15,2
92,0.1,0.31,0.5,35,19,-226,83,127,0.1,0,15,2
93,0.1,0.31,0.5,32,36,83,81,20,0.1,1,15,2
94,0.1,0.31,0.5,22,32,83,81,20,0.1,1,15,2
95,0.1,0.31,0.5,35,22,85,83,18,0.1,1,15,2
96,0.1,0.31,0.5,31,31,80,-114,21,0.1,0,15,2
97,0.1,0.31,0.5,21,31,83,83,18,0.1,1,15,2
98,0.1,0.31,0.5,23,34,81,-126,27,0.1,0,15,2
99,0.1,0.31,0.5,29,34,79,-112,22,0.1,0,15,2
100,0.1,0.31,0.5,30,33,81,-111,20,0.1,0,15,2
101,0.1,0.31,0.5,34,21,51,-111,50,0.1,0,15,2
102,0.1,0.31,0.5,19,21,83,-128,29,0.1,0,15,2
103,0.1,0.31,0.5,19,22,83,-135,36,0.1,0,15,2
104,0.1,0.31,0.5,18,22,83,-114,18,0.1,0,15,2
105,0.1,0.31,0.5,19,22,80,-168,69,0.1,0,15,2
106,0.1,0.31,0.5,21,22,79,-189,90,0.1,0,15,2
107,0.1,0.31,0.5,19,22,80,-214,115,0.1,0,15,2
108,0.1,0.31,0.5,19,22,81,-175,76,0.1,0,15,2
109,0.1,0.31,0.5,19,22,81,-153,54,0.1,0,15,2
110,0.1,0.31,0.5,20,22,80,-123,24,0.1,0,15,2
111,0.1,0.31,0.5,19,22,83,-137,38,0.1,0,15,2
112,0.1,0.31,0.5,23,22,76,-190,91,0.1,0,15,2
113,0.1,0.31,0.5,19,22,83,-144,45,0.1,0,15,2
114,0.1,0.31,0.5,19,22,83,-163,64,0.1,0,15,2
115,0.1,0.31,0.5,22,22,74,-237,138,0.1,0,15,2
116,0.1,0.31,0.5,19,22,83,-179,80,0.1,0,15,2
117,0.1,0.31,0.5,19,22,82,-169,70,0.1,0,15,2
118,0.1,0.31,0.5,19,22,83,-158,59,0.1,0,15,2
119,0.1,0.31,0.5,19,22,83,-289,190,0.1,0,15,2
120,0.1,0.31,0.5,25,22,74,-199,100,0.1,0,15,2
121,0.1,0.31,0.5,19,22,83,-155,56,0.1,0,15,2
122,0.1,0.31,0.5,19,22,82,-123,24,0.1,0,15,2
123,0.1,0.31,0.5,19,22,83,-150,51,0.1,0,15,2
124,0.1,0.31,0.5,19,54,-112,3,98,0.1,0,15,2
125,0.1,0.31,0.5,36,59,83,-137,38,0.1,0,15,2
126,0.1,0.31,0.5,20,46,80,49,52,0.1,1,15,2
127,0.1,0.31,0.5,38,41,82,63,38,0.1,1,15,2
128,0.1,0.31,0.5,20,45,81,60,41,0.1,1,15,2
129,0.1,0.31,0.5,36,41,83,62,39,0.1,1,15,2
130,0.1,0.31,0.5,20,45,83,-129,30,0.1,0,15,2
131,0.1,0.31,0.5,36,41,83,60,41,0.1,1,15,2
132,0.1,0.31,0.5,21,41,82,63,38,0.1,1,15,2
133,0.1,0.31,0.5,36,47,82,55,46,0.1,1,15,2
134,0.1,0.31,0.5,22,43,83,58,43,0.1,1,15,2
135,0.1,0.31,0.5,28,45,78,-113,23,0.1,0,15,2
136,0.1,0.31,0.5,34,44,81,60,41,0.1,1,15,2
137,0.1,0.31,0.5,28,45,83,48,53,0.1,1,15,2
138,0.1,0.31,0.5,26,44,83,61,40,0.1,1,15,2
139,0.1,0.31,0.5,27,44,82,-127,28,0.1,0,15,2
140,0.1,0.31,0.5,36,41,82,63,38,0.1,1,15,2
141,0.1,0.31,0.5,25,41,82,63,38,0.1,1,15,2
142,0.1,0.31,0.5,32,49,83,52,49,0.1,1,15,2
143,0.1,0.31,0.5,34,42,81,66,35,0.1,1,15,2
144,0.1,0.31,0.5,31,37,83,67,34,0.1,1,15,2
145,0.1,0.31,0.5,29,40,83,-129,30,0.1,0,15,2
146,0.1,0.31,0.5,35,40,72,67,34,0.1,1,15,2
147,0.1,0.31,0.5,30,57,83,-66,167,0.1,1,15,2
148,0.1,0.31,0.5,29,40,83,67,34,0.1,1,15,2
