eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.5,0.5,0,0,-109,-158,59,0.39,0,10,2
1,0.1,0.5,0.5,0,0,-130,-133,34,0.39,0,10,2
2,0.1,0.5,0.5,0,0,-124,-143,44,0.39,0,10,2
3,0.1,0.5,0.5,0,0,-107,-122,23,0.39,0,10,2
4,0.1,0.5,0.5,0,0,-123,-151,52,0.39,0,10,2
5,0.1,0.5,0.5,0,0,-131,-137,38,0.39,0,10,2
6,0.1,0.5,0.5,0,15,-107,64,37,0.39,0,10,2
7,0.1,0.5,0.5,11,12,-132,89,33,0.39,0,10,2
8,0.1,0.5,0.5,12,9,-166,92,67,0.39,0,10,2
9,0.1,0.5,0.5,12,12,-115,84,17,0.39,0,10,2
10,0.1,0.5,0.5,12,12,74,90,27,0.39,1,10,2
11,0.1,0.5,0.5,21,21,91,90,11,0.39,1,10,2
12,0.1,0.5,0.5,12,12,91,90,11,0.39,1,10,2
13,0.1,0.5,0.5,20,12,83,92,18,0.39,1,10,2
14,0.1,0.5,0.5,12,18,91,87,14,0.39,1,10,2
15,0.1,0.5,0.5,18,13,91,90,11,0.39,1,10,2
16,0.1,0.5,0.5,12,19,91,81,20,0.39,1,10,2
17,0.1,0.5,0.5,19,18,91,91,10,0.39,1,10,2
18,0.1,0.5,0.5,17,13,91,92,10,0.39,1,10,2
19,0.1,0.5,0.5,12,17,91,88,13,0.39,1,10,2
20,0.1,0.5,0.5,14,14,90,87,14,0.39,1,10,2
21,0.1,0.5,0.5,20,18,81,84,20,0.39,1,10,2
22,0.1,0.5,0.5,16,16,91,90,11,0.39,1,10,2
23,0.1,0.5,0.5,19,17,-105,90,11,0.39,0,10,2
24,0.1,0.5,0.5,19,21,-108,70,31,0.39,0,10,2
25,0.1,0.5,0.5,13,22,90,72,29,0.39,1,10,2
26,0.1,0.5,0.5,19,17,89,-141,42,0.39,0,10,2
27,0.1,0.5,0.5,13,14,91,-135,36,0.39,0,10,2
28,0.1,0.5,0.5,11,26,90,7,94,0.39,1,10,2
29,0.1,0.5,0.5,16,17,-108,85,16,0.39,0,10,2
30,0.1,0.5,0.5,15,17,-108,90,11,0.39,0,10,2
31,0.1,0.5,0.5,17,12,-114,87,15,0.39,0,10,2
32,0.1,0.5,0.5,17,12,-132,90,33,0.39,0,10,2
33,0.1,0.5,0.5,17,12,-138,87,39,0.39,0,10,2
34,0.1,0.5,0.5,17,12,-118,90,19,0.39,0,10,2
35,0.1,0.5,0.5,15,12,78,90,23,0.39,1,10,2
36,0.1,0.5,0.5,22,20,86,90,15,0.39,1,10,2
37,0.1,0.5,0.5,18,13,-110,90,11,0.39,0,10,2
38,0.1,0.5,0.5,22,12,62,90,39,0.39,1,10,2
39,0.1,0.5,0.5,21,12,-103,85,16,0.39,0,10,2
40,0.1,0.5,0.5,21,11,-108,90,11,0.39,0,10,2
41,0.1,0.5,0.5,17,19,82,88,19,0.39,1,10,2
42,0.1,0.5,0.5,19,21,81,71,30,0.39,1,10,2
43,0.1,0.5,0.5,18,18,84,88,17,0.39,1,10,2
44,0.1,0.5,0.5,17,13,85,90,16,0.39,1,10,2
45,0.1,0.5,0.5,19,18,81,90,20,0.39,1,10,2
46,0.1,0.5,0.5,19,14,85,88,16,0.39,1,10,2
47,0.1,0.5,0.5,17,18,83,78,23,0.39,1,10,2
48,0.1,0.5,0.5,22,13,70,90,31,0.39,1,10,2
49,0.1,0.5,0.5,19,19,-121,90,22,0.39,0,10,2
50,0.1,0.5,0.5,17,18,85,90,16,0.39,1,10,2
51,0.1,0.5,0.5,18,13,81,90,20,0.39,1,10,2
52,0.1,0.5,0.5,18,19,85,87,16,0.39,1,10,2
53,0.1,0.5,0.5,18,13,85,87,16,0.39,1,10,2
54,0.1,0.5,0.5,14,18,-109,88,13,0.39,0,10,2
55,0.1,0.5,0.5,12,13,-104,90,11,0.39,0,10,2
56,0.1,0.5,0.5,12,14,-119,83,20,0.39,0,10,2
57,0.1,0.5,0.5,14,14,-110,84,17,0.39,0,10,2
58,0.1,0.5,0.5,14,12,-149,89,50,0.39,0,10,2
59,0.1,0.5,0.5,14,13,-118,88,19,0.39,0,10,2
60,0.1,0.5,0.5,18,12,83,90,18,0.39,1,10,2
61,0.1,0.5,0.5,15,21,88,90,13,0.39,1,10,2
62,0.1,0.5,0.5,21,12,63,90,38,0.39,1,10,2
63,0.1,0.5,0.5,18,19,84,90,17,0.39,1,10,2
64,0.1,0.5,0.5,9,13,-113,90,14,0.39,0,10,2
65,0.1,0.5,0.5,12,12,-117,90,18,0.39,0,10,2
66,0.1,0.5,0.5,12,12,-173,90,74,0.39,0,10,2
67,0.1,0.5,0.5,12,12,-196,90,97,0.39,0,10,2
68,0.1,0.5,0.5,16,12,70,90,31,0.39,1,10,2
69,0.1,0.5,0.5,19,18,85,90,16,0.39,1,10,2
70,0.1,0.5,0.5,11,13,-120,90,21,0.39,0,10,2
71,0.1,0.5,0.5,11,12,-127,92,28,0.39,0,10,2
72,0.1,0.5,0.5,11,11,-118,86,19,0.39,0,10,2
73,0.1,0.5,0.5,11,10,-211,88,112,0.39,0,10,2
74,0.1,0.5,0.5,11,10,-123,91,24,0.39,0,10,2
75,0.1,0.5,0.5,11,11,-138,91,39,0.39,0,10,2
76,0.1,0.5,0.5,11,10,-139,92,40,0.39,0,10,2
77,0.1,0.5,0.5,11,10,-125,92,26,0.39,0,10,2
78,0.1,0.5,0.5,11,10,-127,92,28,0.39,0,10,2
79,0.1,0.5,0.5,11,10,-112,92,13,0.39,0,10,2
80,0.1,0.5,0.5,24,13,41,83,60,0.39,1,10,2
81,0.1,0.5,0.5,17,16,84,89,17,0.39,1,10,2
82,0.1,0.5,0.5,18,10,78,92,23,0.39,1,10,2
83,0.1,0.5,0.5,20,12,77,92,24,0.39,1,10,2
84,0.1,0.5,0.5,18,17,87,92,14,0.39,1,10,2
85,0.1,0.5,0.5,16,12,87,92,14,0.39,1,10,2
86,0.1,0.5,0.5,18,16,85,92,16,0.39,1,10,2
87,0.1,0.5,0.5,18,13,86,92,15,0.39,1,10,2
88,0.1,0.5,0.5,16,17,87,92,14,0.39,1,10,2
89,0.1,0.5,0.5,18,17,86,92,15,0.39,1,10,2
90,0.1,0.5,0.5,18,14,87,92,14,0.39,1,10,2
91,0.1,0.5,0.5,16,17,87,92,14,0.39,1,10,2
92,0.1,0.5,0.5,18,17,84,91,17,0.39,1,10,2
93,0.1,0.5,0.5,18,14,87,92,14,0.39,1,10,2
94,0.1,0.5,0.5,18,15,-106,92,9,0.39,0,10,2
95,0.1,0.5,0.5,16,17,86,91,15,0.39,1,10,2
96,0.1,0.5,0.5,17,14,87,92,14,0.39,1,10,2
97,0.1,0.5,0.5,18,17,87,92,14,0.39,1,10,2
98,0.1,0.5,0.5,16,12,87,92,14,0.39,1,10,2
99,0.1,0.5,0.5,14,16,87,-103,14,0.39,0,10,2
100,0.1,0.5,0.5,18,18,-108,92,9,0.39,0,10,2
101,0.1,0.5,0.5,18,13,87,92,14,0.39,1,10,2
102,0.1,0.5,0.5,15,17,87,91,14,0.39,1,10,2
103,0.1,0.5,0.5,18,12,83,92,18,0.39,1,10,2
104,0.1,0.5,0.5,14,13,-105,92,9,0.39,0,10,2
105,0.1,0.5,0.5,14,10,-113,90,14,0.39,0,10,2
106,0.1,0.5,0.5,14,10,-137,92,38,0.39,0,10,2
107,0.1,0.5,0.5,14,10,-109,92,10,0.39,0,10,2
108,0.1,0.5,0.5,14,10,-115,92,16,0.39,0,10,2
109,0.1,0.5,0.5,14,12,-124,89,25,0.39,0,10,2
110,0.1,0.5,0.5,17,10,82,92,19,0.39,1,10,2
111,0.1,0.5,0.5,16,19,87,92,14,0.39,1,10,2
112,0.1,0.5,0.5,18,14,85,92,16,0.39,1,10,2
113,0.1,0.5,0.5,18,14,87,92,14,0.39,1,10,2
114,0.1,0.5,0.5,16,15,87,92,14,0.39,1,10,2
