eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,1,0,0,-133,-167,68,0.1,0,10,2
1,0.1,0.31,1,0,21,-123,40,61,0.1,0,10,2
2,0.1,0.31,1,12,15,-111,86,15,0.1,0,10,2
3,0.1,0.31,1,12,15,-110,83,18,0.1,0,10,2
4,0.1,0.31,1,15,16,-132,82,33,0.1,0,10,2
5,0.1,0.31,1,15,15,-108,86,15,0.1,0,10,2
6,0.1,0.31,1,15,9,-126,91,27,0.1,0,10,2
7,0.1,0.31,1,15,9,-117,-114,18,0.1,0,10,2
8,0.1,0.31,1,17,11,-157,84,58,0.1,0,10,2
9,0.1,0.31,1,17,10,-149,92,50,0.1,0,10,2
10,0.1,0.31,1,17,10,-135,92,36,0.1,0,10,2
11,0.1,0.31,1,27,10,43,92,58,0.1,1,10,2
12,0.1,0.31,1,21,20,83,90,18,0.1,1,10,2
13,0.1,0.31,1,18,10,82,92,19,0.1,1,10,2
14,0.1,0.31,1,22,19,83,92,18,0.1,1,10,2
15,0.1,0.31,1,18,19,82,-104,19,0.1,0,10,2
16,0.1,0.31,1,19,10,83,92,18,0.1,1,10,2
17,0.1,0.31,1,21,21,-135,90,36,0.1,0,10,2
18,0.1,0.31,1,21,10,-116,91,17,0.1,0,10,2
19,0.1,0.31,1,21,15,77,92,24,0.1,1,10,2
20,0.1,0.31,1,21,22,83,-117,18,0.1,0,10,2
21,0.1,0.31,1,19,10,83,92,18,0.1,1,10,2
22,0.1,0.31,1,21,22,82,88,19,0.1,1,10,2
23,0.1,0.31,1,29,10,64,90,37,0.1,1,10,2
24,0.1,0.31,1,21,21,82,89,19,0.1,1,10,2
25,0.1,0.31,1,22,10,-117,91,18,0.1,0,10,2
26,0.1,0.31,1,18,18,82,92,19,0.1,1,10,2
27,0.1,0.31,1,21,18,-108,72,29,0.1,0,10,2
28,0.1,0.31,1,25,29,79,79,22,0.1,1,10,2
29,0.1,0.31,1,22,14,81,80,21,0.1,1,10,2
30,0.1,0.31,1,22,25,81,88,20,0.1,1,10,2
31,0.1,0.31,1,22,15,83,88,18,0.1,1,10,2
32,0.1,0.31,1,18,25,80,-111,21,0.1,0,10,2
33,0.1,0.31,1,25,14,82,84,19,0.1,1,10,2
34,0.1,0.31,1,19,28,81,52,49,0.1,1,10,2
35,0.1,0.31,1,25,15,82,85,19,0.1,1,10,2
36,0.1,0.31,1,19,24,83,88,18,0.1,1,10,2
37,0.1,0.31,1,25,15,82,88,19,0.1,1,10,2
38,0.1,0.31,1,20,22,81,88,20,0.1,1,10,2
39,0.1,0.31,1,26,19,76,83,25,0.1,1,10,2
40,0.1,0.31,1,19,17,83,88,18,0.1,1,10,2
41,0.1,0.31,1,28,12,48,88,53,0.1,1,10,2
42,0.1,0.31,1,20,17,83,92,18,0.1,1,10,2
43,0.1,0.31,1,24,12,83,92,18,0.1,1,10,2
44,0.1,0.31,1,21,17,81,92,20,0.1,1,10,2
45,0.1,0.31,1,22,22,-129,-119,30,0.1,0,10,2
46,0.1,0.31,1,22,10,76,89,25,0.1,1,10,2
47,0.1,0.31,1,21,16,76,91,25,0.1,1,10,2
48,0.1,0.31,1,25,12,60,87,41,0.1,1,10,2
49,0.1,0.31,1,28,18,-107,-106,8,0.1,0,10,2
50,0.1,0.31,1,28,19,-105,-106,7,0.1,0,10,2
51,0.1,0.31,1,22,12,-105,-106,7,0.1,0,10,2
52,0.1,0.31,1,22,12,-114,-127,28,0.1,0,10,2
53,0.1,0.31,1,22,12,-113,-118,19,0.1,0,10,2
54,0.1,0.31,1,22,12,-135,-119,36,0.1,0,10,2
55,0.1,0.31,1,22,10,-138,-168,69,0.1,0,10,2
56,0.1,0.31,1,22,10,-131,-140,41,0.1,0,10,2
57,0.1,0.31,1,21,13,-115,65,36,0.1,0,10,2
58,0.1,0.31,1,22,10,-154,92,55,0.1,0,10,2
59,0.1,0.31,1,23,10,-133,92,34,0.1,0,10,2
60,0.1,0.31,1,23,9,-137,90,38,0.1,0,10,2
61,0.1,0.31,1,22,10,-156,90,57,0.1,0,10,2
62,0.1,0.31,1,22,12,-126,86,27,0.1,0,10,2
63,0.1,0.31,1,22,10,-198,92,99,0.1,0,10,2
64,0.1,0.31,1,22,10,75,92,26,0.1,1,10,2
65,0.1,0.31,1,27,19,79,92,22,0.1,1,10,2
66,0.1,0.31,1,23,9,76,92,25,0.1,1,10,2
