eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,1,0,0,-128,-114,29,0.1,0,10,2
1,0.1,0.31,1,0,0,-122,-115,23,0.1,0,10,2
2,0.1,0.31,1,0,0,-111,-151,52,0.1,0,10,2
3,0.1,0.31,1,0,0,-114,-110,15,0.1,0,10,2
4,0.1,0.31,1,0,29,-120,-1,102,0.1,0,10,2
5,0.1,0.31,1,8,10,-149,90,50,0.1,0,10,2
6,0.1,0.31,1,10,10,-131,92,32,0.1,0,10,2
7,0.1,0.31,1,10,15,-119,72,29,0.1,0,10,2
8,0.1,0.31,1,13,12,-112,89,13,0.1,0,10,2
9,0.1,0.31,1,13,12,-128,90,29,0.1,0,10,2
10,0.1,0.31,1,13,14,-151,85,52,0.1,0,10,2
11,0.1,0.31,1,13,12,-128,89,29,0.1,0,10,2
12,0.1,0.31,1,13,12,-163,90,64,0.1,0,10,2
13,0.1,0.31,1,13,12,-111,90,12,0.1,0,10,2
14,0.1,0.31,1,19,12,14,89,87,0.1,1,10,2
15,0.1,0.31,1,21,21,91,90,11,0.1,1,10,2
16,0.1,0.31,1,11,14,91,85,16,0.1,1,10,2
17,0.1,0.31,1,19,17,-107,88,13,0.1,0,10,2
18,0.1,0.31,1,10,18,91,-106,10,0.1,0,10,2
19,0.1,0.31,1,14,14,-106,-120,21,0.1,0,10,2
20,0.1,0.31,1,10,16,89,-121,22,0.1,0,10,2
21,0.1,0.31,1,11,15,-133,-135,36,0.1,0,10,2
22,0.1,0.31,1,12,15,89,74,27,0.1,1,10,2
23,0.1,0.31,1,18,20,91,90,11,0.1,1,10,2
24,0.1,0.31,1,19,10,-116,91,17,0.1,0,10,2
25,0.1,0.31,1,12,18,91,92,10,0.1,1,10,2
26,0.1,0.31,1,18,11,89,91,12,0.1,1,10,2
27,0.1,0.31,1,13,18,91,90,11,0.1,1,10,2
28,0.1,0.31,1,16,11,90,91,11,0.1,1,10,2
29,0.1,0.31,1,20,18,-111,90,12,0.1,0,10,2
30,0.1,0.31,1,16,11,-110,92,11,0.1,0,10,2
31,0.1,0.31,1,15,10,-111,92,12,0.1,0,10,2
32,0.1,0.31,1,22,10,41,92,60,0.1,1,10,2
33,0.1,0.31,1,20,20,83,91,18,0.1,1,10,2
34,0.1,0.31,1,24,10,63,92,38,0.1,1,10,2
35,0.1,0.31,1,26,10,-112,90,13,0.1,0,10,2
36,0.1,0.31,1,16,17,84,91,17,0.1,1,10,2
37,0.1,0.31,1,18,11,-117,91,18,0.1,0,10,2
38,0.1,0.31,1,16,17,85,92,16,0.1,1,10,2
39,0.1,0.31,1,17,11,-131,92,32,0.1,0,10,2
40,0.1,0.31,1,16,17,84,92,17,0.1,1,10,2
41,0.1,0.31,1,16,11,-124,92,25,0.1,0,10,2
42,0.1,0.31,1,15,9,-106,90,11,0.1,0,10,2
43,0.1,0.31,1,15,10,-134,90,35,0.1,0,10,2
44,0.1,0.31,1,20,10,67,92,34,0.1,1,10,2
45,0.1,0.31,1,22,19,76,92,25,0.1,1,10,2
46,0.1,0.31,1,15,11,84,89,17,0.1,1,10,2
47,0.1,0.31,1,21,10,72,92,29,0.1,1,10,2
48,0.1,0.31,1,16,17,85,92,16,0.1,1,10,2
49,0.1,0.31,1,18,11,82,91,19,0.1,1,10,2
50,0.1,0.31,1,17,19,83,85,18,0.1,1,10,2
51,0.1,0.31,1,17,11,85,91,16,0.1,1,10,2
52,0.1,0.31,1,23,17,66,91,35,0.1,1,10,2
53,0.1,0.31,1,17,11,85,92,16,0.1,1,10,2
54,0.1,0.31,1,18,18,77,88,24,0.1,1,10,2
55,0.1,0.31,1,15,11,85,92,16,0.1,1,10,2
56,0.1,0.31,1,18,9,-105,92,9,0.1,0,10,2
57,0.1,0.31,1,20,17,-138,92,39,0.1,0,10,2
58,0.1,0.31,1,16,12,83,90,18,0.1,1,10,2
59,0.1,0.31,1,18,17,84,92,17,0.1,1,10,2
60,0.1,0.31,1,16,11,85,92,16,0.1,1,10,2
61,0.1,0.31,1,17,18,85,-111,16,0.1,0,10,2
62,0.1,0.31,1,16,13,84,84,17,0.1,1,10,2
63,0.1,0.31,1,17,17,84,87,17,0.1,1,10,2
64,0.1,0.31,1,17,12,84,92,17,0.1,1,10,2
65,0.1,0.31,1,17,16,83,92,18,0.1,1,10,2
66,0.1,0.31,1,17,18,83,-108,18,0.1,0,10,2
67,0.1,0.31,1,17,10,82,90,19,0.1,1,10,2
68,0.1,0.31,1,20,17,73,92,28,0.1,1,10,2
69,0.1,0.31,1,18,11,80,92,21,0.1,1,10,2
70,0.1,0.31,1,17,17,85,92,16,0.1,1,10,2
71,0.1,0.31,1,17,11,85,92,16,0.1,1,10,2
72,0.1,0.31,1,17,17,85,92,16,0.1,1,10,2
73,0.1,0.31,1,18,11,81,87,20,0.1,1,10,2
74,0.1,0.31,1,20,17,-126,85,27,0.1,0,10,2
75,0.1,0.31,1,18,12,83,92,18,0.1,1,10,2
76,0.1,0.31,1,19,17,85,92,16,0.1,1,10,2
77,0.1,0.31,1,17,12,85,92,16,0.1,1,10,2
78,0.1,0.31,1,17,15,79,91,22,0.1,1,10,2
79,0.1,0.31,1,19,14,75,90,26,0.1,1,10,2
80,0.1,0.31,1,18,17,87,89,14,0.1,1,10,2
81,0.1,0.31,1,15,12,87,87,14,0.1,1,10,2
82,0.1,0.31,1,17,16,87,90,14,0.1,1,10,2
83,0.1,0.31,1,16,11,81,92,20,0.1,1,10,2
84,0.1,0.31,1,17,19,86,90,15,0.1,1,10,2
85,0.1,0.31,1,16,11,86,91,15,0.1,1,10,2
86,0.1,0.31,1,17,17,87,90,14,0.1,1,10,2
87,0.1,0.31,1,16,12,87,92,14,0.1,1,10,2
88,0.1,0.31,1,19,14,70,92,31,0.1,1,10,2
89,0.1,0.31,1,25,14,-114,92,15,0.1,0,10,2
90,0.1,0.31,1,25,14,-127,92,28,0.1,0,10,2
91,0.1,0.31,1,12,14,87,92,14,0.1,1,10,2
92,0.1,0.31,1,20,15,89,92,12,0.1,1,10,2
93,0.1,0.31,1,13,14,89,92,12,0.1,1,10,2
94,0.1,0.31,1,19,15,89,92,12,0.1,1,10,2
95,0.1,0.31,1,16,14,81,92,20,0.1,1,10,2
96,0.1,0.31,1,18,15,83,90,18,0.1,1,10,2
97,0.1,0.31,1,14,14,89,92,12,0.1,1,10,2
98,0.1,0.31,1,19,16,89,91,12,0.1,1,10,2
99,0.1,0.31,1,20,13,-106,90,11,0.1,0,10,2
100,0.1,0.31,1,20,13,-106,92,9,0.1,0,10,2
101,0.1,0.31,1,13,13,-106,92,9,0.1,0,10,2
102,0.1,0.31,1,13,10,-132,92,33,0.1,0,10,2
103,0.1,0.31,1,13,10,-137,92,38,0.1,0,10,2
104,0.1,0.31,1,13,10,-113,92,14,0.1,0,10,2
105,0.1,0.31,1,13,12,-132,87,33,0.1,0,10,2
106,0.1,0.31,1,13,10,-132,92,33,0.1,0,10,2
107,0.1,0.31,1,13,10,-194,92,95,0.1,0,10,2
108,0.1,0.31,1,25,13,30,80,71,0.1,1,10,2
109,0.1,0.31,1,19,19,82,87,19,0.1,1,10,2
110,0.1,0.31,1,20,11,81,92,20,0.1,1,10,2
111,0.1,0.31,1,19,18,83,92,18,0.1,1,10,2
112,0.1,0.31,1,20,11,83,92,18,0.1,1,10,2
113,0.1,0.31,1,19,18,83,90,18,0.1,1,10,2
114,0.1,0.31,1,20,11,83,92,18,0.1,1,10,2
115,0.1,0.31,1,19,17,82,92,19,0.1,1,10,2
116,0.1,0.31,1,20,12,83,92,18,0.1,1,10,2
117,0.1,0.31,1,19,17,83,92,18,0.1,1,10,2
118,0.1,0.31,1,20,12,83,92,18,0.1,1,10,2
119,0.1,0.31,1,19,17,81,92,20,0.1,1,10,2
120,0.1,0.31,1,17,11,83,92,18,0.1,1,10,2
121,0.1,0.31,1,21,17,-128,92,29,0.1,0,10,2
122,0.1,0.31,1,18,11,78,92,23,0.1,1,10,2
123,0.1,0.31,1,21,18,81,92,20,0.1,1,10,2
124,0.1,0.31,1,20,10,79,92,22,0.1,1,10,2
125,0.1,0.31,1,21,19,83,92,18,0.1,1,10,2
126,0.1,0.31,1,18,10,83,92,18,0.1,1,10,2
127,0.1,0.31,1,21,18,83,91,18,0.1,1,10,2
128,0.1,0.31,1,18,10,81,92,20,0.1,1,10,2
129,0.1,0.31,1,19,18,82,92,19,0.1,1,10,2
130,0.1,0.31,1,18,11,82,92,19,0.1,1,10,2
131,0.1,0.31,1,21,16,78,92,23,0.1,1,10,2
132,0.1,0.31,1,18,13,83,92,18,0.1,1,10,2
133,0.1,0.31,1,19,15,83,92,18,0.1,1,10,2
134,0.1,0.31,1,18,16,80,-108,21,0.1,0,10,2
135,0.1,0.31,1,19,15,81,76,25,0.1,1,10,2
136,0.1,0.31,1,19,17,80,92,21,0.1,1,10,2
137,0.1,0.31,1,19,12,83,92,18,0.1,1,10,2
138,0.1,0.31,1,19,16,83,92,18,0.1,1,10,2
139,0.1,0.31,1,19,13,83,92,18,0.1,1,10,2
140,0.1,0.31,1,19,17,83,90,18,0.1,1,10,2
141,0.1,0.31,1,12,10,87,92,14,0.1,1,10,2
142,0.1,0.31,1,20,10,-117,91,18,0.1,0,10,2
143,0.1,0.31,1,12,17,88,92,13,0.1,1,10,2
144,0.1,0.31,1,21,12,89,92,12,0.1,1,10,2
145,0.1,0.31,1,12,18,89,90,12,0.1,1,10,2
146,0.1,0.31,1,21,13,89,91,12,0.1,1,10,2
147,0.1,0.31,1,12,16,89,92,12,0.1,1,10,2
148,0.1,0.31,1,21,14,88,91,13,0.1,1,10,2
