eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,-160,-104,-105,61,0.1,0,10,3
1,0.1,0.31,0.5,0,0,0,-134,-109,-131,35,0.1,0,10,3
2,0.1,0.31,0.5,0,0,0,-128,-119,-110,29,0.1,0,10,3
3,0.1,0.31,0.5,0,0,0,-132,-118,-115,33,0.1,0,10,3
4,0.1,0.31,0.5,0,0,0,-169,-126,-107,70,0.1,0,10,3
5,0.1,0.31,0.5,0,0,0,-127,-138,-159,60,0.1,0,10,3
6,0.1,0.31,0.5,0,0,0,-176,-209,-124,110,0.1,0,10,3
7,0.1,0.31,0.5,0,22,0,-231,29,-188,132,0.1,0,10,3
8,0.1,0.31,0.5,10,10,10,-143,92,-112,44,0.1,0,10,3
9,0.1,0.31,0.5,10,10,13,-115,90,75,26,0.1,0,10,3
10,0.1,0.31,0.5,18,16,19,-124,92,88,25,0.1,0,10,3
11,0.1,0.31,0.5,18,18,11,-161,-111,90,62,0.1,0,10,3
12,0.1,0.31,0.5,18,10,17,-154,90,89,55,0.1,0,10,3
13,0.1,0.31,0.5,18,18,12,-182,91,91,83,0.1,0,10,3
14,0.1,0.31,0.5,18,18,17,-175,92,88,76,0.1,0,10,3
15,0.1,0.31,0.5,15,12,18,65,83,-128,36,0.1,0,10,3
16,0.1,0.31,0.5,27,24,26,89,92,91,12,0.1,1,10,3
17,0.1,0.31,0.5,26,19,12,91,89,91,12,0.1,1,10,3
18,0.1,0.31,0.5,27,12,20,-121,92,91,22,0.1,0,10,3
19,0.1,0.31,0.5,11,21,22,91,-105,85,16,0.1,0,10,3
20,0.1,0.31,0.5,26,24,18,91,92,91,10,0.1,1,10,3
21,0.1,0.31,0.5,22,19,21,91,92,91,10,0.1,1,10,3
22,0.1,0.31,0.5,16,17,18,90,88,89,13,0.1,1,10,3
23,0.1,0.31,0.5,19,27,26,90,-112,-109,13,0.1,0,10,3
24,0.1,0.31,0.5,28,21,21,89,92,91,12,0.1,1,10,3
25,0.1,0.31,0.5,16,16,19,85,92,90,16,0.1,1,10,3
26,0.1,0.31,0.5,20,21,23,91,90,87,14,0.1,1,10,3
27,0.1,0.31,0.5,18,24,24,89,92,91,12,0.1,1,10,3
28,0.1,0.31,0.5,22,19,19,91,87,79,22,0.1,1,10,3
29,0.1,0.31,0.5,19,21,22,91,92,89,12,0.1,1,10,3
30,0.1,0.31,0.5,17,22,28,91,-106,75,26,0.1,0,10,3
31,0.1,0.31,0.5,25,28,15,86,83,91,18,0.1,1,10,3
32,0.1,0.31,0.5,25,15,23,91,92,91,10,0.1,1,10,3
33,0.1,0.31,0.5,17,21,24,91,91,85,16,0.1,1,10,3
34,0.1,0.31,0.5,23,24,18,91,91,90,11,0.1,1,10,3
35,0.1,0.31,0.5,21,19,24,91,91,-105,10,0.1,0,10,3
36,0.1,0.31,0.5,18,20,22,91,92,91,10,0.1,1,10,3
37,0.1,0.31,0.5,21,22,27,91,92,-106,10,0.1,0,10,3
38,0.1,0.31,0.5,23,22,18,89,88,87,14,0.1,1,10,3
39,0.1,0.31,0.5,18,22,21,91,92,89,12,0.1,1,10,3
40,0.1,0.31,0.5,23,21,26,90,91,88,13,0.1,1,10,3
41,0.1,0.31,0.5,23,21,15,91,92,90,11,0.1,1,10,3
42,0.1,0.31,0.5,18,22,21,86,91,91,15,0.1,1,10,3
43,0.1,0.31,0.5,23,22,27,89,91,91,12,0.1,1,10,3
44,0.1,0.31,0.5,23,20,16,91,91,91,10,0.1,1,10,3
45,0.1,0.31,0.5,21,21,14,87,-104,91,14,0.1,0,10,3
